date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,80.0,80.69,77.37,77.62,2487300.0,89.614,100.0,3564600.0
1999-11-02,78.0,81.69,77.31,80.25,3564600.0,89.614,100.0,3564600.0
1999-11-03,81.62,83.25,81.0,81.5,2932700.0,89.614,100.0,6497300.0
1999-11-04,82.06,85.37,80.62,83.62,3384700.0,89.614,100.0,9882000.0
1999-11-05,84.62,88.37,84.0,88.31,3721500.0,89.614,100.0,13603500.0
1999-11-08,87.75,97.73,86.75,96.37,8490400.0,89.614,100.0,22093900.0
1999-11-09,94.37,94.5,88.0,89.62,7224800.0,89.614,70.29126262931719,14869100.0
1999-11-10,88.25,93.25,88.12,91.44,5159800.0,89.614,72.65057124064975,20028900.0
1999-11-11,91.59,92.62,89.87,92.25,2409600.0,89.614,73.65339259318485,22438500.0
1999-11-12,91.94,92.0,87.37,90.62,2491600.0,89.614,68.23153943081999,19946900.0
1999-11-15,89.62,92.87,88.5,89.44,2320600.0,89.614,64.52827972912227,17626300.0
1999-11-16,90.0,91.75,88.5,91.19,2088000.0,89.614,67.35783798730458,19714300.0
1999-11-17,90.69,94.75,90.0,90.25,3255100.0,89.614,64.38680317723092,16459200.0
1999-11-18,91.06,91.12,88.44,89.62,3257000.0,89.614,62.40023619038265,13202200.0
1999-11-19,89.5,92.87,88.06,92.44,2790300.0,89.614,67.26841605401711,15992500.0
1999-11-22,91.75,91.75,89.25,90.62,1806800.0,89.614,61.714777286944866,14185700.0
1999-11-23,91.75,95.25,88.5,92.81,4851000.0,89.614,65.41487494637374,19036700.0
1999-11-24,93.0,95.0,91.69,94.69,1920600.0,89.614,68.25151021574118,20957300.0
1999-11-26,94.75,95.5,94.12,95.06,1179200.0,89.614,68.79398679665982,22136500.0
1999-11-29,94.25,99.75,93.25,94.56,4144300.0,89.614,67.12484143840533,17992200.0
1999-11-30,98.12,103.75,97.37,97.87,7528400.0,90.6265,71.97286820447742,25520600.0
1999-12-01,101.0,104.5,100.06,103.06,5522900.0,91.76700000000001,77.5605679445216,31043500.0
1999-12-02,103.12,110.62,101.75,110.19,5065700.0,93.20150000000001,82.67170106106711,36109200.0
1999-12-03,112.19,115.56,111.87,115.0,5785000.0,94.7705,85.13204974680183,41894200.0
1999-12-06,114.56,117.31,111.44,116.0,4167700.0,96.155,85.5901288019845,46061900.0
1999-12-07,116.56,118.0,114.0,117.81,3973400.0,97.227,86.40649328144973,50035300.0
1999-12-08,116.25,117.87,109.5,110.06,3681700.0,98.249,68.50941717155193,46353600.0
1999-12-09,111.0,111.0,100.87,105.25,7635700.0,98.9395,60.178292676974344,38717900.0
1999-12-10,105.31,109.25,99.0,103.0,5694300.0,99.477,56.70458210249311,33023600.0
1999-12-13,102.39,102.5,98.94,99.0,4731800.0,99.896,51.0615804434254,28291800.0
1999-12-14,98.37,99.75,94.75,94.87,3891700.0,100.1675,45.974339934875644,24400100.0
1999-12-15,93.25,97.25,91.06,97.0,5562300.0,100.458,48.80711355760419,29962400.0
1999-12-16,98.0,98.37,94.0,98.31,4141300.0,100.861,50.525303997116396,34103700.0
1999-12-17,100.87,102.0,98.5,100.0,4419700.0,101.38,52.72950852831045,38523400.0
1999-12-20,99.56,99.62,96.62,98.0,2535600.0,101.658,49.89638313479155,35987800.0
1999-12-21,98.19,103.06,97.94,102.5,2746400.0,102.252,55.66798948206697,38734200.0
1999-12-22,102.87,104.56,98.75,99.94,2920300.0,102.6085,51.99830325401696,35813900.0
1999-12-23,101.81,104.25,101.06,103.5,2049400.0,103.049,56.311373242396044,37863300.0
1999-12-27,104.37,104.44,99.25,99.31,1503500.0,103.2615,50.553883793353386,36359800.0
1999-12-28,99.12,99.62,95.0,98.19,2210500.0,103.44300000000001,49.10850257476588,34149300.0
1999-12-29,96.81,102.19,95.5,100.69,2540200.0,103.58399999999999,52.38125036511168,36689500.0
1999-12-30,102.19,104.12,99.62,100.31,1849500.0,103.44649999999999,51.835588487145216,34840000.0
1999-12-31,100.94,102.87,99.5,102.81,1462600.0,103.07750000000001,55.1460570929127,36302600.0
2000-01-03,104.87,112.5,101.69,111.94,4783900.0,102.9245,64.69083997446805,41086500.0
2000-01-04,108.25,110.62,101.19,102.5,4574800.0,102.2495,52.29879431689694,36511700.0
2000-01-05,103.75,110.56,103.0,104.0,6949300.0,101.559,53.812794235569655,43461000.0
2000-01-06,106.12,107.0,95.0,95.0,6856900.0,100.80600000000001,44.65479628932228,36604100.0
2000-01-07,96.5,101.0,95.5,99.5,4113700.0,100.5185,49.30071415719871,40717800.0
2000-01-10,102.0,102.25,94.75,97.75,4509500.0,100.256,47.62635321584505,36208300.0
2000-01-11,95.94,99.37,90.5,92.75,3942400.0,99.9435,43.12031906591584,32265900.0
2000-01-12,95.0,95.5,86.5,87.19,8714900.0,99.5595,38.73192423792869,23551000.0
2000-01-13,94.48,98.75,92.5,96.75,9220400.0,99.547,48.44698614998967,32771400.0
2000-01-14,100.0,102.25,99.37,100.44,3485500.0,99.6535,51.6348311538231,36256900.0
2000-01-18,101.0,106.0,100.44,103.94,4099800.0,99.8505,54.508269958982716,40356700.0
2000-01-19,105.62,108.75,103.37,106.56,5336100.0,100.2785,56.58749739408074,45692800.0
2000-01-20,115.5,121.5,113.5,113.5,16349400.0,100.82849999999999,61.59478571445536,62042200.0
2000-01-21,114.25,114.25,110.19,111.31,4427900.0,101.397,59.27149793885411,57614300.0
2000-01-24,108.44,112.75,105.12,106.25,3936400.0,101.53450000000001,54.1859598124791,53677900.0
2000-01-25,105.0,113.12,102.37,112.25,4438800.0,102.1815,58.709951717223184,58116700.0
2000-01-26,110.0,114.19,109.75,110.19,3278200.0,102.78150000000001,56.64189863232423,54838500.0
2000-01-27,108.81,113.0,107.0,110.0,3037000.0,103.247,56.44441006395968,51801500.0
2000-01-28,108.19,110.87,100.62,101.62,3779900.0,103.3125,48.42489752940969,48021600.0
2000-01-31,101.0,103.87,94.5,103.75,6265000.0,103.3595,50.35560947531494,54286600.0
2000-02-01,104.0,105.0,100.0,100.25,2839600.0,102.775,47.2270708663784,51447000.0
2000-02-02,100.75,102.12,97.0,98.81,4144600.0,102.59049999999999,45.96183880503252,47302400.0
2000-02-03,100.31,104.25,100.25,103.31,4242800.0,102.556,50.43098132401338,51545200.0
2000-02-04,103.94,110.0,103.62,108.0,3797500.0,103.20599999999999,54.64142672336413,55342700.0
2000-02-07,108.0,114.25,105.94,114.06,3938100.0,103.934,59.43593086067451,59280800.0
2000-02-08,114.0,116.12,111.25,114.87,3648600.0,104.79,60.04387648520346,62929400.0
2000-02-09,114.12,117.12,112.44,112.62,2672900.0,105.7835,57.46739562167911,60256500.0
2000-02-10,112.87,113.87,110.0,113.5,2705200.0,107.099,58.222463274261294,62961700.0
2000-02-11,113.62,114.12,108.25,108.75,1895100.0,107.699,52.77621142315084,61066600.0
2000-02-14,109.31,115.87,108.62,115.81,3281600.0,108.4675,58.92611987680358,64348200.0
2000-02-15,115.25,119.94,115.19,119.0,4337000.0,109.22049999999999,61.37383081664116,68685200.0
2000-02-16,117.75,118.12,112.12,114.12,3377200.0,109.59849999999999,55.88702935685318,65308000.0
2000-02-17,115.19,115.5,113.12,114.87,2584800.0,109.66699999999999,56.53023439404671,67892800.0
2000-02-18,114.62,115.37,110.87,111.25,2084300.0,109.66399999999999,52.54762073233572,65808500.0
2000-02-22,110.12,116.94,106.69,113.81,3770500.0,110.042,54.96399039322575,69579000.0
2000-02-23,113.23,119.0,111.0,116.25,4224100.0,110.242,57.201027894198155,73803100.0
2000-02-24,117.31,119.12,111.75,115.2,3361000.0,110.49249999999999,55.91391274503849,70442100.0
2000-02-25,114.81,117.0,110.12,110.37,2224500.0,110.511,50.306294817082666,68217600.0
