date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,40.5,41.13,40.0,40.31,8656500.0,37.845,0.0,-22183400.0
1999-11-02,39.06,39.63,37.56,38.0,22183400.0,37.845,0.0,-22183400.0
1999-11-03,37.75,38.25,36.81,36.81,19538700.0,37.845,0.0,-41722100.0
1999-11-04,37.44,38.25,37.0,37.88,15124600.0,37.845,25.67926630667695,-26597500.0
1999-11-05,37.88,38.88,37.88,38.44,13604600.0,37.845,35.07599799565719,-12992900.0
1999-11-08,38.56,38.88,38.44,38.88,9546200.0,37.845,41.350515954919835,-3446700.0
1999-11-09,39.0,39.0,36.75,37.0,11980600.0,37.845,28.622260754890277,-15427300.0
1999-11-10,36.69,37.19,36.56,37.0,7764200.0,37.845,28.622260754890277,-15427300.0
1999-11-11,38.13,38.25,36.5,36.5,29938300.0,37.845,26.140377659852035,-45365600.0
1999-11-12,36.5,36.88,36.13,36.44,13167300.0,37.845,25.850699590577506,-58532900.0
1999-11-15,36.44,37.19,36.38,36.63,13534800.0,37.845,28.550849419955696,-44998100.0
1999-11-16,37.5,38.13,37.25,37.94,16435300.0,37.845,43.75789232463105,-28562800.0
1999-11-17,37.81,38.06,36.88,37.31,11573100.0,37.845,39.41334138739001,-40135900.0
1999-11-18,38.5,38.56,37.31,38.0,14108100.0,37.845,45.7646624914324,-26027800.0
1999-11-19,37.94,38.0,37.5,37.5,9158600.0,37.845,42.303890593011225,-35186400.0
1999-11-22,38.0,38.94,37.88,38.88,13446400.0,37.845,52.892253272928926,-21740000.0
1999-11-23,38.44,38.56,37.38,38.0,9020200.0,37.845,46.972371466547465,-30760200.0
1999-11-24,38.19,39.0,37.94,38.5,6721500.0,37.845,50.37118169860917,-24038700.0
1999-11-26,38.0,38.31,37.81,38.0,3066600.0,37.845,47.11878523282705,-27105300.0
1999-11-29,37.69,38.88,37.56,38.88,8969500.0,37.845,52.88484709050391,-18135800.0
1999-11-30,38.0,38.88,37.63,38.0,9266700.0,37.729499999999994,47.32740151978518,-27402500.0
1999-12-01,38.0,38.19,37.0,37.44,8490600.0,37.701499999999996,44.14800232485576,-35893100.0
1999-12-02,37.69,37.88,37.25,37.57,5763000.0,37.7395,45.07052668509504,-30130100.0
1999-12-03,37.94,38.38,37.25,37.44,6611900.0,37.7175,44.282829705958285,-36742000.0
1999-12-06,37.13,37.31,36.0,36.38,8812600.0,37.6145,38.39108254128292,-45554600.0
1999-12-07,36.56,36.63,35.69,35.81,11989100.0,37.461,35.644721461771525,-57543700.0
1999-12-08,36.0,36.19,35.06,35.55,8539500.0,37.3885,34.43466316921396,-66083200.0
1999-12-09,35.13,35.5,34.13,35.19,14603700.0,37.297999999999995,32.775554069865564,-80686900.0
1999-12-10,35.38,35.75,34.88,34.88,7879300.0,37.217,31.373743519307553,-88566200.0
