date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,13.37,13.69,13.06,13.06,15300.0,12.877500000000001,100.0,13900.0
1999-11-02,13.28,13.63,13.12,13.44,13900.0,12.877500000000001,100.0,13900.0
1999-11-03,13.56,13.69,13.25,13.25,2900.0,12.877500000000001,65.0,11000.0
1999-11-04,13.25,13.58,13.25,13.25,6400.0,12.877500000000001,65.0,11000.0
1999-11-05,13.25,13.94,13.25,13.88,41600.0,12.877500000000001,85.0805809260833,52600.0
1999-11-08,13.37,13.63,13.37,13.37,16900.0,12.877500000000001,56.713746402480986,35700.0
1999-11-09,13.12,13.88,13.12,13.75,45400.0,12.877500000000001,65.85001816813929,81100.0
1999-11-10,13.37,13.75,13.37,13.37,20000.0,12.877500000000001,53.65428062034036,61100.0
1999-11-11,13.25,13.37,13.0,13.06,199500.0,12.877500000000001,46.145873357554976,-138400.0
1999-11-12,13.06,13.06,12.62,12.62,11500.0,12.877500000000001,38.01443073128629,-149900.0
1999-11-15,12.69,13.0,12.62,12.81,95500.0,12.877500000000001,42.70910981539719,-54400.0
1999-11-16,12.69,12.75,12.5,12.75,29500.0,12.877500000000001,41.636668294848704,-83900.0
1999-11-17,12.38,12.75,12.38,12.38,3100.0,12.877500000000001,35.685760588266334,-87000.0
1999-11-18,12.75,13.19,12.75,12.75,3900.0,12.877500000000001,44.26450604582343,-83100.0
1999-11-19,13.16,13.16,12.69,12.75,34200.0,12.877500000000001,44.26450604582343,-83100.0
1999-11-22,12.75,12.75,12.75,12.75,11800.0,12.877500000000001,44.26450604582343,-83100.0
1999-11-23,12.62,12.94,11.0,12.25,63700.0,12.877500000000001,36.13037074032078,-146800.0
1999-11-24,12.06,12.13,11.62,12.06,85200.0,12.877500000000001,33.60336180226233,-232000.0
1999-11-26,11.87,12.0,11.87,12.0,2900.0,12.877500000000001,32.82265072022945,-234900.0
1999-11-29,12.13,12.38,11.5,12.0,97300.0,12.877500000000001,32.82265072022945,-234900.0
1999-11-30,13.12,13.25,12.75,12.94,30500.0,12.871500000000001,52.763101146171806,-204400.0
1999-12-01,13.0,13.0,12.25,12.5,11400.0,12.8245,45.895683650062104,-215800.0
1999-12-02,12.5,13.25,12.5,13.12,44200.0,12.818000000000001,54.819281100112754,-171600.0
1999-12-03,13.06,13.06,12.62,12.91,30200.0,12.800999999999998,51.708413291066655,-201800.0
1999-12-06,13.12,13.12,12.25,12.25,15300.0,12.7195,43.37702608881755,-217100.0
1999-12-07,12.5,12.5,12.0,12.0,36500.0,12.651,40.70185786391899,-253600.0
1999-12-08,11.75,12.25,11.75,12.0,61200.0,12.563500000000001,40.70185786391899,-253600.0
1999-12-09,12.0,12.13,11.62,11.62,125400.0,12.475999999999999,36.710716261563064,-379000.0
1999-12-10,12.0,12.13,11.5,11.75,10000.0,12.410499999999999,38.917423353709076,-369000.0
1999-12-13,12.13,12.13,11.38,11.5,136900.0,12.354499999999998,36.29646466352183,-505900.0
1999-12-14,11.38,11.81,11.38,11.38,66600.0,12.283,35.07538373309288,-572500.0
1999-12-15,11.38,11.87,11.25,11.87,49000.0,12.239,43.44239998210545,-523500.0
1999-12-16,11.5,11.75,11.5,11.5,23400.0,12.194999999999999,39.32158974200227,-546900.0
1999-12-17,12.25,12.25,11.38,11.62,42100.0,12.138499999999999,41.26745095594445,-504800.0
1999-12-20,12.06,12.06,11.38,11.5,61700.0,12.075999999999999,39.88984595675797,-566500.0
1999-12-21,11.44,12.75,11.44,12.25,61600.0,12.050999999999998,50.91802476403291,-504900.0
1999-12-22,12.31,12.31,11.87,12.0,14700.0,12.038499999999999,47.77179152386876,-519600.0
1999-12-23,12.69,12.75,11.5,11.62,35100.0,12.016499999999999,43.383713309425374,-554700.0
1999-12-27,11.75,12.88,11.75,12.62,48600.0,12.0475,55.077770652755405,-506100.0
1999-12-28,12.0,12.75,11.94,12.69,51900.0,12.081999999999999,55.76651448549525,-454200.0
