date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,18.94,19.63,18.31,18.69,953600.0,22.003,0.0,-810500.0
1999-11-02,18.88,19.0,18.25,18.5,810500.0,22.003,0.0,-810500.0
1999-11-03,18.63,19.19,18.5,19.06,583400.0,22.003,76.04267701260895,-227100.0
1999-11-04,19.25,19.38,17.88,18.0,742000.0,22.003,29.81947979753646,-969100.0
1999-11-05,18.5,18.56,18.0,18.06,374700.0,22.003,32.327020276003566,-594400.0
1999-11-08,18.25,19.63,18.06,19.63,838600.0,22.003,66.27899209713851,244200.0
1999-11-09,19.94,21.38,19.88,20.31,1414200.0,22.003,72.67374494035649,1658400.0
1999-11-10,20.25,21.5,20.25,21.06,618600.0,22.003,77.6973616174196,2277000.0
1999-11-11,21.25,21.56,20.75,20.81,543500.0,22.003,72.88728932466144,1733500.0
1999-11-12,20.81,21.94,20.44,21.94,589000.0,22.003,79.16567382511369,2322500.0
1999-11-15,21.94,22.25,20.94,21.25,635200.0,22.003,68.70376695287737,1687300.0
1999-11-16,21.38,21.81,21.25,21.56,776600.0,22.003,70.58458263977757,2463900.0
1999-11-17,21.63,21.69,20.63,20.94,494200.0,22.003,62.49519779218144,1969700.0
1999-11-18,21.0,23.5,20.94,23.0,1151000.0,22.003,73.40230998720732,3120700.0
1999-11-19,23.38,25.31,23.0,24.75,1545900.0,22.003,78.99174989941153,4666600.0
1999-11-22,24.53,24.63,23.13,24.06,723800.0,22.003,72.52059965059496,3942800.0
1999-11-23,23.88,25.88,23.69,25.5,1724900.0,22.003,76.79337299296154,5667700.0
1999-11-24,28.56,29.81,27.38,27.94,6387100.0,22.003,81.92258775600303,12054800.0
1999-11-26,28.44,28.44,26.5,26.69,610100.0,22.003,73.01873377533424,11444700.0
1999-11-29,27.03,28.94,25.94,28.31,2415100.0,22.003,76.57250812016949,13859800.0
1999-11-30,28.5,29.63,27.25,29.31,1480400.0,22.534,78.45863302181607,15340200.0
1999-12-01,29.47,29.94,28.88,29.5,1275500.0,23.084,78.80774132925677,16615700.0
1999-12-02,29.44,30.94,29.31,30.63,1194500.0,23.6625,80.80063162081603,17810200.0
1999-12-03,31.25,34.13,31.0,33.94,2935400.0,24.4595,85.193067851566,20745600.0
1999-12-06,33.94,33.94,32.25,33.0,938900.0,25.2065,79.62202755995733,19806700.0
1999-12-07,33.0,33.31,32.25,32.88,1034200.0,25.869,78.91258637757953,18772500.0
1999-12-08,32.81,33.0,31.31,31.48,659500.0,26.4275,70.96790276179377,18113000.0
1999-12-09,31.5,31.88,31.13,31.63,1185000.0,26.956,71.3012836563464,19298000.0
1999-12-10,31.63,33.25,31.5,32.56,1217100.0,27.5435,73.34498574938165,20515100.0
1999-12-13,32.56,32.56,30.0,31.88,1100400.0,28.040499999999998,69.45057622330937,19414700.0
1999-12-14,31.63,32.5,30.25,30.5,1080600.0,28.502999999999997,62.229195626134725,18334100.0
1999-12-15,30.25,32.06,30.25,31.88,1694100.0,29.019,66.03274860825698,20028200.0
1999-12-16,32.06,32.13,31.38,31.94,1054200.0,29.569,66.19215567256985,21082400.0
1999-12-17,32.44,32.45,29.5,29.94,2678100.0,29.915999999999997,56.648796396393045,18404300.0
1999-12-20,29.81,31.75,29.75,31.56,994500.0,30.2565,61.491828506070334,19398800.0
1999-12-21,31.28,32.13,31.0,31.63,1257900.0,30.635,61.69098062553344,20656700.0
1999-12-22,31.66,32.44,31.31,32.06,983400.0,30.963,62.958277343428975,21640100.0
1999-12-23,32.03,32.63,31.75,31.94,547900.0,31.163,62.338506499017655,21092200.0
1999-12-27,32.0,32.13,31.0,31.13,454700.0,31.385,58.175501810652456,20637500.0
1999-12-28,31.0,31.88,30.88,31.81,407300.0,31.560000000000002,60.55689020316072,21044800.0
