date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,29.0,29.56,28.5,28.69,3259300.0,28.442500000000003,0.0,-2739300.0
1999-11-02,28.94,29.19,28.31,28.31,2739300.0,28.442500000000003,0.0,-2739300.0
1999-11-03,28.5,29.31,28.5,28.69,2484900.0,28.442500000000003,51.85185185185185,-254400.0
1999-11-04,28.63,29.63,28.63,29.13,2826700.0,28.442500000000003,70.75858300701198,2572300.0
1999-11-05,29.5,30.19,29.25,29.44,3081700.0,28.442500000000003,77.47092317240998,5654000.0
1999-11-08,29.13,30.56,29.13,30.06,2465900.0,28.442500000000003,84.92446801742739,8119900.0
1999-11-09,30.06,30.38,29.31,29.88,2478200.0,28.442500000000003,76.96343517717325,5641700.0
1999-11-10,30.13,30.56,27.88,28.75,4535400.0,28.442500000000003,47.108064688898786,1106300.0
1999-11-11,28.0,28.56,27.0,27.5,5937400.0,28.442500000000003,32.21902546154091,-4831100.0
1999-11-12,28.0,29.19,27.81,28.81,4715900.0,28.442500000000003,50.040252775137006,-115200.0
1999-11-15,28.13,28.69,28.13,28.63,2440400.0,28.442500000000003,48.16629859624787,-2555600.0
1999-11-16,28.38,29.25,28.19,28.63,2796500.0,28.442500000000003,48.16629859624787,-2555600.0
1999-11-17,28.5,28.81,28.13,28.13,1857600.0,28.442500000000003,42.98090321724263,-4413200.0
1999-11-18,27.63,28.25,27.63,28.25,2350900.0,28.442500000000003,44.524506529633314,-2062300.0
1999-11-19,27.69,28.63,27.44,28.06,2993800.0,28.442500000000003,42.559911146165184,-5056100.0
1999-11-22,28.25,28.5,27.75,27.88,2196400.0,28.442500000000003,40.72652095243555,-7252500.0
1999-11-23,27.81,28.19,27.81,27.81,2638500.0,28.442500000000003,40.004788247211195,-9891000.0
1999-11-24,28.0,28.0,27.75,27.88,2988600.0,28.442500000000003,41.12833227511464,-6902400.0
1999-11-26,27.69,27.88,27.44,27.44,863200.0,28.442500000000003,36.50112385679965,-7765600.0
1999-11-29,27.31,27.38,26.44,26.88,3615500.0,28.442500000000003,31.624476606082837,-11381100.0
1999-11-30,26.38,26.94,26.19,26.19,3559000.0,28.317499999999995,26.86231349849382,-14940100.0
1999-12-01,26.31,26.69,26.13,26.13,3064300.0,28.208499999999997,26.488779861233297,-18004400.0
1999-12-02,26.13,26.94,26.13,26.56,2169900.0,28.101999999999997,33.61350229427184,-15834500.0
1999-12-03,26.75,28.0,26.75,27.25,2854100.0,28.008,43.13724275388872,-12980400.0
1999-12-06,27.0,28.0,26.81,27.0,2991300.0,27.886000000000003,40.85058247070152,-15971700.0
1999-12-07,26.88,27.88,26.88,27.0,3370000.0,27.732999999999997,40.85058247070152,-15971700.0
1999-12-08,27.0,27.69,27.0,27.19,2584800.0,27.598499999999994,43.49086780354833,-13386900.0
1999-12-09,27.56,27.75,26.31,26.56,2603400.0,27.488999999999997,37.511723425698,-15990300.0
1999-12-10,26.63,27.69,26.63,27.0,4102500.0,27.464,43.367732340687105,-11887800.0
1999-12-13,27.0,27.0,26.25,26.31,3253200.0,27.339,37.441984829266325,-15141000.0
1999-12-14,26.06,26.19,25.81,25.94,2574800.0,27.204500000000003,34.703636266412076,-17715800.0
1999-12-15,25.69,26.31,25.56,26.0,2911900.0,27.073,35.5270940153586,-14803900.0
1999-12-16,25.81,26.06,25.25,25.31,2438900.0,26.932,30.727905531863158,-17242800.0
1999-12-17,25.0,25.25,24.25,24.44,4966100.0,26.741500000000002,25.965191585018218,-22208900.0
1999-12-20,24.44,25.5,24.25,24.66,5110900.0,26.571500000000004,28.963598719729745,-17098000.0
1999-12-21,24.75,25.31,24.63,24.63,5013000.0,26.409000000000002,28.792354828139167,-22111000.0
1999-12-22,24.5,24.56,24.19,24.31,5475900.0,26.234,26.961238986185393,-27586900.0
1999-12-23,24.38,25.0,24.38,24.56,2419700.0,26.068,30.670856901525624,-25167200.0
1999-12-27,24.0,24.56,23.88,24.19,3106200.0,25.9055,28.373956908591026,-28273400.0
1999-12-28,24.25,24.25,24.0,24.0,2245400.0,25.7615,27.24559346114812,-30518800.0
1999-12-29,23.94,24.44,23.94,24.0,2676400.0,25.651999999999997,27.245593461148133,-30518800.0
1999-12-30,24.0,24.25,22.88,24.0,3437700.0,25.545499999999997,27.24559346114812,-30518800.0
1999-12-31,24.06,24.19,23.94,24.06,2141600.0,25.4205,28.36911428179377,-28377200.0
2000-01-03,24.0,24.19,23.44,23.5,2993100.0,25.232999999999997,24.557359525039274,-31370300.0
2000-01-04,23.44,23.75,22.69,22.75,3186700.0,25.0205,20.570876718512324,-34557000.0
2000-01-05,23.0,23.69,23.0,23.56,3290200.0,24.848499999999998,33.185820153983656,-31266800.0
2000-01-06,23.38,24.13,23.13,23.63,2760400.0,24.670499999999997,34.15901447495398,-28506400.0
2000-01-07,23.75,24.81,23.25,24.5,3140400.0,24.567500000000003,44.900916670854166,-25366000.0
2000-01-10,24.63,24.94,23.88,23.94,2897000.0,24.4145,40.3388479819118,-28263000.0
2000-01-11,23.75,24.56,23.75,23.88,1716600.0,24.293,39.87141838813036,-29979600.0
2000-01-12,24.19,24.75,24.0,24.0,2145300.0,24.195999999999998,41.33555749443011,-27834300.0
2000-01-13,24.19,25.5,23.94,24.81,3051500.0,24.136499999999998,50.15793892772732,-24782800.0
2000-01-14,25.06,25.19,24.06,24.19,2626900.0,24.0805,44.62585470155023,-27409700.0
2000-01-18,24.19,25.06,24.06,24.06,2323500.0,24.0615,43.54145744686803,-29733200.0
2000-01-19,24.38,24.5,23.56,23.56,2791800.0,24.0065,39.559771751132565,-32525000.0
2000-01-20,24.0,24.0,23.63,23.75,3181600.0,23.9625,41.74000392379648,-29343400.0
2000-01-21,24.13,24.13,23.25,23.5,2978900.0,23.922,39.710219004063006,-32322300.0
2000-01-24,23.63,23.88,22.81,22.81,2986100.0,23.8345,34.695319921577024,-35308400.0
2000-01-25,23.13,23.63,22.81,22.88,2919300.0,23.769,35.58408448847784,-32389100.0
2000-01-26,23.0,23.75,22.69,23.19,2706800.0,23.7285,39.510283521864515,-29682300.0
2000-01-27,23.44,23.94,23.19,23.19,2444800.0,23.688,39.510283521864515,-29682300.0
2000-01-28,23.19,23.56,22.81,22.81,2460500.0,23.6285,36.359702057881194,-32142800.0
2000-01-31,23.0,23.25,22.88,23.19,2275200.0,23.585,41.39259554113626,-29867600.0
2000-02-01,23.13,23.56,22.94,23.06,2614000.0,23.563,40.22072439259885,-32481600.0
2000-02-02,23.0,23.56,23.0,23.31,1857300.0,23.591,43.53160835441087,-30624300.0
2000-02-03,23.13,23.88,22.88,23.06,3958500.0,23.566,41.08129237086015,-34582800.0
2000-02-04,23.06,23.38,23.06,23.25,2311800.0,23.547,43.67611832275129,-32271000.0
2000-02-07,23.5,23.5,22.88,23.5,2151200.0,23.497,46.9845958446599,-30119800.0
2000-02-08,22.88,23.13,21.31,22.0,3712400.0,23.4,34.05785943083909,-33832200.0
2000-02-09,20.75,21.31,19.88,19.94,7192800.0,23.203,24.207630497653582,-41025000.0
2000-02-10,20.19,20.94,20.13,20.5,5920600.0,23.028,30.124090580399525,-35104400.0
2000-02-11,21.0,22.13,20.81,21.69,5829300.0,22.872,40.71482707964694,-29275100.0
2000-02-14,21.69,22.06,21.06,21.25,3412500.0,22.725,38.39747634658665,-32687600.0
2000-02-15,21.63,21.88,21.5,21.75,1953400.0,22.6095,42.40888297933412,-30734200.0
2000-02-16,21.13,21.94,21.13,21.5,3044400.0,22.5065,40.97226005452022,-33778600.0
2000-02-17,21.38,21.81,21.06,21.25,3745800.0,22.3815,39.53014775848033,-37524400.0
2000-02-18,21.25,21.5,20.94,21.0,2489500.0,22.2565,38.08648825776917,-40013900.0
2000-02-22,20.63,21.88,20.63,21.38,2773000.0,22.185,41.57896751187236,-37240900.0
2000-02-23,21.13,21.31,20.88,20.88,2459900.0,22.085,38.50147597758627,-39700800.0
2000-02-24,21.0,21.13,20.25,20.94,3446300.0,21.9725,39.08414169149751,-36254500.0
2000-02-25,20.25,20.5,19.88,20.38,4024900.0,21.832,35.68576696098788,-40279400.0
2000-02-28,19.94,20.38,19.81,19.81,3488500.0,21.682,32.580493464629726,-43767900.0
2000-02-29,19.75,20.25,19.5,19.69,3435100.0,21.506999999999998,31.950162038132845,-47203000.0
2000-03-01,19.56,20.75,19.13,20.13,5879100.0,21.3605,36.77988993771511,-41323900.0
2000-03-02,20.0,20.25,19.19,19.38,3591500.0,21.163999999999998,32.54041626199654,-44915400.0
2000-03-03,19.75,19.94,19.31,19.38,2590300.0,20.98,32.54041626199654,-44915400.0
2000-03-06,19.19,19.75,19.13,19.19,2401600.0,20.777,31.474502436596225,-47317000.0
2000-03-07,19.19,19.69,18.56,18.56,5252200.0,20.53,28.17849341038746,-52569200.0
2000-03-08,18.5,18.63,17.94,18.06,5982200.0,20.333,25.863592007812144,-58551400.0
2000-03-09,18.0,18.56,17.81,18.19,5139400.0,20.2455,27.530561517371666,-53412000.0
2000-03-10,18.44,18.56,17.88,17.94,3722400.0,20.1175,26.305591314996647,-57134400.0
2000-03-13,17.25,18.0,17.19,17.75,5066500.0,19.9205,25.381271824018526,-62200900.0
2000-03-14,17.69,18.0,17.56,18.0,3540000.0,19.758000000000003,28.920352003741357,-58660900.0
2000-03-15,17.69,20.0,17.69,19.5,6866500.0,19.645500000000002,45.593843124619006,-51794400.0
2000-03-16,19.94,21.88,19.44,21.25,8331300.0,19.633000000000003,57.97850703535871,-43463100.0
2000-03-17,21.38,22.06,20.5,20.88,4018800.0,19.6145,55.121535948233394,-47481900.0
2000-03-20,20.69,20.88,20.19,20.38,1920400.0,19.5835,51.43316152631475,-49402300.0
2000-03-21,20.38,22.19,20.19,22.06,5258500.0,19.6175,60.90016570241978,-44143800.0
2000-03-22,21.38,22.0,21.0,21.5,3473300.0,19.648500000000002,56.9174303528615,-47617100.0
2000-03-23,21.75,22.63,21.31,22.25,4430400.0,19.714000000000002,60.630872671586516,-43186700.0
2000-03-24,22.75,23.38,22.44,23.0,3567500.0,19.845000000000002,63.97486578555185,-39619200.0
2000-03-27,23.0,23.13,21.75,21.75,2389700.0,19.942,55.51178964633162,-42008900.0
2000-03-28,22.31,22.94,22.19,22.63,3120000.0,20.089000000000002,59.56698969678611,-38888900.0
2000-03-29,22.81,22.94,22.44,22.63,2027900.0,20.214000000000002,59.56698969678611,-38888900.0
2000-03-30,22.63,24.19,22.63,23.25,5469800.0,20.407500000000002,62.36973124865574,-33419100.0
2000-03-31,23.88,24.06,22.88,23.81,5613200.0,20.628999999999998,64.74672205340283,-27805900.0
2000-04-03,23.94,24.5,23.5,24.5,2630600.0,20.8945,67.47305680855442,-25175300.0
2000-04-04,25.0,25.06,22.38,24.13,5097700.0,21.173000000000002,64.58854390918344,-30273000.0
2000-04-05,23.63,23.81,22.81,23.5,2944900.0,21.445,59.89344343196208,-33217900.0
2000-04-06,23.38,23.56,22.5,22.81,2586100.0,21.676000000000002,55.16371578069431,-35804000.0
2000-04-07,22.81,23.0,22.56,22.63,2723300.0,21.9105,53.966454775341894,-38527300.0
2000-04-10,22.31,23.19,22.25,23.13,2218200.0,22.179499999999997,56.773003395055284,-36309100.0
2000-04-11,23.38,23.38,22.75,22.75,1833200.0,22.416999999999998,54.07470140939827,-38142300.0
2000-04-12,23.0,24.19,22.81,23.25,2477500.0,22.604499999999998,56.97248556341856,-35664800.0
2000-04-13,23.38,24.06,23.31,23.44,2488100.0,22.714,58.055556158033106,-33176700.0
2000-04-14,23.0,23.0,20.56,20.88,4247300.0,22.714,42.523981878154196,-37424000.0
2000-04-17,20.88,21.31,20.56,21.0,3461400.0,22.744999999999997,43.2898577521296,-33962600.0
2000-04-18,21.19,21.5,20.88,21.0,2519000.0,22.692,43.2898577521296,-33962600.0
2000-04-19,20.81,20.81,20.06,20.38,3505600.0,22.636,40.08892918739157,-37468200.0
2000-04-20,20.06,22.81,20.06,22.5,4414300.0,22.6485,52.91053531623755,-33053900.0
