date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,80.5,82.25,79.81,80.31,4964300.0,77.57300000000001,100.0,4538300.0
1999-11-02,80.69,82.31,80.38,81.06,4538300.0,77.57300000000001,100.0,4538300.0
1999-11-03,82.69,83.75,78.44,78.56,5830400.0,77.57300000000001,21.78770949720669,-1292100.0
1999-11-04,79.25,83.88,79.19,83.81,8207400.0,77.57300000000001,71.75228930622382,6915300.0
1999-11-05,85.63,87.75,85.0,85.13,6776500.0,77.57300000000001,75.9179181681495,13691800.0
1999-11-08,84.88,87.0,84.0,85.44,4977700.0,77.57300000000001,76.78380436743453,18669500.0
1999-11-09,87.38,87.94,85.5,85.88,4668600.0,77.57300000000001,77.99328171799685,23338100.0
1999-11-10,86.13,88.88,85.63,87.75,4785100.0,77.57300000000001,82.23030044518951,28123200.0
1999-11-11,88.25,91.31,88.25,90.5,5527400.0,77.57300000000001,86.38250026905561,33650600.0
1999-11-12,91.88,92.5,89.0,91.94,3690200.0,77.57300000000001,87.9679493347323,37340800.0
1999-11-15,92.5,92.88,89.63,89.75,3249600.0,77.57300000000001,73.87999098705515,34091200.0
1999-11-16,90.44,91.5,90.0,91.0,5680400.0,77.57300000000001,76.22082664986175,39771600.0
1999-11-17,90.94,91.56,90.0,91.13,5000300.0,77.57300000000001,76.45713277502027,44771900.0
1999-11-18,91.69,91.69,89.5,91.19,5338100.0,77.57300000000001,76.57284794663077,50110000.0
1999-11-19,91.13,95.13,90.75,94.69,5699900.0,77.57300000000001,82.09984486717036,55809900.0
1999-11-22,47.75,48.75,45.75,48.19,4762700.0,77.57300000000001,18.763494231130764,51047200.0
1999-11-23,49.06,49.19,47.0,47.56,7793100.0,77.57300000000001,18.554643692993764,43254100.0
1999-11-24,47.63,49.5,46.63,49.44,5368100.0,77.57300000000001,21.367364936950068,48622200.0
1999-11-26,50.0,50.06,48.81,49.38,3638900.0,77.57300000000001,21.34203265982363,44983300.0
1999-11-29,49.56,49.88,47.0,48.75,5844000.0,77.57300000000001,21.059707501498593,39139300.0
1999-11-30,47.5,47.56,45.0,45.56,9557900.0,75.8355,19.642768010170386,29581400.0
1999-12-01,45.0,46.44,44.0,44.31,7485700.0,73.998,19.10045904037473,22095700.0
1999-12-02,44.63,45.5,44.25,44.75,7278200.0,72.30749999999999,19.93836618891251,29373900.0
1999-12-03,45.69,47.94,45.19,46.25,9474000.0,70.42949999999999,22.871214470543933,38847900.0
1999-12-06,46.13,46.75,44.0,45.0,5201200.0,68.423,22.143250379817104,33646700.0
1999-12-07,45.05,45.56,44.0,44.81,6460700.0,66.39150000000001,22.028479023591885,27186000.0
1999-12-08,44.38,48.0,44.25,45.25,6491400.0,64.36,23.02350413003265,33677400.0
1999-12-09,46.75,48.0,42.63,44.0,10458800.0,62.1725,22.158380703061354,23218600.0
1999-12-10,44.25,45.81,44.13,44.75,7321500.0,59.885000000000005,24.003548629117788,30540100.0
1999-12-13,45.25,47.25,43.75,46.63,8103900.0,57.6195,28.57402513577196,38644000.0
1999-12-14,47.31,47.5,45.25,46.06,8081900.0,55.43499999999999,28.023729846849847,30562100.0
1999-12-15,45.63,46.25,43.94,45.88,8709800.0,53.178999999999995,27.84138331199385,21852300.0
1999-12-16,45.5,45.63,43.5,44.44,9175200.0,50.8445,26.36347045527245,12677100.0
1999-12-17,45.75,46.38,44.75,45.56,10599200.0,48.563,29.498188663862237,23276300.0
1999-12-20,45.63,49.63,45.13,48.88,9173100.0,46.2725,37.932919981501534,32449400.0
1999-12-21,49.0,50.44,48.63,50.13,8224800.0,46.3695,40.8044707469115,40674200.0
1999-12-22,50.67,53.06,50.25,52.94,9230500.0,46.6385,46.766834483345065,49904700.0
1999-12-23,54.0,54.81,52.75,54.19,6669000.0,46.876,49.21721994812651,56573700.0
1999-12-27,54.94,55.0,51.13,53.19,5246100.0,47.0665,47.33983419339673,51327600.0
1999-12-28,55.06,58.25,54.88,57.69,7643600.0,47.5135,55.555642040498526,58971200.0
1999-12-29,58.75,62.0,57.5,61.81,6529300.0,48.326,61.48097456196239,65500500.0
1999-12-30,63.75,66.44,63.56,64.88,5499100.0,49.354499999999994,65.2036534853478,70999600.0
1999-12-31,65.38,65.5,59.88,60.06,2610400.0,50.12,56.04538279538037,68389200.0
2000-01-03,70.0,70.0,62.88,62.94,22914900.0,50.954499999999996,59.68871151909961,91304100.0
2000-01-04,62.0,64.13,57.69,58.13,15052600.0,51.611000000000004,51.94460100133399,76251500.0
2000-01-05,59.19,60.25,58.25,59.94,15071400.0,52.36749999999999,54.34501276156582,91322900.0
2000-01-06,60.75,61.94,60.25,61.13,11118400.0,53.161500000000004,55.904531472301805,102441300.0
2000-01-07,62.75,68.5,62.63,68.0,15953900.0,54.3615,63.62875730651077,118395200.0
2000-01-10,69.5,72.69,69.5,72.13,10555300.0,55.73049999999999,67.33337400191142,128950500.0
2000-01-11,72.06,72.38,64.13,66.44,14103100.0,56.72099999999999,58.49361367066611,114847400.0
2000-01-12,67.63,67.75,62.56,63.56,11576800.0,57.59599999999999,54.587304043611184,103270600.0
2000-01-13,64.75,67.75,63.81,66.81,10552600.0,58.642500000000005,57.99626246466274,113823200.0
2000-01-14,68.88,70.0,67.38,68.31,8971200.0,59.836,59.50709368100311,122794400.0
2000-01-18,70.0,70.13,68.25,69.06,8658100.0,61.011,60.27645561226042,131452500.0
2000-01-19,70.0,72.94,69.88,72.0,12070900.0,62.166999999999994,63.22605300443265,143523400.0
2000-01-20,74.38,74.5,69.63,71.81,9460900.0,63.251,62.900993247885225,134062500.0
2000-01-21,73.38,75.0,72.0,74.69,8154300.0,64.3385,65.77345202057394,142216800.0
2000-01-24,75.88,76.5,69.13,69.25,9853500.0,65.0915,56.82367999321511,132363300.0
2000-01-25,70.75,70.81,66.0,69.38,11251900.0,65.901,56.97434692498004,143615200.0
2000-01-26,67.88,68.88,64.06,64.13,16000800.0,66.223,49.46696935480114,127614400.0
2000-01-27,65.0,65.06,59.13,61.38,14797000.0,66.2015,46.04446207814683,112817400.0
2000-01-28,61.44,61.44,59.38,59.69,10899900.0,65.942,44.028414322624215,101917500.0
2000-01-31,61.0,63.88,59.88,63.69,12619500.0,66.1235,49.64792795101352,114537000.0
2000-02-01,64.75,66.0,62.75,65.31,9902700.0,66.242,51.76032334960146,124439700.0
2000-02-02,65.13,65.13,61.88,63.75,9976900.0,66.523,49.602310436735046,114462800.0
2000-02-03,64.75,65.0,62.38,64.0,7613000.0,66.726,49.96235315313414,122075800.0
2000-02-04,64.75,66.5,64.13,64.63,8069600.0,66.901,50.91402247793533,130145400.0
2000-02-07,66.5,69.56,65.13,69.19,9190200.0,66.9605,57.25153327423284,139335600.0
2000-02-08,70.38,72.19,69.19,70.5,11108300.0,66.879,58.89349473905747,150443900.0
2000-02-09,71.25,71.5,66.63,66.81,7774100.0,66.89750000000001,52.74760306325489,142669800.0
2000-02-10,67.38,67.5,64.5,65.19,8880100.0,66.97900000000001,50.26745393279488,133789700.0
2000-02-11,65.31,66.31,61.94,62.63,8105000.0,66.77,46.543186863399555,125684700.0
2000-02-14,63.56,65.88,62.38,65.06,8794600.0,66.6075,50.30677509416678,134479300.0
2000-02-15,65.25,65.75,64.19,65.06,8358400.0,66.4075,50.30677509416678,134479300.0
2000-02-16,65.13,70.0,64.75,69.88,11654800.0,66.3015,57.23329325656922,146134100.0
2000-02-17,70.19,74.0,69.94,72.75,14842800.0,66.3485,60.74213673305308,160976900.0
2000-02-18,74.5,75.0,69.94,71.31,14959700.0,66.1795,58.16359191516538,146017200.0
2000-02-22,71.69,71.94,66.38,67.5,8657100.0,66.09200000000001,51.88743248168373,137360100.0
2000-02-23,68.69,72.13,67.13,71.44,9098600.0,66.195,57.04889756469349,146458700.0
2000-02-24,72.13,73.19,68.45,72.56,9630100.0,66.6165,58.414617487814304,156088800.0
2000-02-25,73.0,74.0,70.13,73.56,8556500.0,67.2255,59.64833422862365,164645300.0
2000-02-28,72.88,72.88,66.5,68.44,13264800.0,67.66300000000001,51.26278357978261,151380500.0
2000-02-29,70.25,70.5,67.13,68.19,8593500.0,67.888,50.886607225050795,142787000.0
2000-03-01,67.0,67.25,64.81,65.06,10212300.0,67.87549999999999,46.30511179003099,132574700.0
2000-03-02,65.31,67.88,63.0,65.31,12075000.0,67.95349999999999,46.71774739000398,144649700.0
2000-03-03,66.88,67.88,65.0,66.31,10481000.0,68.069,48.425075637514,155130700.0
2000-03-06,66.88,66.88,63.31,64.56,12645900.0,68.0655,45.6672785292743,142484800.0
2000-03-07,65.44,65.5,60.5,61.0,12739800.0,67.65599999999999,40.60166056927735,129745000.0
2000-03-08,63.0,63.38,60.69,61.38,15595000.0,67.2,41.34951520486339,145340000.0
2000-03-09,61.56,61.69,58.88,59.0,10935000.0,66.8095,38.11288725510974,134405000.0
2000-03-10,60.0,63.38,58.75,59.56,16043800.0,66.52799999999999,39.31650531252531,150448800.0
2000-03-13,58.19,60.25,58.0,58.0,10081100.0,66.29650000000001,37.14901563417398,140367700.0
2000-03-14,59.88,60.0,51.06,52.25,27589100.0,65.65599999999999,30.479202597127497,112778600.0
2000-03-15,57.19,59.38,56.0,58.5,33529500.0,65.328,42.55269390561451,146308100.0
2000-03-16,62.5,65.5,61.13,64.75,18216200.0,65.0715,51.60401805675064,164524300.0
2000-03-17,64.25,65.19,62.19,63.13,12260600.0,64.5905,49.43004989300909,152263700.0
2000-03-20,62.25,62.38,56.94,58.0,20278200.0,63.925,43.220670509828935,131985500.0
2000-03-21,58.13,61.5,55.13,61.13,16598600.0,63.6065,47.54994157354337,148584100.0
2000-03-22,61.69,63.13,60.0,61.75,11226000.0,63.122,48.38939290457555,159810100.0
2000-03-23,58.0,58.5,56.81,57.69,20064100.0,62.37850000000001,43.481723260518564,139746000.0
2000-03-24,58.25,58.42,52.75,54.56,21633800.0,61.4285,40.10477634700748,118112200.0
2000-03-27,55.13,61.0,55.13,60.38,15924900.0,61.02550000000001,48.16591277853671,134037100.0
2000-03-28,61.25,65.75,60.41,62.81,18037600.0,60.7565,51.123722132278786,152074700.0
2000-03-29,64.94,65.88,61.69,62.25,10524700.0,60.61600000000001,50.40982384598125,141550000.0
2000-03-30,61.56,64.31,59.0,60.25,9182700.0,60.363,47.84040237162454,132367300.0
2000-03-31,61.63,63.0,59.63,61.38,7864600.0,60.116499999999995,49.409402956945826,140231900.0
2000-04-03,61.0,61.94,58.13,59.38,6449800.0,59.8575,46.73010002522169,133782100.0
2000-04-04,60.13,60.13,53.81,56.44,14755200.0,59.62950000000001,43.03570639110474,119026900.0
2000-04-05,56.31,62.25,56.0,59.63,10977800.0,59.541999999999994,47.85300715237745,130004700.0
2000-04-06,61.89,64.38,61.5,62.31,10843500.0,59.707499999999996,51.559304111660474,140848200.0
2000-04-07,63.44,64.38,60.25,60.94,8580600.0,59.7765,49.61788350145838,132267600.0
2000-04-10,62.0,63.75,58.75,58.88,9390100.0,59.8205,46.7663566676561,122877500.0
2000-04-11,58.0,60.38,57.0,59.13,7586200.0,60.1645,47.1632128052808,130463700.0
2000-04-12,60.13,61.5,58.19,58.39,7345800.0,60.159000000000006,46.068433079372326,123117900.0
2000-04-13,59.56,61.38,56.5,57.81,8131900.0,59.812,45.1831526732885,114986000.0
2000-04-14,56.69,58.0,52.13,52.75,12667000.0,59.29299999999999,38.27314177950213,102319000.0
2000-04-17,52.38,54.25,50.0,53.38,12355900.0,59.062,39.513467097309764,114674900.0
2000-04-18,54.77,58.5,54.13,58.38,9480500.0,58.9245,48.378950203549685,124155400.0
2000-04-19,58.44,59.94,55.25,56.0,9010200.0,58.637,44.9980739406294,115145200.0
2000-04-20,56.75,57.25,53.19,54.0,7848300.0,58.4525,42.321544257064815,107296900.0
2000-04-24,53.31,53.8,50.0,51.31,11779300.0,58.29,38.964520297986816,95517600.0
2000-04-25,53.19,54.56,51.25,54.31,11171500.0,57.9865,44.273469811130866,106689100.0
2000-04-26,52.88,61.3,52.5,57.25,31026200.0,57.7085,48.95897456776091,137715300.0
2000-04-27,55.55,55.63,52.63,54.13,12936000.0,57.302499999999995,44.66685598730047,124779300.0
2000-04-28,55.25,56.38,53.0,56.0,12969900.0,57.089999999999996,47.630264184235244,137749200.0
2000-05-01,57.0,57.94,55.13,55.88,7822900.0,56.81500000000001,47.45463000121032,129926300.0
2000-05-02,55.88,57.75,55.39,56.13,8039500.0,56.652499999999996,47.8857773940696,137965800.0
2000-05-03,56.0,56.06,52.88,53.75,6569700.0,56.517999999999994,44.170073769180526,131396100.0
2000-05-04,54.5,57.75,54.38,56.56,7953500.0,56.3645,49.18369639064615,139349600.0
2000-05-05,55.88,59.81,55.63,59.56,7025100.0,56.22700000000001,53.93939023482993,146374700.0
2000-05-08,59.0,62.69,57.88,61.88,9295600.0,56.274,57.269796336538775,155670300.0
2000-05-09,61.94,61.94,58.75,59.94,6544300.0,56.327,53.76876498205701,149126000.0
2000-05-10,59.44,61.0,58.25,59.81,5981400.0,56.361000000000004,53.532600269467466,143144600.0
2000-05-11,60.31,62.0,59.31,61.63,5714400.0,56.523,56.41861592629996,148859000.0
2000-05-12,61.88,62.44,60.88,62.38,4738900.0,56.7515,57.587623904281614,153597900.0
2000-05-15,62.13,64.75,61.19,64.19,6272200.0,57.3235,60.35165851271078,159870100.0
2000-05-16,64.88,65.19,63.31,64.69,8408500.0,57.888999999999996,61.10573015410738,168278600.0
2000-05-17,63.63,64.38,62.81,62.92,4834700.0,58.11600000000001,56.97470700119671,163443900.0
2000-05-18,63.38,63.75,61.0,61.19,4920200.0,58.3755,53.1897482888391,158523700.0
2000-05-19,59.88,60.88,59.63,59.88,5703300.0,58.669500000000006,50.456339048813724,152820400.0
2000-05-22,60.19,60.25,56.25,57.19,10503300.0,58.96350000000001,45.307466212284034,142317100.0
2000-05-23,57.19,60.0,55.5,55.56,7174300.0,59.025999999999996,42.47875741065326,135142800.0
2000-05-24,56.69,59.69,55.94,59.63,8013100.0,59.144999999999996,50.74747981908759,143155900.0
2000-05-25,60.13,62.13,57.75,57.94,6319500.0,59.3355,47.68237712260553,136836400.0
2000-05-26,58.13,59.5,57.0,59.0,3271000.0,59.4855,49.7331431963938,140107400.0
2000-05-30,60.31,63.56,60.31,63.38,5253800.0,59.8605,57.19893134961334,145361200.0
2000-05-31,63.13,64.94,62.5,63.63,7618000.0,60.2355,57.58614641598418,152979200.0
2000-06-01,63.94,65.25,62.13,64.81,6144000.0,60.7885,59.45083467228009,159123200.0
2000-06-02,66.0,68.5,66.0,67.0,10113800.0,61.310500000000005,62.72612524612456,169237000.0
2000-06-05,66.56,68.81,66.25,67.06,6382900.0,61.685500000000005,62.814744991799,175619900.0
2000-06-06,67.31,69.5,66.13,67.5,6327000.0,61.96650000000001,63.50008164630385,181946900.0
2000-06-07,67.94,68.5,66.44,68.0,3942800.0,62.3695,64.30516452689253,185889700.0
2000-06-08,68.13,68.19,65.25,65.69,5272200.0,62.6635,57.946016381252484,180617500.0
2000-06-09,66.0,68.5,61.0,62.63,10110500.0,62.713499999999996,50.78199349799442,170507000.0
