date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,19.31,19.44,18.56,18.94,577800.0,,,
1999-11-02,19.0,20.06,19.0,19.38,942200.0,23.72,100.0,942200.0
1999-11-03,19.5,20.0,19.44,19.75,1599200.0,23.72,100.0,2541400.0
1999-11-04,20.25,20.38,19.75,19.94,758700.0,23.72,100.0,3300100.0
1999-11-05,20.13,20.81,20.13,20.75,2583300.0,23.72,100.0,5883400.0
1999-11-08,20.75,21.19,20.69,21.06,2423200.0,23.72,100.0,8306600.0
1999-11-09,22.5,22.88,22.0,22.88,1695300.0,23.72,100.0,10001900.0
1999-11-10,22.25,23.31,22.25,23.31,1090300.0,23.72,100.0,11092200.0
1999-11-11,23.5,23.94,23.13,23.81,1733800.0,23.72,100.0,12826000.0
1999-11-12,24.0,24.0,23.06,23.5,907200.0,23.72,92.2055026922106,11918800.0
1999-11-15,23.75,24.81,23.5,24.5,1352100.0,23.72,93.86635115739352,13270900.0
1999-11-16,24.5,25.5,24.38,25.5,1243800.0,23.72,95.01114538178228,14514700.0
1999-11-17,25.31,26.31,25.19,25.63,913700.0,23.72,95.13818380443988,15428400.0
1999-11-18,25.94,27.25,25.81,27.06,2400200.0,23.72,96.2648986244429,17828600.0
1999-11-19,27.19,27.25,26.63,26.88,1112400.0,23.72,93.33285012384512,16716200.0
1999-11-22,27.06,27.06,26.69,26.88,404000.0,23.72,93.33285012384512,16716200.0
1999-11-23,26.88,26.88,25.25,25.94,798100.0,23.72,78.797080418154,15918100.0
1999-11-24,25.81,26.19,24.25,25.88,882800.0,23.72,77.96244457006233,15035300.0
1999-11-26,26.13,26.38,26.0,26.25,214400.0,23.72,79.41075757957447,15249700.0
1999-11-29,27.0,27.0,26.13,26.56,686800.0,23.72,80.5633232485252,15936500.0
1999-11-30,26.56,26.69,26.0,26.13,1074500.0,24.0795,74.34638420722735,14862000.0
1999-12-01,26.06,26.5,25.69,26.38,745300.0,24.4295,75.5287494029621,15607300.0
1999-12-02,26.38,27.38,26.38,26.5,1298700.0,24.767,76.098204517493,16906000.0
1999-12-03,27.0,27.63,26.75,27.13,519500.0,25.1265,78.87726201452902,17425500.0
1999-12-06,27.38,27.88,26.75,27.0,843400.0,25.439,76.89058325910004,16582100.0
1999-12-07,27.0,27.5,27.0,27.5,1084500.0,25.761000000000003,79.07371203173433,17666600.0
1999-12-08,27.5,28.0,27.31,28.0,1556100.0,26.017000000000003,81.00607930153942,19222700.0
1999-12-09,28.0,28.88,28.0,28.75,2774700.0,26.289,83.4715781626217,21997400.0
1999-12-10,29.0,29.25,28.75,29.0,987900.0,26.5485,84.20745597839294,22985300.0
1999-12-13,28.88,28.88,28.38,28.69,577600.0,26.808,79.48194088673397,22407700.0
1999-12-14,28.75,29.19,27.75,27.75,977600.0,26.9705,67.17243686610348,21430100.0
1999-12-15,29.38,31.38,29.25,30.81,2975500.0,27.236,78.7239926334673,24405600.0
1999-12-16,31.0,31.25,29.75,30.19,1272800.0,27.464,73.11045946016924,23132800.0
1999-12-17,30.56,32.0,30.38,31.75,1142800.0,27.6985,77.46468067997314,24275600.0
1999-12-20,31.88,33.25,31.75,31.94,1343600.0,27.9515,77.9333612819566,25619200.0
1999-12-21,31.81,31.81,29.75,30.63,363900.0,28.139,67.50842068609255,25255300.0
1999-12-22,30.56,30.94,30.06,30.19,374700.0,28.3515,64.39273857359105,24880600.0
1999-12-23,30.38,30.69,29.19,30.69,350800.0,28.592,66.29633272938386,25231400.0
1999-12-27,30.44,30.44,29.38,29.63,300100.0,28.761000000000003,59.08473303655466,24931300.0
1999-12-28,29.25,30.63,29.25,30.06,336900.0,28.936,60.94087785786595,25268200.0
1999-12-29,30.5,31.5,30.38,31.31,342700.0,29.195,65.79824667045469,25610900.0
1999-12-30,31.38,31.63,30.5,30.88,310300.0,29.42,62.90040170673269,25300600.0
1999-12-31,30.94,31.0,30.5,30.56,206100.0,29.623,60.75595201520797,25094500.0
2000-01-03,30.5,30.62,29.0,29.31,433900.0,29.732,53.13532812270856,24660600.0
2000-01-04,29.0,30.13,28.75,29.0,522300.0,29.832,51.41301874498942,24138300.0
2000-01-05,29.0,29.81,28.56,29.75,674000.0,29.9445,55.19676035218799,24812300.0
2000-01-06,29.44,29.88,28.75,29.56,911700.0,30.0225,54.048443427806085,23900600.0
2000-01-07,29.75,31.25,29.5,31.19,606000.0,30.1445,61.45669634164671,24506600.0
2000-01-10,32.0,34.13,32.0,33.94,1012300.0,30.3915,70.18889208837895,25518900.0
2000-01-11,33.94,37.56,33.81,36.5,2893100.0,30.782,75.70655936522344,28412000.0
2000-01-12,36.81,38.25,36.63,38.0,1479400.0,31.2945,78.24712297719853,29891400.0
2000-01-13,38.25,38.94,37.0,37.0,1507000.0,31.604,72.78248553982179,28384400.0
2000-01-14,37.75,38.5,37.5,38.13,609200.0,32.001,74.91444895201117,28993600.0
2000-01-18,39.5,40.0,38.13,38.44,2728900.0,32.3355,75.48184589177006,31722500.0
2000-01-19,39.0,39.38,38.5,39.0,469400.0,32.6885,76.51522747667406,32191900.0
2000-01-20,39.5,41.31,39.5,40.5,1205200.0,33.182,79.06098539269976,33397100.0
2000-01-21,41.44,43.25,41.31,43.13,2353300.0,33.829,82.61863925130875,35750400.0
2000-01-24,43.13,44.63,41.81,42.0,2161100.0,34.3945,76.59684759045697,33589300.0
2000-01-25,42.75,42.75,40.75,41.31,788000.0,34.9785,73.09351117598136,32801300.0
2000-01-26,41.31,42.25,39.5,39.75,578600.0,35.463,65.76939863595194,32222700.0
2000-01-27,39.75,40.44,38.13,38.38,975700.0,35.8165,60.07616462292482,31247000.0
2000-01-28,38.75,39.38,37.25,37.81,601300.0,36.163,57.83305613326669,30645700.0
2000-01-31,37.75,37.81,35.69,35.88,617700.0,36.429,50.90269320788329,30028000.0
2000-02-01,36.0,38.88,34.31,38.75,1191800.0,36.901,58.807744298247606,31219800.0
2000-02-02,39.0,39.75,38.44,39.5,1714200.0,37.426,60.59333038857446,32934000.0
2000-02-03,39.5,40.38,38.5,40.0,433200.0,37.9385,61.78270479987387,33367200.0
2000-02-04,40.25,42.0,39.81,40.44,754100.0,38.4825,62.8454477803125,34121300.0
2000-02-07,39.25,39.31,38.0,38.63,2011700.0,38.8545,55.95259344049179,32109600.0
2000-02-08,38.75,42.13,38.75,42.0,2194900.0,39.25750000000001,63.89314915628362,34304500.0
2000-02-09,42.5,42.5,41.22,41.88,1885100.0,39.526500000000006,63.45448825263415,32419400.0
2000-02-10,41.88,44.75,41.75,43.94,2589300.0,39.8235,67.57057518376038,35008700.0
2000-02-11,44.5,45.0,44.06,44.25,1212700.0,40.186,68.1518925238902,36221400.0
2000-02-14,44.44,44.88,43.81,44.88,1778700.0,40.5235,69.35418131601811,38000100.0
2000-02-15,45.0,47.25,45.0,45.63,1119500.0,40.883,70.76891750929337,39119600.0
2000-02-16,45.88,46.75,45.0,46.0,479400.0,41.233,71.4686809215201,39599000.0
2000-02-17,45.88,46.13,43.75,45.0,1402200.0,41.458,66.81333014092161,38196800.0
2000-02-18,44.25,44.75,42.38,42.75,749700.0,41.439,57.70538894135844,37447100.0
2000-02-22,43.25,43.31,40.13,41.0,710700.0,41.389,51.7917121852007,36736400.0
2000-02-23,41.75,43.63,41.56,43.31,992100.0,41.489,57.9216802699835,37728500.0
2000-02-24,43.56,45.63,42.63,43.0,764300.0,41.651500000000006,56.87647030828086,36964200.0
2000-02-25,43.06,43.5,41.88,42.5,709800.0,41.8575,55.14791037071426,36254400.0
2000-02-28,42.5,45.75,41.06,45.19,855700.0,42.2265,61.86317720711743,37110100.0
2000-02-29,46.5,49.75,46.5,49.25,1093600.0,42.895,69.32746949219258,38203700.0
2000-03-01,49.25,50.5,47.5,48.88,1480500.0,43.4015,68.02085760394097,36723200.0
2000-03-02,49.0,49.06,47.0,48.5,1208600.0,43.8515,66.63189680303734,35514600.0
2000-03-03,48.75,51.13,48.75,50.88,1843200.0,44.3955,70.6713125756358,37357800.0
2000-03-06,50.44,51.0,49.44,51.0,1335100.0,44.9235,70.86283660880272,38692900.0
2000-03-07,51.5,51.75,47.88,49.63,1100300.0,45.4735,65.59620018134743,37592600.0
2000-03-08,50.0,55.5,49.63,53.94,2308000.0,46.0705,72.51654226861399,39900600.0
2000-03-09,52.06,53.63,50.5,53.63,3095000.0,46.658,71.4040093849018,36805600.0
2000-03-10,53.5,55.5,53.0,54.81,1502800.0,47.2015,73.0959987901639,38308400.0
2000-03-13,53.5,54.38,52.0,53.75,466900.0,47.6765,69.13849830182535,37841500.0
2000-03-14,54.06,54.31,48.25,49.5,1008300.0,47.907500000000006,56.03824614659532,36833200.0
2000-03-15,49.31,49.31,43.75,44.63,1186700.0,47.8575,45.418438982680605,35646500.0
2000-03-16,46.0,46.13,41.13,45.0,1505500.0,47.807500000000005,46.251838332544594,37152000.0
2000-03-17,45.5,51.88,45.5,50.75,1159800.0,48.095000000000006,57.19118158916915,38311800.0
2000-03-20,52.88,52.88,47.38,48.0,943700.0,48.3575,51.76478442202433,37368100.0
2000-03-21,48.06,48.5,45.75,47.88,889100.0,48.7015,51.53500134787017,36479000.0
2000-03-22,48.13,53.0,48.13,53.0,1099900.0,49.186,59.74553025059593,37578900.0
2000-03-23,53.13,53.75,50.5,52.19,440900.0,49.6455,58.069466600543166,37138000.0
2000-03-24,53.5,54.25,50.75,52.0,1646100.0,50.1205,57.66084683597336,35491900.0
2000-03-27,52.0,52.0,49.56,50.31,550500.0,50.37650000000001,54.01967412347455,34941400.0
2000-03-28,50.5,51.5,49.5,50.94,643400.0,50.461,55.15651108574662,35584800.0
2000-03-29,51.31,51.94,49.5,49.88,487800.0,50.511,52.79146371790453,35097000.0
2000-03-30,49.75,50.0,48.25,50.0,673700.0,50.586,53.03696809933111,35770700.0
2000-03-31,50.0,51.44,48.38,49.38,529400.0,50.511,51.54546453097128,35241300.0
2000-04-03,49.0,49.0,44.44,45.13,1132800.0,50.2175,42.68421730222583,34108500.0
2000-04-04,46.0,46.63,40.5,43.94,1090900.0,49.93300000000001,40.5806053412842,33017600.0
2000-04-05,44.0,47.0,42.5,46.69,519600.0,49.5705,47.07221562220922,33537200.0
2000-04-06,48.75,50.19,48.44,50.0,1355700.0,49.389,53.63773178427762,34892900.0
2000-04-07,50.0,50.44,49.19,49.81,339700.0,49.139,53.22955501246189,34553200.0
2000-04-10,49.0,49.06,46.38,46.75,428200.0,48.789,47.023124793136894,34125000.0
2000-04-11,46.13,46.25,44.69,45.63,448100.0,48.5955,44.95694953720309,33676900.0
2000-04-12,45.5,45.56,42.0,43.25,578800.0,48.5265,40.84938143219069,33098100.0
2000-04-13,42.5,42.75,40.63,41.75,1471400.0,48.364,38.46408515490314,31626700.0
2000-04-14,40.5,40.94,39.5,40.19,630700.0,47.836,36.10296678396311,30996000.0
2000-04-17,40.44,41.75,38.25,41.5,966300.0,47.511,39.46352088689676,31962300.0
2000-04-18,41.75,44.5,41.31,43.75,1459800.0,47.3045,44.83044646282455,33422100.0
2000-04-19,43.81,45.69,42.63,45.06,704500.0,46.9075,47.73571885407774,34126600.0
2000-04-20,45.19,45.63,44.0,45.25,1051000.0,46.560500000000005,48.162103684163135,35177600.0
2000-04-24,44.75,44.75,41.25,42.94,536300.0,46.1075,43.51406743545974,34641300.0
2000-04-25,43.19,43.63,42.88,43.0,429800.0,45.742,43.66614232304889,35071100.0
2000-04-26,42.94,45.0,42.44,44.75,1088400.0,45.4325,48.058551024841954,36159500.0
2000-04-27,44.25,44.56,43.0,44.31,302500.0,45.154,47.064909371169975,35857000.0
2000-04-28,45.0,47.0,44.5,46.56,1161900.0,44.982,52.47602036582733,37018900.0
2000-05-01,46.88,47.13,46.13,46.38,708200.0,44.83200000000001,52.017909757487054,36310700.0
2000-05-02,46.31,46.31,45.38,45.69,464700.0,44.86,50.20845558453824,35846000.0
2000-05-03,45.5,45.5,42.0,42.69,559000.0,44.7975,43.17618177175215,35287000.0
2000-05-04,44.0,44.94,42.69,43.31,1560500.0,44.6285,44.89398353992769,36847500.0
2000-05-05,43.38,45.94,43.38,45.25,416000.0,44.391000000000005,49.98854543385924,37263500.0
2000-05-08,45.75,46.13,44.69,45.13,360600.0,44.157,49.68257733922241,36902900.0
2000-05-09,45.0,45.38,41.5,43.75,430800.0,44.007,46.18184096363264,36472100.0
2000-05-10,43.5,43.5,37.5,40.94,1433100.0,43.7725,40.001117275546,35039000.0
2000-05-11,41.5,41.88,39.75,40.44,977700.0,43.632,39.000907336214645,34061300.0
2000-05-12,41.0,42.0,40.63,41.81,731000.0,43.635000000000005,43.19232828975658,34792300.0
2000-05-15,41.56,41.56,40.38,41.0,411800.0,43.67550000000001,41.381835537778144,34380500.0
2000-05-16,42.25,44.88,42.25,43.81,1010700.0,43.791,49.31862007689107,35391200.0
2000-05-17,43.75,45.25,43.13,44.81,3788400.0,43.84400000000001,51.81878406284071,39179600.0
2000-05-18,44.69,45.13,43.75,44.25,626900.0,43.8035,50.32169366810552,38552700.0
2000-05-19,43.75,43.88,42.75,43.0,705600.0,43.691,47.053840381215394,37847100.0
2000-05-22,43.25,43.25,40.94,41.06,482400.0,43.597,42.44673648696229,37364700.0
2000-05-23,41.44,42.25,38.69,39.25,1174500.0,43.4095,38.64495409238568,36190200.0
2000-05-24,38.88,38.94,37.25,38.56,892700.0,43.10000000000001,37.27436155526656,35297500.0
2000-05-25,39.0,40.5,39.0,39.81,796600.0,42.875,41.33365287669948,36094100.0
2000-05-26,40.06,40.06,38.63,39.19,155800.0,42.5065,39.952580850235535,35938300.0
2000-05-30,39.25,39.63,37.0,37.69,1278800.0,42.072,36.75302372377909,34659500.0
2000-05-31,38.13,38.13,36.5,36.63,959800.0,41.619,34.641751833950835,33699700.0
2000-06-01,38.13,39.38,37.5,38.63,779200.0,41.416,41.47322684996165,34478900.0
2000-06-02,40.0,41.5,40.0,41.38,1217200.0,41.3195,49.31760610846526,35696100.0
