date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,26.69,27.38,26.63,26.63,378600.0,,,
1999-11-02,26.88,27.31,26.75,27.19,602000.0,28.198,100.0,602000.0
1999-11-03,28.0,28.38,27.75,27.81,530100.0,28.198,100.0,1132100.0
1999-11-04,27.88,28.5,27.81,27.81,489700.0,28.198,100.0,1132100.0
1999-11-05,28.13,30.0,28.06,29.13,653500.0,28.198,100.0,1785600.0
1999-11-08,28.88,28.94,27.25,27.94,357100.0,28.198,64.2477527290246,1428500.0
1999-11-09,28.13,28.63,27.31,27.31,383800.0,28.198,53.36917527116176,1044700.0
1999-11-10,27.06,28.25,27.0,28.13,229500.0,28.198,62.31367312041184,1274200.0
1999-11-11,28.5,28.63,27.81,28.38,518300.0,28.198,64.54648921851918,1792500.0
1999-11-12,28.75,28.75,28.38,28.69,389800.0,28.198,67.14584548503771,2182300.0
1999-11-15,28.56,29.44,28.25,29.38,274200.0,28.198,72.05669293625806,2456500.0
1999-11-16,29.38,29.75,29.19,29.75,283200.0,28.198,74.27705667337331,2739700.0
1999-11-17,29.63,30.13,29.5,29.81,254900.0,28.198,74.62911622230709,2994600.0
1999-11-18,29.69,29.88,28.88,29.06,198500.0,28.198,63.01843328472667,2796100.0
1999-11-19,29.31,29.31,28.69,28.88,122200.0,28.198,60.58235336557171,2673900.0
1999-11-22,28.75,29.19,28.38,28.56,822200.0,28.198,56.407663680472105,1851700.0
1999-11-23,28.31,28.31,26.88,27.0,418800.0,28.198,41.42219142901333,1432900.0
1999-11-24,26.88,27.38,26.75,27.13,249900.0,28.198,42.78625967576911,1682800.0
1999-11-26,26.88,28.06,26.81,27.81,127600.0,28.198,49.42099367374786,1810400.0
1999-11-29,27.31,27.56,26.81,27.56,328500.0,28.198,47.25151831083029,1481900.0
1999-11-30,27.38,27.56,27.0,27.56,331900.0,28.2445,47.2515183108303,1481900.0
1999-12-01,27.38,28.19,27.13,28.0,318400.0,28.285,51.58929042206635,1800300.0
1999-12-02,27.69,28.19,27.63,27.69,328700.0,28.279000000000003,48.55942062489249,1471600.0
1999-12-03,27.88,28.31,27.31,27.38,335400.0,28.2575,45.6708174776144,1136200.0
1999-12-06,27.25,28.0,27.25,27.94,277200.0,28.198,51.30591701517812,1413400.0
1999-12-07,30.25,30.75,29.13,29.69,1119300.0,28.285500000000003,63.90524162703078,2532700.0
1999-12-08,29.75,30.25,29.31,30.0,646300.0,28.42,65.60308973767405,3179000.0
1999-12-09,30.0,30.63,29.81,29.88,546200.0,28.5075,64.34140892323339,2632800.0
1999-12-10,29.75,32.63,29.75,31.75,597200.0,28.676,73.0421387405868,3230000.0
1999-12-13,31.56,31.56,30.0,30.19,522600.0,28.751,59.90942867411743,2707400.0
1999-12-14,30.0,30.81,29.81,29.81,494000.0,28.7725,57.21104062900813,2213400.0
1999-12-15,29.88,31.25,29.81,30.75,658300.0,28.8225,61.79516597061308,2871700.0
1999-12-16,30.5,30.94,30.0,30.63,384700.0,28.8635,60.898217658017714,2487000.0
1999-12-17,30.56,30.56,30.56,30.56,691900.0,28.9385,60.3479463268288,1795100.0
1999-12-20,30.5,30.75,30.44,30.56,301400.0,29.0225,60.3479463268288,1795100.0
1999-12-21,30.44,30.94,30.38,30.44,430500.0,29.116499999999995,59.28293416259029,1364600.0
1999-12-22,30.44,30.88,30.13,30.31,314800.0,29.282,58.08697156712726,1049800.0
1999-12-23,30.44,31.0,30.31,30.38,313200.0,29.4445,58.57161825266726,1363000.0
1999-12-27,30.13,31.25,30.13,31.06,308400.0,29.607,63.04232701574279,1671400.0
1999-12-28,31.06,31.69,30.75,31.63,227500.0,29.8105,66.32299649556752,1898900.0
1999-12-29,31.75,32.25,30.63,30.75,473000.0,29.97,57.79339798028436,1425900.0
1999-12-30,30.88,32.13,30.81,31.63,276800.0,30.1515,62.927879151339546,1702700.0
1999-12-31,31.5,32.38,31.5,32.31,171000.0,30.3825,66.33584203540369,1873700.0
2000-01-03,32.12,32.5,30.5,30.56,441000.0,30.5415,52.86661317437028,1432700.0
2000-01-04,30.5,30.94,30.31,30.44,490600.0,30.666500000000003,52.085632461255294,942100.0
2000-01-05,30.31,30.38,29.88,30.06,577400.0,30.684999999999995,49.5874857361224,364700.0
2000-01-06,29.75,29.94,28.94,29.06,489600.0,30.638,43.653816834584944,-124900.0
2000-01-07,29.06,31.13,29.06,30.44,472100.0,30.666,52.161187924379774,347200.0
2000-01-10,31.5,31.63,30.56,30.69,355100.0,30.613,53.53001630199089,702300.0
2000-01-11,30.94,30.94,30.06,30.06,648700.0,30.6065,49.67281248369471,53600.0
2000-01-12,29.94,30.0,29.5,29.81,445500.0,30.6065,48.18890636642806,-391900.0
2000-01-13,29.69,30.5,29.56,30.0,224300.0,30.569,49.42547371237033,-167600.0
2000-01-14,30.0,30.31,29.63,29.75,546400.0,30.525,47.80861429123936,-714000.0
2000-01-18,29.5,30.44,29.25,29.63,341900.0,30.478500000000004,47.01360735510221,-1055900.0
2000-01-19,29.75,30.25,29.69,30.13,240500.0,30.457,50.69276859241123,-815400.0
2000-01-20,30.0,30.06,29.0,29.06,375400.0,30.388,43.69978895182479,-1190800.0
2000-01-21,29.31,29.31,28.0,28.25,516500.0,30.285,39.28208408707809,-1707300.0
2000-01-24,28.19,28.44,27.75,27.75,384600.0,30.1535,36.80845480060308,-2091900.0
2000-01-25,27.63,28.31,27.38,27.88,361200.0,29.9945,37.90333450219046,-1730700.0
2000-01-26,26.75,28.0,26.75,27.63,600700.0,29.7945,36.590362454338894,-2331400.0
2000-01-27,27.5,27.69,26.69,27.0,441300.0,29.607,33.44616630671767,-2772700.0
2000-01-28,26.75,27.13,26.19,26.19,384800.0,29.335,29.889883465392188,-3157500.0
2000-01-31,26.25,26.5,26.13,26.25,329400.0,29.032,30.47955936788611,-2828100.0
2000-02-01,26.13,27.06,26.13,26.31,564300.0,28.8195,31.103601475678506,-2263800.0
2000-02-02,26.06,26.25,25.63,25.81,512200.0,28.588,28.784777939892862,-2776000.0
2000-02-03,25.81,26.94,25.13,26.56,428900.0,28.413,36.43935593730418,-2347100.0
2000-02-04,26.5,27.13,26.5,26.63,388000.0,28.2915,37.11870248755337,-1959100.0
2000-02-07,26.25,26.25,25.25,25.38,163100.0,28.0385,30.79006345581847,-2122200.0
2000-02-08,25.38,25.63,24.5,25.19,575300.0,27.7635,29.954072298544983,-2697500.0
2000-02-09,25.63,25.75,23.88,24.0,796600.0,27.460500000000003,25.31756383190229,-3494100.0
2000-02-10,24.0,24.25,23.38,24.06,1114300.0,27.172999999999995,25.940018538090182,-2379800.0
2000-02-11,24.0,24.13,23.25,23.25,1216000.0,26.8355,23.136488718521548,-3595800.0
2000-02-14,23.25,23.5,23.06,23.38,237300.0,26.517000000000003,24.54597332058069,-3358500.0
2000-02-15,23.31,23.63,23.06,23.38,382100.0,26.204500000000003,24.54597332058069,-3358500.0
2000-02-16,23.38,23.56,22.06,22.31,922700.0,25.8135,20.889388623530703,-4281200.0
2000-02-17,23.38,23.94,22.63,22.63,758100.0,25.492,24.51122352873695,-3523100.0
2000-02-18,23.0,23.13,22.0,22.13,1077000.0,25.186,22.75801716216669,-4600100.0
2000-02-22,22.0,22.88,22.0,22.38,1041500.0,24.9175,25.62261488328248,-3558600.0
2000-02-23,22.38,23.5,22.31,23.25,937900.0,24.686,34.69865271088962,-2620700.0
2000-02-24,23.0,23.06,22.06,22.06,619500.0,24.4075,29.41188072839232,-3240200.0
2000-02-25,22.06,24.38,22.06,23.31,685000.0,24.223,39.789504132355546,-2555200.0
2000-02-28,23.19,24.06,22.56,23.06,486000.0,24.0665,38.5682367475253,-3041200.0
2000-02-29,22.94,24.63,22.75,24.0,878600.0,23.954,45.35920597017556,-2162600.0
2000-03-01,24.56,24.56,22.13,22.63,724400.0,23.77,38.652703964607326,-2887000.0
2000-03-02,22.75,23.25,22.5,22.81,945000.0,23.62,39.90980688805266,-1942000.0
2000-03-03,22.25,22.75,22.25,22.44,668200.0,23.414,38.17798846355296,-2610200.0
2000-03-06,22.56,22.69,22.25,22.38,661200.0,23.2015,37.8908500559758,-3271400.0
2000-03-07,22.19,22.38,21.0,21.13,1092800.0,22.989,32.420216749984206,-4364200.0
2000-03-08,21.38,22.06,21.38,22.0,485300.0,22.8295,39.019381963668856,-3878900.0
2000-03-09,21.88,23.0,21.5,22.75,394600.0,22.767,44.08815370630055,-3484300.0
2000-03-10,22.56,22.69,21.56,21.81,476600.0,22.6545,39.64077306018151,-3960900.0
2000-03-13,21.81,21.81,21.06,21.31,490100.0,22.5575,37.47529266173535,-4451000.0
2000-03-14,21.5,22.75,21.19,22.56,519800.0,22.5165,45.49201692177149,-3931200.0
2000-03-15,22.25,24.25,22.25,24.13,687700.0,22.554,53.54808652244417,-3243500.0
2000-03-16,24.0,27.0,23.5,26.44,863600.0,22.7605,62.362293744613744,-2379900.0
2000-03-17,25.75,26.13,24.31,24.31,901500.0,22.8445,52.4748665650446,-3281400.0
2000-03-20,24.63,25.0,24.44,25.0,519100.0,22.988,54.96577672868648,-2762300.0
2000-03-21,25.0,25.88,24.94,25.69,397500.0,23.1535,57.37188691857807,-2364800.0
2000-03-22,25.44,25.44,24.5,24.75,543500.0,23.2285,53.20164416790135,-2908300.0
2000-03-23,24.25,24.69,23.5,24.13,820500.0,23.332,50.58964889338174,-3728800.0
2000-03-24,24.63,25.94,24.25,25.56,622700.0,23.4445,55.960231395283806,-3106100.0
2000-03-27,25.75,26.03,25.5,25.63,560400.0,23.573,56.21113897864812,-2545700.0
2000-03-28,25.25,26.63,25.25,26.25,518500.0,23.6855,58.468123821460274,-2027200.0
2000-03-29,26.06,27.5,26.06,26.81,767700.0,23.8945,60.45093880959556,-1259500.0
2000-03-30,27.06,27.75,26.88,27.19,468400.0,24.1135,61.78422555156904,-791100.0
2000-03-31,26.75,28.38,26.75,27.75,831400.0,24.379,63.72503754458448,40300.0
2000-04-03,27.81,28.5,27.56,27.88,381500.0,24.654,64.17982503849623,421800.0
2000-04-04,27.63,28.88,26.5,27.06,655300.0,24.9505,59.14296568951255,-233500.0
2000-04-05,27.0,28.06,27.0,27.69,516200.0,25.235,61.63421269696486,282700.0
2000-04-06,27.69,28.81,27.56,28.63,286100.0,25.529,65.05773377805141,568800.0
2000-04-07,28.38,29.25,28.38,28.94,906100.0,25.8855,66.13110139629211,1474900.0
2000-04-10,28.69,30.0,28.31,29.19,409300.0,26.2795,67.01119132524886,1884200.0
2000-04-11,29.0,30.06,28.88,29.75,921500.0,26.639,68.95709372140752,2805700.0
2000-04-12,29.75,29.75,29.0,29.19,484500.0,26.892000000000003,64.83829392221952,2321200.0
2000-04-13,29.19,29.19,27.75,27.81,362500.0,26.960500000000003,55.966778963968494,1958700.0
2000-04-14,27.56,27.56,25.38,26.0,516700.0,27.045000000000005,46.90227066788336,1442000.0
2000-04-17,25.75,26.31,25.5,25.94,504300.0,27.092,46.63264493071339,937700.0
2000-04-18,25.63,26.88,25.5,26.31,404800.0,27.123,48.59513234095644,1342500.0
2000-04-19,26.06,26.13,25.25,25.44,435700.0,27.1575,44.4555249395755,906800.0
2000-04-20,25.13,25.94,24.31,24.94,522000.0,27.198,42.229072786466496,384800.0
2000-04-24,24.69,25.5,24.19,24.94,405200.0,27.167,42.229072786466496,384800.0
2000-04-25,25.0,25.44,25.0,25.06,321700.0,27.138500000000004,43.02333744497195,706500.0
2000-04-26,25.0,25.06,23.75,23.94,873300.0,27.023000000000003,37.799777276002416,-166800.0
2000-04-27,23.13,23.25,22.25,23.06,539700.0,26.835500000000003,34.27825424335239,-706500.0
2000-04-28,22.94,23.31,22.81,22.94,265500.0,26.623,33.81561566109909,-972000.0
2000-05-01,22.88,23.13,22.5,23.06,491800.0,26.3885,34.76380799217196,-480200.0
2000-05-02,23.0,23.5,22.38,22.5,500100.0,26.1195,32.42892600260424,-980300.0
2000-05-03,22.25,22.25,21.75,21.88,566200.0,25.8605,30.02454968844495,-1546500.0
2000-05-04,21.94,22.38,21.88,22.13,337500.0,25.5825,32.20721113891938,-1209000.0
2000-05-05,21.94,22.25,21.88,21.94,346300.0,25.248,31.405451853851915,-1555300.0
2000-05-08,22.0,22.75,21.94,22.44,519900.0,24.923,35.925831818406365,-1035400.0
2000-05-09,23.13,23.13,22.81,23.13,691800.0,24.62,41.64133487035125,-343600.0
2000-05-10,22.94,23.0,22.38,22.63,264600.0,24.264000000000003,38.93129353543286,-608200.0
2000-05-11,22.88,24.25,22.81,23.94,454400.0,24.0015,48.405459637525325,-153800.0
2000-05-12,23.94,24.19,23.56,23.69,262800.0,23.7955,46.90977838140804,-416600.0
2000-05-15,26.88,27.13,25.5,26.88,917400.0,23.8395,62.7332450910542,500800.0
2000-05-16,27.0,27.31,25.94,26.5,794800.0,23.8675,60.42295427395557,-294000.0
2000-05-17,26.25,26.38,25.69,26.0,376400.0,23.852,57.42620698264783,-670400.0
2000-05-18,25.75,27.13,25.75,26.75,330300.0,23.9175,60.58408749771478,-340100.0
2000-05-19,26.56,27.38,26.56,26.81,579800.0,24.011000000000003,60.83437151633327,239700.0
2000-05-22,27.0,27.94,26.56,27.75,678000.0,24.1515,64.62427515764715,917700.0
2000-05-23,27.75,27.75,27.31,27.5,645700.0,24.2735,62.88149438151475,272000.0
2000-05-24,27.25,27.5,25.75,26.81,541600.0,24.417,58.21514925401228,-269600.0
2000-05-25,27.63,27.75,26.75,27.06,539200.0,24.617,59.39099920975115,269600.0
2000-05-26,27.19,27.44,26.81,27.19,600900.0,24.829500000000003,60.02101701145327,870500.0
2000-05-30,27.19,28.06,27.19,27.81,321000.0,25.067,62.971541167713575,1191500.0
2000-05-31,28.0,28.5,27.88,28.19,354800.0,25.3515,64.69151978437358,1546300.0
2000-06-01,27.81,28.25,27.5,28.19,548700.0,25.667,64.69151978437358,1546300.0
2000-06-02,28.38,29.69,28.38,28.94,586800.0,26.0075,68.08488679774939,2133100.0
2000-06-05,29.0,29.0,28.31,28.94,303600.0,26.3575,68.08488679774939,2133100.0
2000-06-06,28.81,28.81,28.0,28.06,297300.0,26.6385,60.2105308756941,1835800.0
2000-06-07,28.06,28.88,27.31,28.38,674600.0,26.901,61.93456974850255,2510400.0
2000-06-08,28.13,28.31,27.38,27.75,241500.0,27.157,56.723606621204645,2268900.0
2000-06-09,27.75,28.44,27.63,27.94,339900.0,27.357,57.87473885783279,2608800.0
2000-06-12,28.06,28.31,28.0,28.06,319600.0,27.5755,58.62332549059027,2928400.0
2000-06-13,28.06,29.0,28.06,28.75,370400.0,27.669,62.72507187895925,3298800.0
2000-06-14,28.88,29.06,28.75,28.94,328700.0,27.791000000000004,63.78954904147125,3627500.0
2000-06-15,28.88,29.19,28.88,29.0,291000.0,27.941000000000003,64.13783691028202,3918500.0
2000-06-16,28.25,28.5,26.5,27.38,1490200.0,27.972500000000004,50.12043076763316,2428300.0
2000-06-19,27.56,27.75,26.81,27.13,427300.0,27.9885,48.36378845985499,2001000.0
2000-06-20,26.88,27.13,26.38,26.38,454300.0,27.92,43.444428825172736,1546700.0
2000-06-21,26.44,26.63,26.19,26.31,501800.0,27.8605,43.004759423099,1044900.0
2000-06-22,26.31,26.38,25.94,25.94,382000.0,27.817,40.66229805195482,662900.0
2000-06-23,25.94,25.94,24.56,24.94,1416200.0,27.711,35.09787990572953,-753300.0
2000-06-26,24.94,24.94,24.31,24.44,734000.0,27.573500000000003,32.68916007377857,-1487300.0
2000-06-27,24.5,24.88,24.19,24.81,853600.0,27.4235,36.17960885411295,-633700.0
2000-06-28,24.88,24.94,24.5,24.64,786300.0,27.246,35.274523989989035,-1420000.0
2000-06-29,24.63,24.63,23.75,24.0,637700.0,27.0365,32.02628663052265,-2057700.0
2000-06-30,24.25,24.5,22.0,22.02,988200.0,26.6905,24.50739738440747,-3045900.0
2000-07-03,22.63,23.94,22.63,23.75,603100.0,26.431,38.16686992264876,-2442800.0
2000-07-05,23.81,24.56,23.75,24.06,529300.0,26.231,40.25302099913054,-1913500.0
2000-07-06,23.81,24.56,23.81,24.5,729900.0,26.037,43.183089703215565,-1183600.0
