date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,40.31,40.69,39.5,40.06,90200.0,39.179500000000004,0.0,-167900.0
1999-11-02,40.31,40.31,39.44,39.75,167900.0,39.179500000000004,0.0,-167900.0
1999-11-03,40.5,40.5,40.06,40.13,81400.0,39.179500000000004,56.89839572192512,-86500.0
1999-11-04,40.19,40.38,39.06,39.44,102600.0,39.179500000000004,26.932512948323534,-189100.0
1999-11-05,39.63,39.81,39.19,39.56,148100.0,39.179500000000004,33.49265858679517,-41000.0
1999-11-08,39.31,40.06,39.25,39.81,72300.0,39.179500000000004,44.64336621443161,31300.0
1999-11-09,39.81,39.81,37.88,38.38,275000.0,39.179500000000004,21.961583022873413,-243700.0
1999-11-10,38.38,40.31,37.75,39.75,147500.0,39.179500000000004,48.800102936105475,-96200.0
1999-11-11,39.5,40.75,39.44,40.44,153800.0,39.179500000000004,56.84927817624682,57600.0
1999-11-12,40.44,40.81,38.25,39.13,139300.0,39.179500000000004,43.02096200753463,-81700.0
1999-11-15,39.0,39.88,39.0,39.5,204000.0,39.179500000000004,46.946283818047924,122300.0
1999-11-16,39.69,39.88,39.38,39.44,173600.0,39.179500000000004,46.38819688223743,-51300.0
1999-11-17,39.38,39.56,38.88,39.5,95800.0,39.179500000000004,47.06587129582776,44500.0
1999-11-18,39.38,40.56,38.94,39.31,88400.0,39.179500000000004,45.12084733700317,-43900.0
1999-11-19,38.81,39.44,38.06,38.88,169100.0,39.179500000000004,40.99209782864801,-213000.0
1999-11-22,39.13,39.31,38.06,38.13,65200.0,39.179500000000004,34.979851795444716,-278200.0
1999-11-23,38.25,39.0,37.81,39.0,169800.0,39.179500000000004,45.048258162552784,-108400.0
1999-11-24,38.63,38.63,37.88,38.19,65600.0,39.179500000000004,38.99399901590356,-174000.0
1999-11-26,38.44,38.44,37.75,37.75,19600.0,39.179500000000004,36.15173456045356,-193600.0
1999-11-29,37.81,38.31,37.44,37.44,176100.0,39.179500000000004,34.25715974016386,-369700.0
1999-11-30,37.19,37.69,36.31,37.19,159000.0,39.035999999999994,32.76585261417479,-528700.0
1999-12-01,36.94,38.0,36.25,37.75,233900.0,38.936,39.15540515345913,-294800.0
1999-12-02,38.0,38.69,37.69,38.5,134600.0,38.854499999999994,46.48995968197592,-160200.0
1999-12-03,38.75,39.44,38.75,39.19,87300.0,38.842,52.19897793417453,-72900.0
1999-12-06,39.0,39.75,38.75,39.44,112900.0,38.836,54.10938380385362,40000.0
1999-12-07,39.19,39.94,38.81,39.38,81100.0,38.814499999999995,53.55616887845978,-41100.0
1999-12-08,39.13,39.31,38.44,38.56,43100.0,38.8235,46.55129454485851,-84200.0
1999-12-09,38.44,38.63,37.19,37.44,59800.0,38.708,39.04036672571969,-144000.0
1999-12-10,37.69,38.25,37.31,38.13,79800.0,38.592499999999994,44.93495622187654,-64200.0
1999-12-13,37.94,38.63,36.19,36.38,173900.0,38.455,35.54671339474832,-238100.0
1999-12-14,36.13,36.41,35.69,35.81,262200.0,38.2705,33.119514095426595,-500300.0
1999-12-15,36.0,37.69,36.0,37.25,66600.0,38.161,43.597476593119325,-433700.0
1999-12-16,37.06,37.06,36.44,36.63,73300.0,38.0175,40.644924163167104,-507000.0
1999-12-17,36.75,37.0,36.25,36.38,124700.0,37.870999999999995,39.483775201079325,-631700.0
1999-12-20,36.38,36.38,35.38,36.0,138900.0,37.727,37.719851225862534,-770600.0
1999-12-21,36.0,36.63,35.94,36.38,99100.0,37.6395,40.57868016596206,-671500.0
1999-12-22,36.5,37.19,36.31,36.5,66900.0,37.5145,41.492027384964054,-604600.0
1999-12-23,36.56,37.94,36.56,37.69,112700.0,37.48950000000001,49.74194632522191,-491900.0
1999-12-27,37.63,37.63,36.88,37.13,58000.0,37.4585,46.424473542924794,-549900.0
1999-12-28,37.0,39.13,36.94,38.63,83700.0,37.518,55.06862250963045,-466200.0
1999-12-29,38.25,39.38,37.44,38.25,99000.0,37.571000000000005,52.746800428790095,-565200.0
1999-12-30,38.13,38.31,37.38,37.81,59800.0,37.574,50.11215851288817,-625000.0
1999-12-31,38.06,39.44,38.0,39.38,58300.0,37.618,58.145547563368794,-566700.0
2000-01-03,39.25,40.06,38.94,39.81,204600.0,37.649,60.04333182189111,-362100.0
2000-01-04,39.56,40.31,38.44,38.5,152900.0,37.602000000000004,52.267849617944314,-515000.0
2000-01-05,38.38,39.63,38.38,39.31,72800.0,37.5985,56.057070814731,-442200.0
2000-01-06,39.31,40.5,39.31,39.81,67100.0,37.661,58.259809858528314,-375100.0
2000-01-07,39.94,40.38,38.38,38.69,125800.0,37.7235,51.97488247285301,-500900.0
2000-01-10,42.19,42.19,39.75,39.94,473900.0,37.81400000000001,57.487125377337925,-27000.0
2000-01-11,40.0,40.94,39.81,40.69,309700.0,38.0295,60.42237835266526,282700.0
2000-01-12,40.69,40.75,38.94,38.94,169600.0,38.186,51.489258317338816,113100.0
2000-01-13,39.63,41.75,39.5,39.81,276200.0,38.314,55.047421404983076,389300.0
2000-01-14,41.75,42.44,41.44,42.06,195900.0,38.5855,62.67279835193979,585200.0
2000-01-18,42.31,43.25,41.94,42.38,177400.0,38.8855,63.618044444296274,762600.0
2000-01-19,42.63,42.63,41.38,41.69,255900.0,39.17,60.08484465209507,506700.0
2000-01-20,41.94,42.31,41.56,41.94,211400.0,39.448,60.931468637518215,718100.0
2000-01-21,42.63,42.88,41.0,41.0,268100.0,39.673,56.1121853508514,450000.0
2000-01-24,41.25,41.31,39.0,39.38,165900.0,39.7575,48.92954917966538,284100.0
2000-01-25,39.25,39.38,37.5,37.5,200400.0,39.775999999999996,42.18152700917043,83700.0
2000-01-26,37.0,38.44,37.0,38.0,180300.0,39.7445,44.378597837225435,264000.0
2000-01-27,38.06,38.19,37.19,37.44,230000.0,39.70399999999999,42.433724602511795,34000.0
2000-01-28,37.5,37.5,36.0,36.0,153700.0,39.6135,37.8412916585425,-119700.0
