date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,115.81,121.5,114.0,121.5,388100.0,,,
1999-11-02,123.44,123.44,116.0,116.06,563900.0,126.2155,0.0,-563900.0
1999-11-03,118.5,120.69,117.38,119.37,842200.0,126.2155,39.58653681872546,278300.0
1999-11-04,121.0,127.62,120.75,125.62,770100.0,126.2155,66.52953640262416,1048400.0
1999-11-05,127.0,134.13,126.0,126.63,745800.0,126.2155,68.94020153026617,1794200.0
1999-11-08,125.06,131.88,125.06,130.0,431300.0,126.2155,75.32591496544224,2225500.0
1999-11-09,131.0,132.25,127.25,129.75,212300.0,126.2155,74.1086793336194,2013200.0
1999-11-10,128.37,131.06,123.75,124.0,340100.0,126.2155,52.92492219413859,1673100.0
1999-11-11,126.94,127.0,115.5,121.44,436600.0,126.2155,46.54566698536315,1236500.0
1999-11-12,121.16,121.5,116.5,118.62,316600.0,126.2155,40.72274912508667,919900.0
1999-11-15,118.5,118.75,113.25,115.38,401500.0,126.2155,35.264213018309775,518400.0
1999-11-16,116.0,123.87,115.0,123.06,381600.0,126.2155,51.76776367508211,900000.0
1999-11-17,122.5,129.5,121.0,127.88,865400.0,126.2155,58.8569994669546,1765400.0
1999-11-18,128.09,134.0,118.69,125.0,1537700.0,126.2155,53.77138559328706,227700.0
1999-11-19,126.0,128.25,124.5,125.0,416800.0,126.2155,53.77138559328706,227700.0
1999-11-22,126.75,134.5,124.88,134.5,645300.0,126.2155,65.25618180309945,873000.0
1999-11-23,136.38,139.75,126.5,132.31,550800.0,126.2155,61.4652393922598,322200.0
1999-11-24,133.0,137.0,131.0,135.38,182100.0,126.2155,64.57228490695964,504300.0
1999-11-26,136.25,140.0,135.0,139.0,117300.0,126.2155,67.86275860216574,621600.0
1999-11-29,139.69,140.0,131.62,133.81,230500.0,126.2155,59.3515571815563,391100.0
1999-11-30,131.13,132.0,126.5,126.75,409300.0,126.478,50.139414721276864,-18200.0
1999-12-01,127.0,127.62,123.0,123.87,812700.0,126.8685,46.93880288516437,-830900.0
1999-12-02,125.25,128.5,122.0,125.19,376300.0,127.1595,48.55958392056601,-454600.0
1999-12-03,120.25,128.25,115.0,126.81,1662900.0,127.21899999999998,50.55571550232179,1208300.0
1999-12-06,125.75,126.0,112.5,113.5,1378000.0,126.5625,37.634163387905545,-169700.0
1999-12-07,116.5,119.0,110.0,113.5,1128600.0,125.7375,37.63416338790555,-169700.0
1999-12-08,113.25,119.25,110.0,118.75,1136900.0,125.1875,44.16274849072366,967200.0
1999-12-09,119.13,125.0,112.5,113.5,825700.0,124.6625,39.68848532005906,141500.0
1999-12-10,117.69,126.87,114.0,118.88,1029600.0,124.5345,45.7536627020036,1171100.0
1999-12-13,119.5,127.0,116.75,126.87,401600.0,124.94699999999996,53.2697313181394,1572700.0
1999-12-14,127.5,127.5,117.63,118.19,575900.0,125.0875,45.83927205282751,996800.0
1999-12-15,118.0,125.5,117.75,122.5,546200.0,125.0595,49.598678672788445,1543000.0
1999-12-16,122.88,129.0,118.0,118.5,314000.0,124.5905,46.38100242766392,1229000.0
1999-12-17,123.94,124.69,119.0,122.0,613500.0,124.4405,49.469977914350864,1842500.0
1999-12-20,120.75,127.38,120.19,126.5,477600.0,124.5155,53.20285971856709,2320100.0
1999-12-21,62.0,74.44,61.75,72.19,768300.0,121.4,27.14200517718109,1551800.0
1999-12-22,73.5,88.06,73.37,86.06,1911600.0,119.0875,35.79214589816782,3463400.0
1999-12-23,87.5,105.0,87.5,95.31,2839600.0,117.084,40.83697313517931,6303000.0
1999-12-27,96.62,99.38,90.5,97.88,1045800.0,115.028,42.19589014341541,7348800.0
1999-12-28,98.75,100.5,94.75,97.5,546400.0,113.2125,42.042123424024766,6802400.0
1999-12-29,96.88,97.5,93.5,95.75,608600.0,111.6625,41.295782879462,6193800.0
1999-12-30,96.13,96.44,92.0,93.97,708300.0,110.16750000000002,40.50808310428438,5485500.0
1999-12-31,93.94,99.0,91.25,98.25,408100.0,108.8205,43.308246400215744,5893600.0
2000-01-03,98.38,98.5,85.94,93.25,930900.0,107.1425,40.887091724507926,4962700.0
2000-01-04,89.62,92.75,85.75,86.94,978500.0,105.8145,37.999882675060746,3984200.0
2000-01-05,86.12,94.5,75.0,93.0,1130000.0,104.7895,42.21975523318216,5114200.0
2000-01-06,90.5,98.5,89.0,97.12,914100.0,103.708,44.96243625060523,6028300.0
2000-01-07,97.0,108.5,97.0,108.31,1578800.0,103.4485,51.67224441357205,7607100.0
2000-01-10,115.0,120.88,113.0,119.5,1921800.0,103.4795,57.28088753498941,9528900.0
2000-01-11,115.88,118.5,108.0,110.12,1128400.0,102.642,51.8489068160296,8400500.0
2000-01-12,110.38,110.44,97.5,105.62,1418700.0,102.0135,49.42726759033327,6981800.0
2000-01-13,106.12,117.75,104.5,116.12,1059500.0,101.6945,54.73921086865978,8041300.0
2000-01-14,118.37,120.0,107.5,115.5,959300.0,101.5445,54.37602284147936,7082000.0
2000-01-18,114.13,120.0,105.0,107.06,1119800.0,100.7975,49.55584241655508,5962200.0
2000-01-19,107.06,122.12,106.0,121.0,895000.0,100.5225,56.42629510968068,6857200.0
2000-01-20,116.0,124.5,98.0,122.69,5183500.0,103.0475,57.18758975039795,12040700.0
2000-01-21,125.5,149.0,119.0,147.75,3075700.0,106.13200000000002,66.52670601343368,15116400.0
2000-01-24,144.0,151.63,131.0,137.31,1605100.0,108.232,60.59627638636975,13511300.0
