date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,33.75,33.75,32.81,33.38,8500.0,,,
1999-11-02,33.19,33.19,33.06,33.13,4300.0,36.221,0.0,-4300.0
1999-11-03,33.06,34.0,33.06,34.0,6600.0,36.221,78.93713545042121,2300.0
1999-11-04,33.88,34.25,33.75,34.25,1800.0,36.221,83.07223847109256,4100.0
1999-11-05,34.5,34.5,34.38,34.5,800.0,36.221,86.02655526920344,4900.0
1999-11-08,34.38,34.88,34.38,34.69,3900.0,36.221,87.77307344889141,8800.0
1999-11-09,34.63,35.56,34.63,35.56,8900.0,36.221,92.43542154704588,17700.0
1999-11-10,35.44,35.75,35.38,35.44,10100.0,36.221,87.4804077555325,7600.0
1999-11-11,35.19,35.38,35.19,35.38,15900.0,36.221,85.02618585696992,-8300.0
1999-11-12,35.31,36.25,35.31,36.13,7100.0,36.221,89.13095756957219,-1200.0
1999-11-15,36.25,36.88,36.25,36.88,9200.0,36.221,91.60832273599677,8000.0
1999-11-16,36.88,37.31,36.88,37.19,17200.0,36.221,92.38129678320216,25200.0
1999-11-17,37.31,37.38,37.25,37.31,3000.0,36.221,92.66302941559007,28200.0
1999-11-18,37.44,37.69,37.44,37.63,12900.0,36.221,93.36738842958376,41100.0
1999-11-19,37.75,37.81,37.69,37.69,25000.0,36.221,93.49351588333296,66100.0
1999-11-22,37.69,37.69,37.69,37.69,7500.0,36.221,93.49351588333296,66100.0
1999-11-23,37.88,38.0,37.69,38.0,17300.0,36.221,94.1590748175607,83400.0
1999-11-24,38.0,38.38,37.81,38.38,33700.0,36.221,94.85396963731756,117100.0
1999-11-26,38.38,38.5,38.25,38.5,5000.0,36.221,95.0540787918746,122100.0
1999-11-29,38.69,38.69,38.69,38.69,1000.0,36.221,95.36162973621649,123100.0
1999-11-30,38.88,39.0,38.56,39.0,13000.0,36.502,95.818501760762,136100.0
1999-12-01,39.25,39.25,39.0,39.13,19700.0,36.802,95.99658620107242,155800.0
1999-12-02,39.13,39.25,38.13,38.13,6200.0,37.008500000000005,70.9611128870372,149600.0
1999-12-03,38.19,38.5,38.0,38.0,1200.0,37.196000000000005,68.46149051370921,148400.0
