date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,29.94,30.13,29.75,29.94,281400.0,28.948,100.0,309900.0
1999-11-02,29.94,30.5,29.88,30.44,309900.0,28.948,100.0,309900.0
1999-11-03,30.5,30.69,30.38,30.63,239500.0,28.948,100.0,549400.0
1999-11-04,30.75,30.88,30.5,30.56,167700.0,28.948,89.66867469879512,381700.0
1999-11-05,30.5,30.69,30.0,30.25,132800.0,28.948,60.07046844441684,248900.0
1999-11-08,30.0,30.0,29.31,29.5,285100.0,28.948,32.29559171107644,-36200.0
1999-11-09,29.5,29.63,29.31,29.31,189100.0,28.948,28.678018840019533,-225300.0
1999-11-10,29.31,29.31,28.69,28.75,1277000.0,28.948,21.156098471943977,-1502300.0
1999-11-11,28.75,28.94,28.63,28.75,94500.0,28.948,21.156098471943977,-1502300.0
1999-11-12,28.88,28.88,28.56,28.63,119800.0,28.948,19.861446474617978,-1622100.0
1999-11-15,28.75,28.81,28.13,28.19,193700.0,28.948,15.996105292269775,-1815800.0
1999-11-16,28.25,28.44,28.19,28.38,137200.0,28.948,22.967748591829718,-1678600.0
1999-11-17,28.31,28.75,28.25,28.63,189600.0,28.948,31.073496216712584,-1489000.0
1999-11-18,28.5,28.81,28.44,28.5,137000.0,28.948,29.344345154067994,-1626000.0
1999-11-19,28.56,28.56,28.0,28.31,168000.0,28.948,26.98115692201587,-1794000.0
1999-11-22,28.44,28.5,27.88,28.0,610800.0,28.948,23.63651173253629,-2404800.0
1999-11-23,28.0,28.0,27.5,27.63,142200.0,28.948,20.38797171253391,-2547000.0
1999-11-24,27.75,28.31,27.75,28.25,230400.0,28.948,36.20912229101351,-2316600.0
1999-11-26,28.13,28.19,28.0,28.06,17400.0,28.948,33.980503539573974,-2334000.0
1999-11-29,28.25,28.38,28.06,28.25,137600.0,28.948,38.084454562292215,-2196400.0
1999-11-30,28.13,28.5,28.13,28.31,124600.0,28.866499999999995,39.36627312785623,-2071800.0
1999-12-01,28.5,29.0,28.5,29.0,255600.0,28.7945,51.73991315003841,-1816200.0
1999-12-02,29.0,29.06,28.81,29.06,266200.0,28.716,52.64488884915849,-1550000.0
1999-12-03,29.13,29.88,29.13,29.75,280700.0,28.6755,61.56980142365575,-1269300.0
1999-12-06,29.75,30.13,29.69,29.75,245800.0,28.6505,61.56980142365575,-1269300.0
1999-12-07,29.56,29.75,29.44,29.5,239300.0,28.6505,57.0516035137714,-1508600.0
1999-12-08,29.38,29.5,29.0,29.31,167900.0,28.6505,53.819147756601716,-1676500.0
1999-12-09,29.31,29.44,29.0,29.38,161300.0,28.682,54.83446329295779,-1515200.0
1999-12-10,29.25,29.5,29.13,29.25,178800.0,28.707,52.52487733211755,-1694000.0
1999-12-13,29.06,29.13,28.63,28.75,210200.0,28.713,44.7226377848477,-1904200.0
1999-12-14,28.5,28.75,27.25,27.63,495100.0,28.684999999999995,32.924646805679075,-2399300.0
1999-12-15,27.69,27.75,27.31,27.5,202400.0,28.641,31.873600647787796,-2601700.0
1999-12-16,27.75,27.81,27.56,27.69,100000.0,28.594,35.13287019014224,-2501700.0
1999-12-17,29.38,29.38,29.38,29.38,258400.0,28.637999999999998,55.5177892895353,-2243300.0
1999-12-20,29.13,30.13,29.13,29.81,195000.0,28.713,59.04444871080078,-2048300.0
1999-12-21,29.75,29.88,29.63,29.88,131600.0,28.807,59.605896529825515,-1916700.0
1999-12-22,29.81,29.88,29.56,29.69,132400.0,28.910000000000004,57.309415580944936,-2049100.0
1999-12-23,29.75,30.31,29.69,30.31,88800.0,29.012999999999998,62.400171329082355,-1960300.0
1999-12-27,30.31,30.63,30.06,30.13,68600.0,29.116499999999995,60.157301814038306,-2028900.0
1999-12-28,30.25,31.0,30.13,30.75,130900.0,29.241499999999995,64.84451957828801,-1898000.0
1999-12-29,30.81,31.31,30.44,31.13,72700.0,29.3825,67.37765363784101,-1825300.0
1999-12-30,31.38,31.44,30.88,31.13,53900.0,29.488999999999997,67.37765363784101,-1825300.0
1999-12-31,30.88,31.31,30.75,31.13,65700.0,29.592499999999994,67.37765363784102,-1825300.0
2000-01-03,31.12,31.12,30.5,30.69,59900.0,29.639499999999998,61.01915667495775,-1885200.0
2000-01-04,30.69,30.75,30.13,30.19,95800.0,29.661499999999997,54.701711116152886,-1981000.0
2000-01-05,30.31,30.44,30.13,30.38,101000.0,29.705499999999994,56.54292433867215,-1880000.0
2000-01-06,30.56,31.13,30.31,31.0,143100.0,29.79,61.97443608628784,-1736900.0
2000-01-07,30.94,32.25,30.94,32.13,139000.0,29.9275,69.46520876032125,-1597900.0
2000-01-10,32.13,32.44,31.94,32.38,189100.0,30.084000000000003,70.83411096195866,-1408800.0
2000-01-11,32.38,32.44,31.88,32.06,85300.0,30.2495,66.71149578064131,-1494100.0
2000-01-12,32.19,32.19,31.44,31.56,61100.0,30.445999999999998,60.76091487276751,-1555200.0
2000-01-13,31.56,31.81,31.5,31.75,40800.0,30.658499999999997,62.142810784181535,-1514400.0
2000-01-14,31.63,31.88,31.25,31.56,64400.0,30.851999999999997,59.872080803094086,-1578800.0
2000-01-18,31.63,31.63,31.13,31.25,73000.0,30.9455,56.25992459508014,-1651800.0
2000-01-19,31.13,31.38,31.0,31.25,100500.0,31.017500000000002,56.25992459508014,-1651800.0
2000-01-20,31.06,31.31,30.81,30.88,158700.0,31.067500000000003,51.92364994602114,-1810500.0
2000-01-21,30.88,31.0,30.25,30.56,272300.0,31.110999999999997,48.445830893714046,-2082800.0
2000-01-24,30.75,31.0,30.44,30.44,117100.0,31.1175,47.169912807841236,-2199900.0
2000-01-25,30.69,30.75,30.44,30.56,135300.0,31.139,48.62700148433785,-2064600.0
2000-01-26,30.5,31.0,30.5,30.69,119700.0,31.136000000000003,50.22852012992732,-1944900.0
2000-01-27,30.63,30.69,30.5,30.56,118600.0,31.107499999999998,48.59700439406661,-2063500.0
2000-01-28,30.56,30.69,30.13,30.44,228200.0,31.073,47.076907107851845,-2291700.0
2000-01-31,30.5,30.5,30.0,30.0,127900.0,31.0165,41.90146764547924,-2419600.0
2000-02-01,30.13,30.44,29.0,29.81,2240200.0,30.972499999999997,39.86348633771976,-4659800.0
2000-02-02,30.13,30.13,29.75,29.94,428800.0,30.96,41.944101444316374,-4231000.0
2000-02-03,30.0,30.25,29.94,30.19,149400.0,30.950499999999998,45.82584621468978,-4081600.0
2000-02-04,29.94,30.56,29.88,29.94,506300.0,30.8975,42.74777394164396,-4587900.0
2000-02-07,29.88,30.19,29.63,30.0,105800.0,30.791000000000004,43.7247450392282,-4482100.0
2000-02-08,30.0,30.56,29.94,30.56,76500.0,30.7,51.96383308156699,-4405600.0
2000-02-09,30.31,30.94,30.31,30.56,91700.0,30.625,51.96383308156699,-4405600.0
2000-02-10,30.44,30.56,30.25,30.31,68600.0,30.5625,48.302395064640855,-4474200.0
2000-02-11,30.44,30.63,29.94,30.06,84900.0,30.478,44.89565131910367,-4559100.0
2000-02-14,30.13,30.31,30.0,30.13,124600.0,30.4065,46.04317046216899,-4434500.0
2000-02-15,30.38,30.38,29.94,30.0,153100.0,30.344,44.20219541680451,-4587600.0
2000-02-16,30.0,30.19,30.0,30.19,102300.0,30.290999999999997,47.505806257693735,-4485300.0
2000-02-17,30.25,30.63,30.25,30.5,144900.0,30.272,52.4522648949791,-4340400.0
2000-02-18,30.25,30.44,29.88,30.13,80000.0,30.2505,46.7856873078842,-4420400.0
2000-02-22,29.94,30.19,29.88,30.06,93400.0,30.2315,45.778071241450036,-4513800.0
2000-02-23,30.19,30.38,30.0,30.38,73300.0,30.222500000000004,50.975968750643474,-4440500.0
2000-02-24,30.38,30.5,30.38,30.44,45500.0,30.21,51.90690813449296,-4395000.0
2000-02-25,30.5,30.63,30.38,30.5,113900.0,30.207000000000004,52.87071043771741,-4281100.0
2000-02-28,30.5,30.5,30.31,30.38,83000.0,30.204,50.683036626943824,-4364100.0
2000-02-29,30.5,30.56,30.31,30.31,105900.0,30.2195,49.39897220773614,-4470000.0
2000-03-01,30.5,30.5,30.31,30.38,84800.0,30.248,50.742905338350184,-4385200.0
2000-03-02,30.31,30.5,30.31,30.38,64200.0,30.27,50.742905338350184,-4385200.0
