date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,44.75,44.88,43.5,43.81,1000500.0,46.978,100.0,1360400.0
1999-11-02,43.81,45.69,43.81,44.31,1360400.0,46.978,100.0,1360400.0
1999-11-03,45.75,46.19,45.25,45.31,1286000.0,46.978,100.0,2646400.0
1999-11-04,45.63,47.0,45.13,46.81,1212800.0,46.978,100.0,3859200.0
1999-11-05,47.0,47.88,46.81,47.0,944000.0,46.978,100.0,4803200.0
1999-11-08,47.13,47.81,47.0,47.56,811300.0,46.978,100.0,5614500.0
1999-11-09,47.56,47.56,45.75,46.31,1085300.0,46.978,70.40339597214115,4529200.0
1999-11-10,46.56,46.63,45.69,45.94,653300.0,46.978,64.3338293947189,3875900.0
1999-11-11,46.0,46.94,45.88,46.69,843800.0,46.978,69.98290025466233,4719700.0
1999-11-12,46.94,47.44,46.0,46.5,723400.0,46.978,67.08410724566164,3996300.0
1999-11-15,46.25,47.63,46.19,46.94,1241700.0,46.978,70.16601923832717,5238000.0
1999-11-16,48.5,50.0,48.13,50.0,1256900.0,46.978,82.46341337157543,6494900.0
1999-11-17,51.0,51.88,49.25,49.56,1365400.0,46.978,77.51566828639496,5129500.0
1999-11-18,49.56,49.69,47.94,48.88,826300.0,46.978,70.4778275171465,4303200.0
1999-11-19,48.63,48.63,47.31,48.25,652400.0,46.978,64.6237506410381,3650800.0
1999-11-22,48.56,48.56,47.44,48.06,716100.0,46.978,62.92615274665525,2934700.0
1999-11-23,47.63,47.69,46.5,47.0,663800.0,46.978,54.34852188222845,2270900.0
1999-11-24,47.0,47.81,46.5,47.63,531300.0,46.978,58.011900123414776,2802200.0
1999-11-26,47.5,47.5,46.56,47.19,339400.0,46.978,54.709809910561994,2462800.0
1999-11-29,46.94,46.94,45.63,45.81,897200.0,46.978,45.887584772965894,1565600.0
1999-11-30,45.88,46.0,44.13,44.13,1038600.0,46.994,37.87944847155756,527000.0
1999-12-01,44.19,45.75,43.88,44.88,1734300.0,47.0225,42.688043020356716,2261300.0
1999-12-02,44.5,48.13,44.44,48.0,2513900.0,47.157000000000004,57.445369737050676,4775200.0
1999-12-03,47.75,49.94,47.38,49.75,1869100.0,47.304,63.173250628019346,6644300.0
1999-12-06,49.75,50.5,48.75,50.5,1526700.0,47.479,65.32723959078143,8171000.0
1999-12-07,50.0,50.06,48.56,48.81,1338000.0,47.5415,57.20748231558529,6833000.0
1999-12-08,49.0,49.0,46.13,47.46,2394400.0,47.599000000000004,51.68142980890126,4438600.0
1999-12-09,46.75,47.75,46.0,46.25,1044800.0,47.6145,47.27367133731796,3393800.0
1999-12-10,46.75,46.75,46.19,46.25,767000.0,47.5925,47.27367133731796,3393800.0
1999-12-13,46.0,46.38,45.31,45.31,863100.0,47.533,43.900311136253904,2530700.0
1999-12-14,45.31,46.38,45.31,46.0,3073400.0,47.486000000000004,46.895868341555996,5604100.0
1999-12-15,45.94,46.0,44.0,44.25,1414200.0,47.1985,40.92689542778529,4189900.0
1999-12-16,44.13,45.88,43.44,44.75,1211900.0,46.958,43.15321534018896,5401800.0
1999-12-17,45.0,45.44,43.88,43.88,1672400.0,46.708000000000006,40.30672803261593,3729400.0
1999-12-20,44.0,45.88,43.94,45.63,885500.0,46.577000000000005,47.769854578163745,4614900.0
1999-12-21,45.13,46.0,44.75,45.63,758200.0,46.4555,47.76985457816375,4614900.0
1999-12-22,46.0,46.81,45.69,46.75,1160200.0,46.443,52.20518095748233,5775100.0
1999-12-23,47.63,48.38,47.0,47.38,464000.0,46.4305,54.54351938531152,6239100.0
1999-12-27,47.25,47.81,46.25,46.25,518700.0,46.383500000000005,49.834017025747386,5720400.0
1999-12-28,46.25,46.81,45.75,46.13,417900.0,46.3995,49.34673791222635,5302500.0
1999-12-29,46.19,47.0,45.5,46.88,536900.0,46.537,52.47456476422136,5839400.0
1999-12-30,46.5,47.5,46.13,47.19,349700.0,46.652499999999996,53.74593005582318,6189100.0
1999-12-31,47.38,47.81,46.88,47.81,289500.0,46.643,56.26581090303492,6478600.0
2000-01-03,46.0,47.13,45.88,46.88,1532600.0,46.4995,51.714675090030454,4946000.0
2000-01-04,47.5,47.56,46.19,46.31,1061600.0,46.29,49.093615923810454,3884400.0
2000-01-05,46.31,48.56,46.31,48.25,1674400.0,46.262,57.06890676223742,5558800.0
2000-01-06,47.81,49.31,47.13,48.56,1437300.0,46.317,58.195941681173714,6996100.0
2000-01-07,47.0,48.56,47.0,48.0,1813900.0,46.4045,55.36821788908353,5182200.0
2000-01-10,48.5,50.81,48.44,50.13,1888900.0,46.5985,62.776787948336164,7071100.0
2000-01-11,50.13,50.56,49.56,50.5,1161700.0,46.858000000000004,63.89785095751042,8232800.0
2000-01-12,50.38,50.44,48.06,48.19,1642100.0,46.9675,53.137792637235876,6590700.0
2000-01-13,48.19,50.44,48.0,50.0,1667000.0,47.255,58.96821553253237,8257700.0
2000-01-14,49.75,51.25,49.5,50.56,1841200.0,47.545500000000004,60.6014613834593,10098900.0
2000-01-18,49.5,50.25,49.38,50.0,1199900.0,47.8515,58.1104809727612,8899000.0
2000-01-19,50.0,51.13,49.88,50.25,1419200.0,48.082499999999996,58.92224642688075,10318200.0
2000-01-20,50.56,50.88,49.19,49.19,628600.0,48.26049999999999,54.13228423994373,9689600.0
2000-01-21,50.63,50.63,46.0,46.63,1776500.0,48.25449999999999,44.684526785640635,7913100.0
2000-01-24,46.0,46.0,42.75,43.13,4527700.0,48.042,35.54935247256368,3385400.0
2000-01-25,43.25,44.06,41.88,42.25,3590500.0,47.842,33.68472534825149,-205100.0
2000-01-26,42.38,45.25,41.88,43.94,3154800.0,47.7325,40.17457736734661,2949700.0
2000-01-27,42.5,43.75,42.31,42.75,2367700.0,47.525999999999996,37.39916173725648,582000.0
2000-01-28,42.5,44.5,42.0,44.5,3433600.0,47.3915,43.57279750469886,4015600.0
2000-01-31,44.5,45.5,43.75,45.06,2468500.0,47.254000000000005,45.42747980167015,6484100.0
2000-02-01,45.06,45.44,44.25,45.06,1648400.0,47.163,45.427479801670145,6484100.0
2000-02-02,46.0,46.0,44.94,45.0,1648300.0,47.097500000000004,45.24269677304262,4835800.0
2000-02-03,44.88,47.63,44.63,47.25,1303700.0,47.0475,52.96856991326183,6139500.0
2000-02-04,48.25,48.25,46.13,46.63,1572600.0,46.951,50.83992003122963,4566900.0
2000-02-07,46.63,46.69,42.75,43.06,1274900.0,46.704,40.69799844886803,3292000.0
2000-02-08,44.25,44.25,40.5,42.75,3870000.0,46.335,39.95268405016805,-578000.0
2000-02-09,42.56,43.31,42.38,42.94,1551500.0,45.957,40.669848100398845,973500.0
2000-02-10,42.88,42.88,41.75,42.06,900700.0,45.65050000000001,38.38329684551951,72800.0
2000-02-11,43.0,43.0,39.63,40.38,1116800.0,45.169500000000006,34.40628022754814,-1044000.0
2000-02-14,40.5,40.63,34.38,35.5,5839900.0,44.4165,25.98419515516038,-6883900.0
2000-02-15,35.5,36.0,33.94,34.0,6539600.0,43.6165,24.036548671650593,-13423500.0
2000-02-16,33.75,33.75,31.25,31.88,5904300.0,42.698,21.57513978030896,-19327800.0
2000-02-17,32.25,33.69,30.94,31.19,4628200.0,41.798,20.827575924037077,-23956000.0
2000-02-18,31.69,32.25,30.56,31.06,3899700.0,41.0195,20.68217411414666,-27855700.0
