date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,50.69,50.94,49.56,50.19,260000.0,43.711,100.0,180400.0
1999-11-02,51.0,51.5,50.81,50.81,180400.0,43.711,100.0,180400.0
1999-11-03,47.5,47.5,45.31,46.0,733200.0,43.711,10.689655172413865,-552800.0
1999-11-04,46.0,46.5,44.13,44.56,507100.0,43.711,8.299800386553073,-1059900.0
1999-11-05,44.94,44.94,43.69,44.0,337200.0,43.711,7.589217064957509,-1397100.0
1999-11-08,43.94,43.94,42.56,43.13,233700.0,43.711,6.638343081515146,-1630800.0
1999-11-09,43.13,43.13,41.5,41.56,247500.0,43.711,5.33845331995002,-1878300.0
1999-11-10,41.5,43.25,41.25,42.38,338600.0,43.711,14.730094556813953,-1539700.0
1999-11-11,43.0,43.0,42.19,42.25,398900.0,43.711,14.484740746093067,-1938600.0
1999-11-12,42.0,42.19,41.25,41.94,272400.0,43.711,13.890571181287598,-2211000.0
1999-11-15,41.69,43.5,41.25,43.38,274400.0,43.711,28.551970237752002,-1936600.0
1999-11-16,43.13,44.25,43.13,43.88,178400.0,43.711,32.828596739263844,-1758200.0
1999-11-17,43.75,43.94,42.19,42.31,321800.0,43.711,27.30240127111037,-2080000.0
1999-11-18,42.5,42.75,40.63,42.63,362800.0,43.711,29.892828394796666,-1717200.0
1999-11-19,42.63,43.56,42.0,42.75,231700.0,43.711,30.887373900823192,-1485500.0
1999-11-22,42.88,43.5,42.63,43.25,196900.0,43.711,35.0234838651572,-1288600.0
1999-11-23,43.63,43.63,42.56,43.13,203000.0,43.711,34.48999696168933,-1491600.0
1999-11-24,43.0,43.25,41.63,42.19,130200.0,43.711,30.5627505947014,-1621800.0
1999-11-26,42.38,44.0,41.75,42.13,61000.0,43.711,30.3253895422676,-1682800.0
1999-11-29,41.69,42.31,41.5,41.75,180400.0,43.711,28.799847305183604,-1863200.0
1999-11-30,41.5,41.5,40.0,40.5,354100.0,43.2265,24.443756736084396,-2217300.0
1999-12-01,40.25,40.5,39.5,39.56,264700.0,42.664,21.776322181303485,-2482000.0
1999-12-02,39.81,40.56,39.56,39.63,175500.0,42.3455,22.45495481984382,-2306500.0
1999-12-03,39.69,39.81,38.5,39.06,418200.0,42.0705,20.86740808159489,-2724700.0
1999-12-06,39.88,40.44,39.56,39.84,238800.0,41.862500000000004,28.334148139150457,-2485900.0
1999-12-07,40.19,41.0,40.0,40.25,303800.0,41.7185,31.967965040274805,-2182100.0
