date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,45.06,45.81,44.63,45.75,654400.0,45.4325,0.0,-923600.0
1999-11-02,45.75,45.88,44.63,45.56,923600.0,45.4325,0.0,-923600.0
1999-11-03,45.56,46.31,45.13,46.31,652500.0,45.4325,80.95605242868176,-271100.0
1999-11-04,46.06,46.31,44.69,44.88,320500.0,45.4325,30.40834057341445,-591600.0
1999-11-05,44.81,45.44,44.56,44.81,405500.0,45.4325,29.439333737028548,-997100.0
1999-11-08,45.0,46.06,44.88,46.0,466700.0,45.4325,55.43729416095121,-530400.0
1999-11-09,45.63,45.75,44.56,45.0,365200.0,45.4325,41.57472531855782,-895600.0
1999-11-10,44.56,45.0,43.88,45.0,524700.0,45.4325,41.574725318557824,-895600.0
1999-11-11,44.75,44.94,44.38,44.69,306200.0,45.4325,38.14535479595217,-1201800.0
1999-11-12,44.56,44.94,44.38,44.81,275100.0,45.4325,40.201617939012586,-926700.0
1999-11-15,44.81,45.06,43.94,44.63,390700.0,45.4325,38.15277599626975,-1317400.0
1999-11-16,46.0,47.0,45.75,46.38,1535100.0,45.4325,59.671845862750885,217700.0
1999-11-17,46.06,47.0,45.75,46.5,710000.0,45.4325,60.68207922879749,927700.0
1999-11-18,46.25,46.81,46.06,46.63,428300.0,45.4325,61.79853162485974,1356000.0
1999-11-19,46.31,46.31,45.5,45.88,508100.0,45.4325,52.53093011087435,847900.0
1999-11-22,45.38,45.69,45.0,45.19,376100.0,45.4325,45.735524690473675,471800.0
1999-11-23,45.0,45.44,44.69,45.25,297500.0,45.4325,46.385015942565126,769300.0
1999-11-24,45.19,45.88,44.56,45.44,286800.0,45.4325,48.487614648410876,1056100.0
1999-11-26,45.19,45.44,45.0,45.13,123600.0,45.4325,45.36186702944624,932500.0
1999-11-29,44.5,44.81,43.94,44.81,405000.0,45.4325,42.32847409919055,527500.0
1999-11-30,44.38,44.75,44.31,44.63,432500.0,45.3765,40.68056980085688,95000.0
1999-12-01,44.13,45.19,44.13,44.44,459200.0,45.3205,38.95653710501953,-364200.0
1999-12-02,44.44,44.94,44.19,44.38,329300.0,45.224000000000004,38.40305123900786,-693500.0
1999-12-03,44.13,45.88,44.13,45.44,484900.0,45.251999999999995,51.51038181574732,-208600.0
1999-12-06,45.5,46.0,45.25,45.81,559100.0,45.302,55.10178888364451,350500.0
1999-12-07,45.5,45.56,44.56,44.56,399900.0,45.23,43.405382935851875,-49400.0
1999-12-08,44.44,44.63,42.56,42.88,806100.0,45.124,33.203963316612175,-855500.0
1999-12-09,41.0,42.06,40.56,41.56,1048900.0,44.952,27.69608077760367,-1904400.0
1999-12-10,41.63,41.75,41.0,41.19,347900.0,44.777,26.375375619410732,-2252300.0
1999-12-13,41.0,41.06,40.25,40.69,451100.0,44.571,24.66378371465909,-2703400.0
1999-12-14,40.06,40.25,39.63,40.06,501200.0,44.3425,22.667761233567646,-3204600.0
1999-12-15,39.81,39.94,38.75,39.06,857500.0,43.9765,19.912985567478373,-4062100.0
1999-12-16,39.19,39.19,38.38,38.75,606000.0,43.589,19.13658056671632,-4668100.0
1999-12-17,38.31,39.0,38.06,39.0,1514700.0,43.207499999999996,21.785107513265316,-3153400.0
1999-12-20,38.75,38.75,38.31,38.54,506700.0,42.8405,20.45739189232718,-3660100.0
1999-12-21,38.38,38.56,37.44,37.63,585400.0,42.4625,18.106425967006686,-4245500.0
1999-12-22,37.56,39.25,37.56,38.88,882200.0,42.144000000000005,30.005502873968865,-3363300.0
1999-12-23,39.06,39.44,38.56,39.31,504700.0,41.8375,33.58070682686356,-2858600.0
1999-12-27,39.25,40.44,39.0,40.06,568000.0,41.584,39.395316944553606,-2290600.0
1999-12-28,39.81,40.25,39.06,39.06,433400.0,41.2965,34.99615363535081,-2724000.0
1999-12-29,39.19,39.25,38.63,39.13,337200.0,41.0215,35.53878723434744,-2386800.0
1999-12-30,39.13,39.19,38.63,38.81,339600.0,40.74,34.1359222099328,-2726400.0
1999-12-31,38.81,38.81,38.19,38.69,199200.0,40.4555,33.600283230728394,-2925600.0
2000-01-03,39.63,39.63,37.0,37.25,982600.0,40.04600000000001,27.935504162785605,-3908200.0
2000-01-04,37.0,37.31,35.69,35.88,1007000.0,39.5495,23.820795769762896,-4915200.0
2000-01-05,35.81,37.0,35.13,35.44,1016800.0,39.093500000000006,22.66607832559872,-5932000.0
2000-01-06,35.13,36.5,35.06,36.31,743500.0,38.765,29.90173556860252,-5188500.0
2000-01-07,36.63,37.19,36.38,37.0,526700.0,38.537,35.08902638299482,-4661800.0
2000-01-10,36.75,37.5,35.56,35.81,562600.0,38.268,30.849099421761863,-5224400.0
2000-01-11,35.63,37.0,35.63,36.19,902500.0,38.043,33.607927282489754,-4321900.0
2000-01-12,36.19,36.63,35.31,35.75,693800.0,37.8275,32.01521632952249,-5015700.0
2000-01-13,35.94,36.94,35.88,36.38,709300.0,37.6935,36.64488069433774,-4306400.0
2000-01-14,34.38,36.0,34.38,35.31,801000.0,37.5215,32.58607923290097,-5107400.0
2000-01-18,33.56,35.38,33.44,35.13,861400.0,37.328,31.94507366670196,-5968800.0
2000-01-19,33.63,34.44,33.13,33.5,772600.0,37.07600000000001,26.80325245860054,-6741400.0
2000-01-20,33.38,33.75,32.06,32.19,1178000.0,36.804,23.525869868717436,-7919400.0
