date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,25.31,26.06,24.94,25.69,7585800.0,26.02,100.0,6240800.0
1999-11-02,25.56,26.31,25.5,26.25,6240800.0,26.02,100.0,6240800.0
1999-11-03,27.38,27.38,26.69,26.88,8196800.0,26.02,100.0,14437600.0
1999-11-04,27.75,29.0,26.0,26.5,13492400.0,26.02,73.754316724223,945200.0
1999-11-05,25.5,25.5,24.06,24.31,26165000.0,26.02,28.054853843377813,-25219800.0
1999-11-08,23.94,24.25,23.38,23.5,14218600.0,26.02,22.50144499790261,-39438400.0
1999-11-09,23.56,24.13,23.5,23.63,14069200.0,26.02,25.065209622348192,-25369200.0
1999-11-10,23.56,24.19,23.5,23.88,11321600.0,26.02,29.86995112178029,-14047600.0
1999-11-11,24.06,24.38,23.44,24.31,9720900.0,26.02,37.314934686036096,-4326700.0
1999-11-12,24.5,26.06,24.06,25.06,10986100.0,26.02,47.73655259049907,6659400.0
1999-11-15,25.56,26.63,25.5,25.88,15236800.0,26.02,56.29243732216713,21896200.0
1999-11-16,26.0,26.25,25.81,26.13,11693400.0,26.02,58.521882262869816,33589600.0
1999-11-17,25.63,26.38,25.5,26.0,10157000.0,26.02,56.89665199847571,23432600.0
1999-11-18,26.0,27.19,26.0,27.13,11389200.0,26.02,65.79006788456633,34821800.0
1999-11-19,26.88,27.19,26.63,26.75,6558400.0,26.02,61.21590419326662,28263400.0
1999-11-22,26.5,27.25,26.5,27.25,6706000.0,26.02,64.69421459843298,34969400.0
1999-11-23,27.06,27.31,26.69,27.0,7789100.0,26.02,61.7139639237775,27180300.0
1999-11-24,27.44,28.69,27.19,28.25,10519600.0,26.02,69.32335491119657,37699900.0
1999-11-26,28.69,28.69,27.25,27.56,4464200.0,26.02,61.99826752099975,33235700.0
1999-11-29,28.06,28.94,27.88,28.44,9894400.0,26.02,66.81442665327882,43130100.0
1999-11-30,28.81,28.94,27.69,27.88,8684600.0,26.1295,61.475097481301155,34445500.0
1999-12-01,27.63,28.19,27.56,28.0,7080900.0,26.217000000000002,62.17268684048223,41526400.0
1999-12-02,28.0,28.13,27.5,27.86,8515700.0,26.266000000000002,60.78969463107962,33010700.0
1999-12-03,28.44,28.94,27.75,28.25,10163400.0,26.353500000000004,63.24262828883298,43174100.0
1999-12-06,27.88,28.25,27.69,27.81,5916300.0,26.528499999999998,58.77524917327974,37257800.0
1999-12-07,28.06,28.06,27.44,27.5,8214000.0,26.728499999999997,55.785348568780634,29043800.0
