date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,26.5,26.5,26.13,26.25,504900.0,,,
1999-11-02,26.25,26.56,26.13,26.25,210900.0,24.4765,0.0,-1673000.0
1999-11-03,25.75,26.13,25.75,25.94,1673000.0,24.4765,0.0,-1673000.0
1999-11-04,25.94,25.94,25.0,25.0,622500.0,24.4765,0.0,-2295500.0
1999-11-05,25.19,25.44,25.0,25.38,389000.0,24.4765,24.99748279912733,-1906500.0
1999-11-08,25.31,25.44,25.0,25.19,491600.0,24.4765,22.03194294959165,-2398100.0
1999-11-09,25.19,25.19,24.56,24.69,356800.0,24.4765,16.48840314475268,-2754900.0
1999-11-10,24.69,24.69,24.0,24.19,839600.0,24.4765,12.973099755439904,-3594500.0
1999-11-11,24.25,24.38,24.0,24.31,589100.0,24.4765,17.518148463767133,-3005400.0
1999-11-12,24.31,24.5,24.25,24.38,491300.0,24.4765,20.13829208767831,-2514100.0
1999-11-15,24.38,24.5,24.19,24.25,338100.0,24.4765,18.935284082142047,-2852200.0
1999-11-16,24.44,24.5,24.13,24.38,553000.0,24.4765,23.83516017977246,-2299200.0
1999-11-17,24.25,24.44,24.13,24.44,310400.0,24.4765,26.056653026686547,-1988800.0
1999-11-18,24.38,24.56,24.13,24.25,751600.0,24.4765,23.69935769630854,-2740400.0
1999-11-19,24.25,24.31,23.81,23.94,551800.0,24.4765,20.448812331391267,-3292200.0
1999-11-22,23.94,24.06,23.69,23.75,889800.0,24.4765,18.75124734608833,-4182000.0
1999-11-23,23.75,23.81,23.38,23.63,612700.0,24.4765,17.74906635501641,-4794700.0
1999-11-24,23.63,23.69,23.31,23.5,369600.0,24.4765,16.707302863835736,-5164300.0
1999-11-26,23.25,23.44,23.06,23.25,229100.0,24.4765,14.896544505319524,-5393400.0
1999-11-29,22.88,22.94,22.13,22.56,719700.0,24.4765,11.266974166584973,-6113100.0
1999-11-30,22.38,23.38,22.38,23.31,835300.0,24.3295,30.95840769260461,-5277800.0
1999-12-01,23.0,23.44,23.0,23.31,602000.0,24.1825,30.95840769260461,-5277800.0
1999-12-02,23.5,23.88,23.31,23.81,602300.0,24.076,41.06974245524176,-4675500.0
1999-12-03,23.63,23.94,23.63,23.88,489800.0,24.02,42.34284566529761,-4185700.0
1999-12-06,23.81,24.0,23.69,23.88,664700.0,23.945,42.34284566529761,-4185700.0
1999-12-07,23.88,23.88,23.56,23.69,583400.0,23.87,39.646619235035296,-4769100.0
1999-12-08,23.63,23.69,23.38,23.44,626000.0,23.8075,36.36539631807126,-5395100.0
1999-12-09,23.44,23.5,23.13,23.19,443500.0,23.7575,33.38945986495774,-5838600.0
1999-12-10,23.19,23.31,22.75,22.88,520100.0,23.686,30.10011197510844,-6358700.0
1999-12-13,22.75,22.94,22.63,22.88,650000.0,23.611,30.100111975108447,-6358700.0
1999-12-14,22.88,23.13,22.75,23.06,719600.0,23.5515,34.44882804280522,-5639100.0
1999-12-15,23.06,23.19,22.81,22.94,465300.0,23.4795,32.97592232280705,-6104400.0
1999-12-16,22.88,22.94,22.69,22.69,272400.0,23.392000000000003,30.08950582465048,-6376800.0
1999-12-17,22.88,22.88,22.38,22.88,1293100.0,23.323500000000003,34.763126507059894,-5083700.0
1999-12-20,22.88,22.88,22.5,22.69,410900.0,23.261,32.42847381674052,-5494600.0
1999-12-21,22.56,22.88,22.38,22.63,965600.0,23.205,31.704363352830622,-6460200.0
1999-12-22,22.5,23.0,22.44,22.94,649300.0,23.1705,39.251914052304016,-5810900.0
1999-12-23,22.94,23.0,22.88,22.94,239600.0,23.1425,39.251914052304016,-5810900.0
1999-12-27,23.0,23.0,22.81,22.81,405700.0,23.1205,37.249803334392745,-6216600.0
1999-12-28,22.81,23.0,22.81,22.88,348200.0,23.1365,39.05249944769469,-5868400.0
1999-12-29,22.81,22.81,22.38,22.69,284400.0,23.1055,36.0271369066597,-6152800.0
1999-12-30,22.63,22.75,22.5,22.69,316100.0,23.0745,36.0271369066597,-6152800.0
1999-12-31,22.44,22.75,22.38,22.69,162400.0,23.0185,36.0271369066597,-6152800.0
2000-01-03,22.44,22.5,21.88,22.06,532500.0,22.9275,27.27621674168448,-6685300.0
2000-01-04,22.0,22.38,21.88,22.06,887800.0,22.8365,27.27621674168448,-6685300.0
2000-01-05,22.13,23.0,22.13,22.94,532000.0,22.799,47.81182500910066,-6153300.0
2000-01-06,22.88,23.06,22.81,22.94,359000.0,22.774,47.81182500910066,-6153300.0
2000-01-07,22.94,23.19,22.88,23.06,378100.0,22.7675,50.04281197512021,-5775200.0
2000-01-10,23.06,23.38,22.94,23.13,407000.0,22.78,51.34932947367773,-5368200.0
2000-01-11,23.0,23.38,23.0,23.38,479900.0,22.805,55.79572571979641,-4888300.0
2000-01-12,23.13,23.5,23.13,23.44,935600.0,22.824,56.8158191339482,-3952700.0
2000-01-13,23.56,23.56,23.38,23.38,581400.0,22.846,55.438075206803646,-4534100.0
2000-01-14,23.56,23.56,23.19,23.25,835800.0,22.874,52.469274288325074,-5369900.0
2000-01-18,23.13,23.25,22.81,22.88,561300.0,22.874,45.07125237581688,-5931200.0
2000-01-19,22.81,23.0,22.5,22.81,638200.0,22.880000000000003,43.81264287213032,-6569400.0
2000-01-20,22.75,22.88,22.56,22.75,410400.0,22.886000000000003,42.71167195491107,-6979800.0
2000-01-21,22.75,23.0,22.56,23.0,819800.0,22.889,48.516842845132985,-6160000.0
2000-01-24,23.0,23.38,22.94,23.13,556700.0,22.8985,51.281436835469066,-5603300.0
2000-01-25,23.06,23.31,22.69,22.81,673400.0,22.8985,44.89117735906604,-6276700.0
2000-01-26,22.81,23.31,22.81,23.13,1349700.0,22.911,51.41159791857039,-4927000.0
2000-01-27,23.13,23.25,23.0,23.13,808900.0,22.933,51.4115979185704,-4927000.0
2000-01-28,23.13,23.19,22.5,22.69,909000.0,22.933,43.25098872530384,-5836000.0
2000-01-31,22.75,23.06,22.69,22.75,523000.0,22.936,44.54368280628822,-5313000.0
2000-02-01,22.81,23.13,22.75,22.94,289500.0,22.98,48.54114712160737,-5023500.0
2000-02-02,22.88,23.13,22.81,22.88,3666600.0,23.021,47.37967711284935,-8690100.0
2000-02-03,22.75,23.13,22.69,22.88,618100.0,23.018,47.37967711284935,-8690100.0
2000-02-04,22.94,22.94,22.19,22.31,688000.0,22.9865,37.49496744927972,-9378100.0
2000-02-07,22.13,22.25,22.0,22.0,311400.0,22.9335,33.4122521802671,-9689500.0
2000-02-08,22.0,22.31,22.0,22.13,202500.0,22.8835,36.53321745288629,-9487000.0
2000-02-09,22.13,22.38,22.13,22.31,523800.0,22.83,40.67909271317422,-8963200.0
2000-02-10,22.31,22.38,21.88,22.0,439900.0,22.758000000000003,36.28318086795024,-9403100.0
2000-02-11,22.0,22.19,21.56,21.69,940600.0,22.6735,32.50086870639461,-10343700.0
2000-02-14,21.69,21.75,21.5,21.63,625700.0,22.5925,31.8096972554859,-10969400.0
2000-02-15,21.63,21.94,21.56,21.63,392500.0,22.53,31.8096972554859,-10969400.0
2000-02-16,21.63,21.88,21.44,21.69,460400.0,22.474,33.45104804726358,-10509000.0
2000-02-17,21.56,21.63,21.0,21.0,910200.0,22.3865,25.76924717274872,-11419200.0
2000-02-18,20.88,20.94,20.44,20.44,1194200.0,22.2585,21.461609021774606,-12613400.0
2000-02-22,20.44,20.5,19.88,20.06,714900.0,22.105,19.125320581829754,-13328300.0
2000-02-23,20.0,20.31,20.0,20.13,503600.0,21.971,20.834930024945564,-12824700.0
2000-02-24,20.13,20.13,19.38,19.56,398500.0,21.7925,17.576690926121515,-13223200.0
2000-02-25,19.25,19.5,18.88,19.0,1887500.0,21.586,15.081354492107195,-15110700.0
2000-02-28,19.0,19.31,18.94,19.19,877100.0,21.411,19.269116149253502,-14233600.0
2000-02-29,19.13,19.31,18.5,18.5,822800.0,21.1985,16.153609689413642,-15056400.0
2000-03-01,19.75,19.75,18.88,19.0,880200.0,21.0015,25.547620216379755,-14176200.0
2000-03-02,19.19,19.25,18.81,18.94,534300.0,20.8045,25.183000560670664,-14710500.0
2000-03-03,18.88,19.5,18.88,19.19,820100.0,20.62,29.68602902528165,-13890400.0
2000-03-06,19.06,19.31,18.38,18.5,1076700.0,20.4295,25.181232723843948,-14967100.0
2000-03-07,18.5,18.5,18.13,18.19,712500.0,20.239,23.45885962788178,-15679600.0
2000-03-08,18.0,18.38,18.0,18.19,605300.0,20.042,23.45885962788178,-15679600.0
2000-03-09,18.19,18.5,18.0,18.5,392100.0,19.8515,29.08436578380389,-15287500.0
2000-03-10,18.5,18.5,18.19,18.31,264600.0,19.667,27.738723167630383,-15552100.0
2000-03-13,18.19,18.38,18.0,18.19,384900.0,19.492,26.89244572694963,-15937000.0
2000-03-14,18.19,18.5,18.13,18.38,535700.0,19.3295,30.507551034438805,-15401300.0
2000-03-15,18.31,19.38,18.31,19.06,614400.0,19.201,41.63189236009577,-14786900.0
2000-03-16,18.94,20.31,18.94,20.13,491300.0,19.123,54.086648600498414,-14295600.0
2000-03-17,20.13,20.13,19.5,19.5,812400.0,19.048,47.640799750360536,-15108000.0
2000-03-20,19.56,19.75,19.38,19.56,575300.0,19.004,48.27306911732602,-14532700.0
2000-03-21,19.56,20.13,19.56,19.81,543800.0,18.9915,50.93184834562007,-13988900.0
2000-03-22,19.75,19.81,19.25,19.5,797400.0,18.96,47.66047366003824,-14786300.0
2000-03-23,19.31,19.88,19.19,19.5,524400.0,18.957,47.66047366003824,-14786300.0
2000-03-24,19.5,20.0,19.44,19.94,546000.0,19.004,52.66521471804039,-14240300.0
2000-03-27,20.0,20.25,19.94,20.06,319300.0,19.0475,53.95826889432088,-13921000.0
2000-03-28,19.81,20.06,19.63,19.81,495200.0,19.113,50.84222001497158,-14416200.0
2000-03-29,19.75,20.25,19.69,20.13,499700.0,19.1695,54.466888063002855,-13916500.0
2000-03-30,20.38,20.69,20.25,20.56,449000.0,19.2505,58.856995437561984,-13467500.0
2000-03-31,20.38,20.88,20.19,20.63,563100.0,19.3225,59.5408733559881,-12904400.0
2000-04-03,20.63,21.06,20.56,21.06,676400.0,19.4505,63.54904729538613,-12228000.0
2000-04-04,21.0,21.69,21.0,21.44,495500.0,19.613,66.68962406984521,-11732500.0
2000-04-05,21.56,22.19,21.44,22.0,765000.0,19.8035,70.6965263375373,-10967500.0
2000-04-06,22.06,22.19,21.63,21.88,809900.0,19.9725,68.78705204543385,-11777400.0
2000-04-07,21.88,21.94,21.5,21.63,568600.0,20.1385,64.8568486276277,-12346000.0
2000-04-10,21.63,22.06,21.56,21.81,974500.0,20.3195,66.34771943920438,-11371500.0
2000-04-11,21.69,22.25,21.69,22.25,750800.0,20.513,69.728367814061,-10620700.0
2000-04-12,22.5,23.25,22.38,23.0,750700.0,20.71,74.4415413480085,-9870000.0
2000-04-13,23.13,24.5,23.0,24.38,761000.0,20.9225,80.46762496151827,-9109000.0
2000-04-14,24.13,25.0,24.0,24.19,1194700.0,21.157,77.74957330555733,-10303700.0
2000-04-17,24.0,24.88,23.88,24.81,1449800.0,21.4195,80.11050319678878,-8853900.0
2000-04-18,25.0,25.63,25.0,25.19,705800.0,21.6885,81.41231062019826,-8148100.0
2000-04-19,25.19,25.19,24.13,24.69,391400.0,21.948,74.50251833801826,-8539500.0
2000-04-20,24.75,24.81,24.19,24.44,568900.0,22.195,71.24645489529264,-9108400.0
2000-04-24,24.5,25.75,24.38,25.75,939500.0,22.4855,76.93489628173528,-8168900.0
2000-04-25,25.75,26.31,25.56,26.19,867900.0,22.792,78.47520236665036,-7301000.0
2000-04-26,25.88,26.88,25.88,26.75,427400.0,23.139000000000003,80.28019056572617,-6873600.0
2000-04-27,26.56,26.56,25.63,25.81,727800.0,23.423,69.71270349910566,-7601400.0
2000-04-28,25.94,25.94,25.19,25.44,455900.0,23.667,66.02842202314577,-8057300.0
2000-05-01,25.5,25.69,25.19,25.25,503300.0,23.898000000000003,64.1534388331315,-8560600.0
2000-05-02,25.06,25.13,24.5,25.06,1164100.0,24.098000000000003,62.2497806551271,-9724700.0
2000-05-03,24.44,24.75,24.13,24.5,1272700.0,24.251,56.89138651149922,-10997400.0
2000-05-04,24.5,24.81,23.75,24.38,988300.0,24.37,55.78328682411004,-11985700.0
2000-05-05,24.31,24.31,23.81,23.94,409600.0,24.473000000000003,51.79934748588865,-12395300.0
2000-05-08,24.06,25.0,23.75,24.44,693500.0,24.6135,55.67347830696106,-11701800.0
2000-05-09,24.38,24.56,24.19,24.38,444700.0,24.742,55.10114643881928,-12146500.0
2000-05-10,24.44,24.81,24.19,24.38,346000.0,24.8485,55.10114643881928,-12146500.0
2000-05-11,24.0,24.56,24.0,24.56,431700.0,24.9265,56.65161552388778,-11714800.0
2000-05-12,24.5,24.56,24.0,24.13,639400.0,24.914,52.02933041396231,-12354200.0
2000-05-15,24.19,24.81,24.13,24.69,908300.0,24.939,56.95506230330377,-11445900.0
2000-05-16,24.94,24.94,24.25,24.56,823600.0,24.9265,55.52958782122255,-12269500.0
2000-05-17,24.5,24.5,23.31,23.75,338900.0,24.8545,47.544908451643714,-12608400.0
2000-05-18,23.94,24.63,23.94,24.44,342700.0,24.842,53.65794602931509,-12265700.0
2000-05-19,24.25,24.81,24.13,24.75,788800.0,24.8575,56.131489738145454,-11476900.0
2000-05-22,24.63,25.31,24.63,25.13,448500.0,24.8265,59.01906156380946,-11028400.0
2000-05-23,24.94,25.19,24.63,24.88,460600.0,24.761,56.389292278314606,-11489000.0
2000-05-24,25.06,25.63,24.81,25.06,516500.0,24.6765,57.84570466105605,-10972500.0
2000-05-25,24.94,25.0,24.69,25.0,424600.0,24.636,57.160452654083606,-11397100.0
2000-05-26,25.25,25.38,25.06,25.31,464500.0,24.6295,59.80954587084992,-10932600.0
2000-05-30,25.31,25.31,24.56,25.06,815000.0,24.62,56.76118206377242,-11747600.0
2000-05-31,25.13,25.5,24.94,25.13,496300.0,24.6235,57.4156509717388,-11251300.0
2000-06-01,25.38,25.38,24.81,25.13,478900.0,24.655,57.41565097173879,-11251300.0
2000-06-02,25.75,25.75,24.56,24.69,347200.0,24.6705,51.70989887870583,-11598500.0
2000-06-05,24.5,24.5,23.69,23.81,390800.0,24.664,42.59320098158064,-11989300.0
2000-06-06,23.88,24.5,23.81,24.31,379200.0,24.6575,48.18313898560754,-11610100.0
2000-06-07,24.5,24.69,24.38,24.5,234300.0,24.6635,50.1688359514224,-11375800.0
2000-06-08,24.56,24.56,23.88,24.5,306100.0,24.6695,50.1688359514224,-11375800.0
2000-06-09,24.5,24.88,24.38,24.75,339300.0,24.679,52.92190154530587,-11036500.0
2000-06-12,24.75,25.0,24.69,24.94,311700.0,24.7195,54.958595285997845,-10724800.0
2000-06-13,24.94,25.5,24.94,25.25,244100.0,24.7475,58.14054397714349,-10480700.0
2000-06-14,25.06,25.13,24.63,24.69,387400.0,24.754,51.115559324108425,-10868100.0
2000-06-15,24.44,25.38,24.44,25.25,437700.0,24.829,56.744105916954354,-10430400.0
2000-06-16,25.25,25.5,25.25,25.31,611400.0,24.8725,57.31124169314271,-9819000.0
2000-06-19,25.31,25.5,25.0,25.0,666800.0,24.885,53.41454660202623,-10485800.0
2000-06-20,25.0,25.06,24.63,24.88,309400.0,24.8725,51.942295194588766,-10795200.0
2000-06-21,24.94,25.44,24.75,24.75,439000.0,24.866,50.32404826500591,-11234200.0
2000-06-22,24.69,24.75,24.19,24.63,449300.0,24.8445,48.81231341876617,-11683500.0
2000-06-23,24.38,24.75,24.06,24.44,584500.0,24.8165,46.43387443471566,-12268000.0
2000-06-26,24.38,25.38,24.31,25.0,678700.0,24.801,53.6087991339956,-11589300.0
2000-06-27,25.06,25.13,24.13,24.38,504900.0,24.767,46.22628259912143,-12094200.0
2000-06-28,24.25,25.13,23.63,25.06,399800.0,24.7635,53.74924785076814,-11694400.0
2000-06-29,24.94,25.19,24.13,24.25,434100.0,24.7195,45.57087106770213,-12128500.0
2000-06-30,24.06,25.13,23.25,23.38,890000.0,24.654,38.75072771141497,-13018500.0
2000-07-03,23.56,24.19,23.56,24.06,250400.0,24.6665,45.60329222314429,-12768100.0
2000-07-05,24.25,24.81,23.63,23.88,292500.0,24.645,44.1938027131961,-13060600.0
2000-07-06,23.94,24.25,23.75,24.0,269300.0,24.62,45.405264833470426,-12791300.0
2000-07-07,23.88,24.38,23.88,24.31,175300.0,24.6105,48.514661392905545,-12616000.0
2000-07-10,24.06,24.69,24.06,24.44,628300.0,24.595,49.805719894348336,-11987700.0
2000-07-11,24.44,24.81,24.06,24.81,415800.0,24.5885,53.38833398401472,-11571900.0
2000-07-12,24.38,24.75,24.25,24.56,283400.0,24.554,50.75245295184825,-11855300.0
2000-07-13,24.44,24.5,24.19,24.31,491300.0,24.535,48.19019525939846,-12346600.0
2000-07-14,24.38,24.5,24.0,24.13,414300.0,24.479,46.37482493692321,-12760900.0
2000-07-17,24.06,24.5,24.0,24.31,192400.0,24.429,48.46551275172546,-12568500.0
2000-07-18,24.31,24.75,24.19,24.56,273000.0,24.407,51.30510564112991,-12295500.0
2000-07-19,24.81,25.63,24.81,25.44,601900.0,24.435,59.71881820491458,-11693600.0
2000-07-20,25.5,25.69,25.25,25.31,383100.0,24.463,58.12115997803253,-12076700.0
2000-07-21,25.44,25.44,25.25,25.25,265800.0,24.494,57.35844439213039,-12342500.0
2000-07-24,25.19,25.19,24.94,25.06,178300.0,24.525,54.90147690596088,-12520800.0
2000-07-25,24.94,25.31,24.94,25.19,297900.0,24.5345,56.28136255437532,-12222900.0
2000-07-26,25.06,25.38,24.75,24.88,767500.0,24.5595,52.18122809551488,-12990400.0
2000-07-27,25.06,25.38,24.94,25.19,466600.0,24.566,55.659910235269805,-12523800.0
2000-07-28,25.19,25.31,25.06,25.13,302800.0,24.61,54.82853476011565,-12826600.0
2000-07-31,25.25,25.75,25.19,25.5,1341900.0,24.716,58.90495820746561,-11484700.0
2000-08-01,25.56,26.88,25.56,26.88,792700.0,24.857,69.83793137563895,-10692000.0
