date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,55.31,55.31,53.88,55.0,647000.0,,,
1999-11-02,55.0,56.44,54.25,54.25,391100.0,52.9875,0.0,-391100.0
1999-11-03,54.88,56.13,53.88,55.56,520200.0,52.9875,65.29013883944468,129100.0
1999-11-04,55.56,55.56,53.88,54.0,476700.0,52.9875,35.53574888587484,-347600.0
1999-11-05,54.25,55.5,53.88,54.13,452400.0,52.9875,38.06864556037637,104800.0
1999-11-08,54.13,56.13,54.13,54.56,478400.0,52.9875,45.67241160306555,583200.0
1999-11-09,55.0,55.13,53.31,53.63,514000.0,52.9875,35.51598002641474,69200.0
1999-11-10,53.81,54.38,53.25,53.63,352600.0,52.9875,35.51598002641475,69200.0
1999-11-11,53.56,53.75,51.13,51.56,1007000.0,52.9875,22.563547314389595,-937800.0
1999-11-12,52.0,52.19,50.31,51.06,1303500.0,52.9875,20.608495911903542,-2241300.0
1999-11-15,51.13,51.56,50.81,51.38,969400.0,52.9875,25.08252293897665,-1271900.0
1999-11-16,51.75,52.5,51.38,52.13,517600.0,52.9875,34.41176733831988,-754300.0
1999-11-17,53.5,53.5,52.88,53.44,429000.0,52.9875,46.85934734877654,-325300.0
1999-11-18,54.38,54.38,53.69,54.0,270900.0,52.9875,51.12917262934256,-54400.0
1999-11-19,53.5,55.13,53.13,55.0,681400.0,52.9875,57.66994074975045,627000.0
1999-11-22,54.0,54.06,50.63,51.72,782600.0,52.9875,39.15782232030084,-155600.0
1999-11-23,51.06,51.88,50.13,51.13,981800.0,52.9875,36.86543086919709,-1137400.0
1999-11-24,51.38,52.0,50.94,51.44,553200.0,52.9875,38.88974862534343,-584200.0
1999-11-26,51.13,51.25,50.75,51.0,211000.0,52.9875,37.07280051780512,-795200.0
1999-11-29,51.0,51.31,50.38,51.13,750900.0,52.9875,37.994549390486654,-44300.0
1999-11-30,52.0,52.56,51.5,51.56,1038800.0,52.8155,41.06940565076203,994500.0
1999-12-01,52.13,52.38,50.5,50.75,628400.0,52.6405,37.3154834320654,366100.0
1999-12-02,50.75,51.75,50.75,51.45,1017100.0,52.435,42.22985525364902,1383200.0
1999-12-03,51.38,52.5,51.38,52.06,1477800.0,52.338,46.18894813957343,2861000.0
1999-12-06,52.19,52.19,51.0,51.0,573500.0,52.18149999999999,40.93862320660697,2287500.0
1999-12-07,50.0,50.75,49.25,50.56,1286000.0,51.9815,38.95897887930113,1001500.0
1999-12-08,50.81,51.06,49.88,50.48,856800.0,51.824,38.593560174573724,144700.0
1999-12-09,51.0,51.06,50.0,50.5,866300.0,51.6675,38.74823744189122,1011000.0
1999-12-10,50.38,50.94,50.31,50.69,616600.0,51.624,40.28706266259751,1627600.0
1999-12-13,52.25,52.31,50.0,50.9,975700.0,51.616,42.02083875792636,2603300.0
1999-12-14,50.38,50.56,48.81,49.63,767300.0,51.5285,35.33832779144569,1836000.0
1999-12-15,50.0,50.19,49.0,49.81,578000.0,51.4125,36.87068325001746,2414000.0
1999-12-16,50.0,50.31,49.19,49.88,691700.0,51.2345,37.49107333463413,3105700.0
1999-12-17,49.0,50.38,48.94,49.0,1019900.0,50.9845,33.08873658993738,2085800.0
1999-12-20,49.0,49.0,48.0,49.0,782200.0,50.6845,33.08873658993738,2085800.0
1999-12-21,48.88,48.88,46.19,46.94,1130600.0,50.4455,25.09015966950905,955200.0
1999-12-22,46.94,49.5,46.88,49.06,1426900.0,50.342,40.918557429666514,2382100.0
1999-12-23,49.75,53.0,49.56,51.38,1691900.0,50.339,52.69777537496824,4074000.0
1999-12-27,51.38,52.75,51.06,51.44,808700.0,50.361,52.95898549265072,4882700.0
1999-12-28,51.19,51.19,50.06,50.75,361600.0,50.342,49.568976106210265,4521100.0
1999-12-29,51.5,51.81,50.63,51.44,270400.0,50.336,52.821286739103336,4791500.0
1999-12-30,51.75,52.94,51.31,52.44,618800.0,50.4205,57.13573447564604,5410300.0
1999-12-31,52.19,53.25,52.06,52.75,320200.0,50.4855,58.40560745974143,5730500.0
2000-01-03,52.12,52.12,49.0,49.06,962800.0,50.3355,42.33013068457927,4767700.0
2000-01-04,51.0,51.81,50.38,51.13,1324800.0,50.342,50.55226200975605,6092500.0
2000-01-05,52.0,55.25,51.88,55.0,1737400.0,50.56400000000001,61.58062476710618,7829900.0
2000-01-06,54.63,55.56,54.0,54.81,1448500.0,50.7805,60.862921818656346,6381400.0
2000-01-07,55.25,57.56,55.19,56.25,1136700.0,51.068,64.26245246190287,7518100.0
2000-01-10,56.63,57.25,55.25,55.75,1218800.0,51.321000000000005,62.240838669061375,6299300.0
2000-01-11,55.5,55.56,54.63,55.0,399200.0,51.526,59.23085037486058,5900100.0
2000-01-12,54.38,54.56,52.75,53.0,1352400.0,51.694500000000005,52.00793689902994,4547700.0
2000-01-13,54.0,54.38,52.13,53.0,616500.0,51.854000000000006,52.00793689902994,4547700.0
2000-01-14,53.5,54.38,52.06,53.38,635100.0,52.02900000000001,53.26379580399685,5182800.0
2000-01-18,51.63,53.19,51.5,51.81,923000.0,52.169500000000006,47.70894978008098,4259800.0
2000-01-19,51.25,51.63,50.13,50.75,674400.0,52.257000000000005,44.34625277817021,3585400.0
2000-01-20,50.5,50.56,48.69,49.32,913600.0,52.376,40.22698332602208,2671800.0
2000-01-21,49.63,49.75,49.25,49.38,870200.0,52.39200000000001,40.47681605005169,3542000.0
2000-01-24,49.63,50.0,45.75,46.44,840800.0,52.145,33.16252134923171,2701200.0
