date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,70.5,71.0,69.31,69.38,949300.0,75.423,100.0,543000.0
1999-11-02,69.19,71.75,69.13,69.75,543000.0,75.423,100.0,543000.0
1999-11-03,69.81,69.88,68.31,68.75,924000.0,75.423,25.571504518873184,-381000.0
1999-11-04,69.69,70.75,69.44,70.13,570400.0,75.423,64.66088037125492,189400.0
1999-11-05,72.0,74.31,71.25,73.69,1304900.0,75.423,85.62905094033749,1494300.0
1999-11-08,73.5,73.5,72.5,73.0,651600.0,75.423,76.19274117122988,842700.0
1999-11-09,73.5,73.56,71.75,71.88,695600.0,75.423,63.88606405287865,147100.0
1999-11-10,71.0,72.75,70.63,71.94,678700.0,75.423,64.21948410666278,825800.0
1999-11-11,72.0,73.5,71.56,73.31,574300.0,75.423,70.8395848261938,1400100.0
1999-11-12,73.94,79.81,73.75,79.75,2227700.0,75.423,84.94270055614645,3627800.0
1999-11-15,78.75,79.94,77.25,78.0,997100.0,75.423,74.41106649254755,2630700.0
1999-11-16,78.38,83.0,78.38,82.81,1505100.0,75.423,81.2809018486428,4135800.0
1999-11-17,81.13,81.38,78.56,79.56,1245400.0,75.423,67.99748092216855,2890400.0
1999-11-18,79.81,81.13,79.25,80.19,1111500.0,75.423,69.05327210160686,4001900.0
1999-11-19,80.0,80.88,79.63,79.94,329600.0,75.423,68.09324817262096,3672300.0
1999-11-22,79.5,80.25,78.5,79.69,329900.0,75.423,67.08878867514258,3342400.0
1999-11-23,79.94,80.63,77.5,77.75,656300.0,75.423,59.72606222599558,2686100.0
1999-11-24,77.5,77.75,76.75,77.13,515700.0,75.423,57.55223245475881,2170400.0
1999-11-26,77.19,77.75,76.63,77.31,107600.0,75.423,58.02983629702824,2278000.0
1999-11-29,77.25,77.25,74.38,74.5,517900.0,75.423,48.79897624296065,1760100.0
1999-11-30,74.75,77.13,74.5,75.13,925000.0,75.7105,50.69271817687272,2685100.0
1999-12-01,74.75,76.19,74.75,76.19,500000.0,76.0325,53.7896484204653,3185100.0
