date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,42.5,43.63,42.5,42.63,399000.0,44.1075,0.0,-150700.0
1999-11-02,42.56,42.75,41.63,41.88,150700.0,44.1075,0.0,-150700.0
1999-11-03,41.94,42.0,41.0,41.38,208500.0,44.1075,0.0,-359200.0
1999-11-04,41.94,42.25,40.63,41.06,327100.0,44.1075,0.0,-686300.0
1999-11-05,40.81,42.31,40.75,41.69,310900.0,44.1075,32.163249814412566,-375400.0
1999-11-08,41.81,43.5,41.06,41.81,306900.0,44.1075,36.36183484730886,-68500.0
1999-11-09,43.0,43.38,41.0,41.94,274400.0,44.1075,40.647550523753964,205900.0
1999-11-10,41.69,42.56,40.75,41.69,209600.0,44.1075,35.67226779135929,-3700.0
1999-11-11,41.69,47.06,41.69,46.38,1424600.0,44.1075,81.47705714841459,1420900.0
1999-11-12,46.44,46.94,44.81,45.06,604800.0,44.1075,67.01389426969325,816100.0
1999-11-15,46.31,46.63,45.13,45.31,407400.0,44.1075,68.16645471757036,1223500.0
1999-11-16,45.56,47.19,45.56,46.94,419400.0,44.1075,74.43782852916361,1642900.0
1999-11-17,46.69,46.75,45.06,45.44,499700.0,44.1075,62.27862722002841,1143200.0
1999-11-18,45.31,45.88,44.75,45.75,303400.0,44.1075,63.60188766976906,1446600.0
1999-11-19,44.25,45.25,44.25,45.0,197000.0,44.1075,58.275552458948354,1249600.0
1999-11-22,44.81,45.25,44.38,44.38,266700.0,44.1075,54.232293388439324,982900.0
1999-11-23,44.44,44.44,43.13,43.81,337900.0,44.1075,50.74636877489174,645000.0
1999-11-24,44.63,46.0,44.44,45.81,437600.0,44.1075,60.371514595996246,1082600.0
1999-11-26,45.88,46.5,45.75,46.31,166500.0,44.1075,62.35227737105969,1249100.0
1999-11-29,46.38,48.31,46.38,47.88,853800.0,44.1075,67.79549771060749,2102900.0
1999-11-30,47.88,47.94,46.19,47.13,336700.0,44.332499999999996,63.10189927944002,1766200.0
1999-12-01,46.63,47.5,45.56,47.44,379500.0,44.6105,64.20499356626053,2145700.0
1999-12-02,47.44,47.56,46.63,47.25,209900.0,44.904,62.96257566703015,1935800.0
1999-12-03,48.5,49.0,47.56,47.75,420000.0,45.2385,64.88812227389164,2355800.0
1999-12-06,48.0,48.81,47.56,48.38,432800.0,45.573,67.20187778427523,2788600.0
