date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,75.63,77.06,75.56,76.25,3602800.0,79.229,100.0,3789400.0
1999-11-02,77.0,77.5,75.75,77.0,3789400.0,79.229,100.0,3789400.0
1999-11-03,76.75,76.94,74.88,75.25,3053000.0,79.229,28.46715328467154,736400.0
1999-11-04,76.31,76.94,75.69,76.0,2250667.0,79.229,46.222034613761075,2987067.0
1999-11-05,77.0,78.75,77.0,78.0,3704400.0,79.229,68.60224838385562,6691467.0
1999-11-08,78.0,79.44,77.56,79.13,3963267.0,79.229,74.94627854502838,10654734.0
1999-11-09,78.56,80.0,76.31,80.0,6376000.0,79.229,78.54125819539864,17030734.0
1999-11-10,77.75,78.0,76.94,77.19,4324667.0,79.229,52.39193788510615,12706067.0
1999-11-11,77.38,78.94,77.06,78.81,2483667.0,79.229,60.547135194922966,15189734.0
1999-11-12,79.44,80.63,78.81,80.44,3155067.0,79.229,66.72369125387841,18344801.0
1999-11-15,80.81,80.81,77.94,78.75,4470000.0,79.229,56.79558913546065,13874801.0
1999-11-16,78.75,80.38,77.88,80.38,4448067.0,79.229,62.57903572233242,18322868.0
1999-11-17,80.13,81.63,79.81,79.94,3999667.0,79.229,60.23503592039928,14323201.0
1999-11-18,80.25,83.5,80.06,83.0,6823800.0,79.229,68.94652417046159,21147001.0
1999-11-19,82.44,83.0,81.44,82.25,4187667.0,79.229,65.17762259386888,16959334.0
1999-11-22,82.88,82.88,80.44,81.5,3649267.0,79.229,61.553996658567264,13310067.0
1999-11-23,80.06,81.25,79.81,80.69,3493400.0,79.229,57.81549537442772,9816667.0
1999-11-24,80.44,80.75,79.06,79.5,2912667.0,79.229,52.74692958768228,6904000.0
1999-11-26,79.88,80.5,79.75,80.5,1236200.0,79.229,56.2203017737911,8140200.0
1999-11-29,80.31,80.63,79.56,80.0,2724200.0,79.229,54.07982151788645,5416000.0
1999-11-30,80.81,81.0,79.0,79.19,3068800.0,79.376,50.711422407833766,2347200.0
1999-12-01,79.69,81.38,79.38,81.31,3446667.0,79.5915,58.07223170752534,5793867.0
1999-12-02,81.25,82.5,80.25,81.27,3595067.0,79.8925,57.89654425837114,2198800.0
1999-12-03,83.0,84.38,82.81,84.25,4721800.0,80.30499999999999,66.12003381685504,6920600.0
1999-12-06,84.19,84.19,82.75,83.35,2636800.0,80.5725,62.17060385436701,4283800.0
1999-12-07,83.44,83.88,82.63,83.25,2950000.0,80.77850000000001,61.729403750861565,1333800.0
