date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,50.5,53.0,50.13,52.13,782500.0,,,
1999-11-02,52.75,53.31,51.81,52.63,713600.0,50.0945,100.0,713600.0
1999-11-03,52.25,52.5,50.75,51.25,294900.0,50.0945,25.17428350116185,418700.0
1999-11-04,51.5,51.81,50.0,50.25,204600.0,50.0945,15.893616220893035,214100.0
1999-11-05,50.69,51.31,49.63,50.25,246400.0,50.0945,15.893616220893035,214100.0
1999-11-08,50.25,50.56,49.69,50.56,302500.0,50.0945,25.736624098978524,516600.0
1999-11-09,50.5,50.5,49.31,49.56,247200.0,50.0945,18.29759969043872,269400.0
1999-11-10,49.31,49.75,48.75,49.25,335800.0,50.0945,16.687333322438263,-66400.0
1999-11-11,49.25,49.63,48.5,48.75,204300.0,50.0945,14.474714508306292,-270700.0
1999-11-12,48.69,49.31,48.5,48.94,262900.0,50.0945,18.87655523201991,-7800.0
1999-11-15,48.69,49.13,48.56,48.81,238300.0,50.0945,18.18683746777623,-246100.0
1999-11-16,49.25,50.19,49.13,49.94,346700.0,50.0945,39.03790613316094,100600.0
1999-11-17,50.0,52.31,50.0,51.63,695000.0,50.0945,56.77936200821021,795600.0
1999-11-18,51.56,51.88,50.06,50.44,281900.0,50.0945,46.51431485723384,513700.0
1999-11-19,50.0,50.38,49.0,50.0,287500.0,50.0945,43.39069989741088,226200.0
1999-11-22,50.25,50.25,49.25,49.56,279500.0,50.0945,40.46433828013635,-53300.0
1999-11-23,49.38,49.44,48.63,48.88,447000.0,50.0945,36.3807334703502,-500300.0
1999-11-24,48.88,50.5,48.75,50.19,361700.0,50.0945,47.39478554942544,-138600.0
1999-11-26,49.94,50.19,49.5,49.81,167500.0,50.0945,44.96307724123318,-306100.0
1999-11-29,49.56,49.56,48.63,49.06,391100.0,50.0945,40.54181336145014,-697200.0
1999-11-30,48.94,49.56,48.56,49.13,285300.0,49.9445,41.123718567180845,-411900.0
1999-12-01,49.0,50.0,48.75,49.63,570400.0,49.7945,45.24578323801555,158500.0
1999-12-02,48.75,50.5,48.69,50.5,1529300.0,49.757,51.5960137332905,1687800.0
1999-12-03,50.75,54.19,50.19,53.31,1016600.0,49.91,65.5096642612863,2704400.0
1999-12-06,53.31,53.31,51.81,51.94,412800.0,49.9945,56.919182048346144,2291600.0
1999-12-07,51.69,52.13,50.81,51.06,302000.0,50.0195,52.18540283872782,1989600.0
1999-12-08,51.0,52.13,50.56,51.13,393700.0,50.098,52.523644247267534,2383300.0
1999-12-09,51.38,51.63,50.88,51.25,291300.0,50.198,53.135679568088,2674600.0
1999-12-10,51.25,51.56,50.0,51.0,215800.0,50.310500000000005,51.64203954391752,2458800.0
1999-12-13,50.75,51.0,49.63,50.25,344500.0,50.376,47.34254645273971,2114300.0
1999-12-14,49.56,50.13,49.0,49.06,475100.0,50.3885,41.44636668887292,1639200.0
1999-12-15,48.88,49.0,48.13,48.25,659100.0,50.304,37.979105380629534,980100.0
1999-12-16,48.25,48.5,47.88,48.0,463600.0,50.1225,36.951625494116975,516500.0
1999-12-17,48.0,49.31,47.75,48.31,752900.0,50.016000000000005,39.14997005597371,1269400.0
1999-12-20,48.25,50.13,48.0,50.06,575500.0,50.019,49.79263392557164,1844900.0
1999-12-21,49.38,51.06,49.38,50.38,533400.0,50.06,51.46429230287416,2378300.0
1999-12-22,50.0,50.38,49.44,49.44,235100.0,50.088,46.56021174118173,2143200.0
1999-12-23,49.5,49.63,48.38,49.44,455200.0,50.0505,46.56021174118173,2143200.0
1999-12-27,49.0,51.06,49.0,50.13,768200.0,50.066500000000005,50.57009706244469,2911400.0
1999-12-28,49.56,50.0,46.31,47.81,1215600.0,50.004000000000005,39.76572158041708,1695800.0
1999-12-29,48.0,48.19,45.75,46.31,658800.0,49.86300000000001,34.616134477879186,1037000.0
1999-12-30,46.31,47.94,46.06,47.69,479000.0,49.766000000000005,42.05113473414888,1516000.0
1999-12-31,47.44,47.5,47.0,47.44,228100.0,49.61300000000001,41.13848466463507,1287900.0
2000-01-03,47.0,47.5,46.19,46.38,453200.0,49.2665,37.42921948665652,834700.0
2000-01-04,45.75,46.0,44.44,44.63,530000.0,48.901,32.25799050661999,304700.0
2000-01-05,44.75,46.5,44.38,45.06,543700.0,48.601,34.64724275452208,848400.0
2000-01-06,45.06,47.31,44.88,46.0,501200.0,48.3445,39.65762019585111,1349600.0
2000-01-07,46.06,46.94,45.25,46.13,402900.0,48.0885,40.33885727397051,1752500.0
2000-01-10,46.0,46.81,45.69,46.25,329600.0,47.851,41.00098712241801,2082100.0
2000-01-11,46.25,46.5,44.75,45.31,406600.0,47.604,37.49096754951181,1675500.0
2000-01-12,45.56,46.56,44.69,45.0,342000.0,47.401,36.38471885159567,1333500.0
2000-01-13,45.0,45.44,44.56,44.69,250300.0,47.223,35.26413579273043,1083200.0
2000-01-14,44.88,44.88,40.0,42.56,4758500.0,46.95100000000001,28.71926664753049,-3675300.0
2000-01-18,42.56,43.0,41.63,43.0,501700.0,46.685500000000005,31.54562164880761,-3173600.0
2000-01-19,42.5,43.38,42.13,43.13,515700.0,46.339000000000006,32.398498355120566,-2657900.0
2000-01-20,43.06,43.13,42.0,42.19,543700.0,45.9295,29.53323089473093,-3201600.0
2000-01-21,42.19,42.44,40.75,41.25,480100.0,45.52,26.96504682145985,-3681700.0
2000-01-24,41.63,41.63,40.13,40.13,332900.0,45.0545,24.25828448469585,-4014600.0
2000-01-25,40.38,41.19,39.31,39.81,320800.0,44.5385,23.53148449759832,-4335400.0
2000-01-26,40.0,40.44,39.25,40.19,499100.0,44.1575,26.35328625940689,-3836300.0
2000-01-27,40.13,40.13,39.0,39.44,311800.0,43.814,24.4366166077824,-4148100.0
2000-01-28,39.25,39.25,37.75,37.75,703800.0,43.317,20.77076340260216,-4851900.0
2000-01-31,38.5,42.81,38.44,42.5,991200.0,43.07,45.51219778664769,-3860700.0
2000-02-01,42.25,42.5,40.25,40.56,599200.0,42.779,40.01596074278908,-4459900.0
2000-02-02,40.5,41.19,40.38,40.75,650000.0,42.585,40.7703806550249,-3809900.0
2000-02-03,40.94,41.81,40.94,41.38,487600.0,42.401,43.31609028198663,-3322300.0
2000-02-04,41.63,41.75,41.0,41.5,393400.0,42.176,43.811475373049696,-2928900.0
2000-02-07,41.13,41.5,40.88,41.0,313900.0,41.9195,42.15822403268833,-3242800.0
2000-02-08,41.0,42.19,41.0,42.19,443800.0,41.7165,47.25926512672491,-2799000.0
2000-02-09,41.88,42.31,41.56,41.75,455600.0,41.5385,45.65599958965792,-3254600.0
2000-02-10,41.5,42.13,41.19,42.0,538800.0,41.3885,46.761144478756776,-2715800.0
2000-02-11,42.0,45.44,41.88,42.75,1104600.0,41.2915,50.04335772132753,-1611200.0
2000-02-14,42.75,43.0,41.56,42.44,442600.0,41.2855,48.7067248901853,-2053800.0
