date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,41.0,41.0,39.25,39.38,1019700.0,42.338499999999996,0.0,-1282700.0
1999-11-02,39.0,39.63,38.75,39.0,1282700.0,42.338499999999996,0.0,-1282700.0
1999-11-03,39.0,39.13,38.38,38.69,718100.0,42.338499999999996,0.0,-2000800.0
1999-11-04,38.5,39.0,38.25,38.63,547000.0,42.338499999999996,0.0,-2547800.0
1999-11-05,38.69,39.63,38.5,38.75,522200.0,42.338499999999996,16.05867894346663,-2025600.0
1999-11-08,38.75,39.75,38.25,39.13,705300.0,42.338499999999996,45.76180143073504,-1320300.0
1999-11-09,39.25,40.19,38.81,40.06,946400.0,42.338499999999996,71.9355796539851,-373900.0
1999-11-10,39.5,40.31,39.25,40.25,1049100.0,42.338499999999996,74.62928004200887,675200.0
1999-11-11,40.25,40.25,39.44,40.06,570900.0,42.338499999999996,67.63782558232239,104300.0
1999-11-12,40.13,40.81,39.81,40.63,600600.0,42.338499999999996,75.1569747425163,704900.0
1999-11-15,40.63,40.75,39.69,40.56,867200.0,42.338499999999996,72.91637669309938,-162300.0
1999-11-16,40.31,42.44,40.31,42.31,782600.0,42.338499999999996,84.97555618304959,620300.0
1999-11-17,42.31,44.88,41.75,44.5,1633100.0,42.338499999999996,90.61013203388127,2253400.0
1999-11-18,44.44,45.56,43.88,45.38,1001300.0,42.338499999999996,91.92122004336676,3254700.0
1999-11-19,45.5,47.13,44.94,46.31,1676200.0,42.338499999999996,93.02899757772714,4930900.0
1999-11-22,46.31,47.19,46.06,47.13,894100.0,42.338499999999996,93.83208159229335,5825000.0
1999-11-23,47.13,47.75,46.75,47.25,1143700.0,42.338499999999996,93.94206879624421,6968700.0
1999-11-24,47.19,47.5,46.06,46.56,883100.0,42.338499999999996,84.60032211541336,6085600.0
1999-11-26,46.88,46.88,45.81,46.06,254000.0,42.338499999999996,78.50793986077994,5831600.0
1999-11-29,46.06,46.19,45.25,46.13,694300.0,42.338499999999996,78.73878247173957,6525900.0
1999-11-30,46.19,48.06,46.19,47.0,902700.0,42.7195,81.41115087979739,7428600.0
1999-12-01,46.5,47.06,46.5,46.5,782100.0,43.0945,75.53501345387805,6646500.0
1999-12-02,47.25,48.63,47.0,48.44,794800.0,43.582,81.20384424579801,7441300.0
1999-12-03,49.25,50.94,49.25,50.88,1156600.0,44.1945,85.69382772494959,8597900.0
1999-12-06,50.88,51.25,50.0,50.0,866100.0,44.757,78.418205562258,7731800.0
1999-12-07,50.5,52.94,50.13,52.44,1240200.0,45.4225,82.78304904402566,8972000.0
1999-12-08,52.38,53.44,51.5,53.25,737900.0,46.08200000000001,83.9439613234202,9709900.0
1999-12-09,55.5,57.06,53.56,54.44,2034500.0,46.7915,85.49172795329659,11744400.0
1999-12-10,55.13,56.0,54.69,55.75,1259300.0,47.576,86.97970710065775,13003700.0
1999-12-13,55.75,57.88,55.75,57.0,1079600.0,48.3945,88.22110008547425,14083300.0
1999-12-14,57.5,57.56,55.69,56.13,1225000.0,49.173,82.33703232461048,12858300.0
1999-12-15,57.0,57.19,55.5,55.56,964500.0,49.8355,78.63645559884846,11893800.0
1999-12-16,55.38,57.31,55.25,57.31,1414700.0,50.476,81.40037995120578,13308500.0
1999-12-17,58.06,58.06,58.06,58.06,1477300.0,51.11,82.44841790965137,14785800.0
1999-12-20,57.0,58.0,55.44,55.75,1010000.0,51.58200000000001,69.46536916098653,13775800.0
1999-12-21,56.25,56.38,54.63,54.88,1283200.0,51.969500000000004,65.29507452606153,12492600.0
1999-12-22,53.0,53.44,51.75,52.0,1652900.0,52.20700000000001,53.78414098541221,10839700.0
1999-12-23,51.75,53.56,50.88,52.44,1289100.0,52.501,55.08685318846186,12128800.0
1999-12-27,52.63,53.63,52.5,53.5,640400.0,52.873000000000005,58.147523067653324,12769200.0
1999-12-28,53.5,54.5,52.88,53.94,545500.0,53.2635,59.384789437564756,13314700.0
1999-12-29,54.25,54.56,53.81,54.44,267600.0,53.6355,60.80286186713183,13582300.0
1999-12-30,54.63,55.5,54.5,55.13,366800.0,54.06700000000001,62.73642345645132,13949100.0
1999-12-31,55.13,58.0,55.13,57.69,397400.0,54.5295,68.87170553420523,14346500.0
2000-01-03,57.69,57.69,53.56,54.31,948700.0,54.70100000000001,55.806988580797174,13397800.0
2000-01-04,54.0,54.0,49.75,50.0,1250200.0,54.701,44.27376152835782,12147600.0
2000-01-05,49.94,49.94,48.13,48.88,1522800.0,54.523,41.8531987770081,10624800.0
2000-01-06,49.0,50.06,47.88,49.0,984800.0,54.310500000000005,42.21771139815586,11609600.0
2000-01-07,49.5,50.88,48.88,50.75,1341700.0,54.126,47.39665942697359,12951300.0
2000-01-10,49.75,52.5,49.69,52.31,1541100.0,53.95399999999999,51.56424141796659,14492400.0
2000-01-11,52.0,52.44,51.38,52.06,1126900.0,53.70700000000001,50.868702268703984,13365500.0
2000-01-12,52.0,52.38,51.63,51.88,1129800.0,53.4945,50.34217352003994,12235700.0
2000-01-13,51.88,53.0,51.75,52.25,992700.0,53.32899999999999,51.45450509588988,13228400.0
2000-01-14,52.5,53.63,52.13,53.25,1451400.0,53.126,54.425818075526244,14679800.0
2000-01-18,52.63,54.44,52.38,54.0,805500.0,52.923,56.57270039238151,15485300.0
2000-01-19,54.0,55.94,53.5,55.56,1375700.0,52.9135,60.717784518906505,16861000.0
2000-01-20,55.56,55.56,53.19,53.31,645500.0,52.835,52.87825118788367,16215500.0
2000-01-21,52.31,53.13,51.56,52.75,1050900.0,52.8725,51.109502462661055,15164600.0
2000-01-24,52.75,52.75,50.56,50.88,465700.0,52.794500000000006,45.62169646591425,14698900.0
2000-01-25,50.69,51.5,50.44,50.94,916900.0,52.6665,45.82270234624087,15615800.0
2000-01-26,50.94,51.56,49.75,50.69,609400.0,52.504,45.075061741615464,15006400.0
2000-01-27,50.94,51.19,47.5,48.38,1005500.0,52.201,38.77904409691202,14000900.0
2000-01-28,48.75,48.75,46.31,47.0,753300.0,51.794500000000006,35.58157359286005,13247600.0
2000-01-31,47.0,47.0,45.25,46.0,850900.0,51.21,33.4304876787175,12396700.0
2000-02-01,46.13,48.38,45.75,48.19,941500.0,50.904,41.7375948385923,13338200.0
2000-02-02,48.0,49.13,47.88,48.31,682400.0,50.8195,42.1634857405831,14020600.0
2000-02-03,48.25,49.88,48.25,49.0,772000.0,50.8255,44.66808464128109,14792600.0
2000-02-04,50.06,50.31,49.19,50.06,661900.0,50.8785,48.367242401403864,15454500.0
2000-02-07,49.88,50.0,49.25,49.5,750400.0,50.816,46.59495994987987,14704100.0
2000-02-08,49.94,50.75,49.94,50.38,734200.0,50.7195,49.713236463795845,15438300.0
2000-02-09,49.75,49.81,47.38,47.75,1043400.0,50.504000000000005,41.848715557057346,14394900.0
2000-02-10,48.0,48.25,46.69,46.94,923600.0,50.257000000000005,39.76236904991059,13471300.0
2000-02-11,46.25,46.75,45.81,46.06,1173400.0,49.947500000000005,37.57088617341922,12297900.0
2000-02-14,46.0,46.13,45.75,45.88,545900.0,49.579,37.120224176875624,11752000.0
2000-02-15,45.94,46.13,45.44,45.94,735400.0,49.176,37.38981673598744,12487400.0
2000-02-16,46.0,46.0,45.5,45.69,846100.0,48.6825,36.68407160476169,11641300.0
2000-02-17,45.94,45.94,44.5,44.56,803000.0,48.245000000000005,33.59718573548892,10838300.0
2000-02-18,44.69,45.75,44.5,44.88,1430100.0,47.8515,35.258612719145944,12268400.0
2000-02-22,45.5,45.88,44.63,45.0,1046100.0,47.557500000000005,35.90624197803527,13314500.0
2000-02-23,44.75,45.38,42.88,43.0,1360800.0,47.1605,30.44070753439256,11953700.0
2000-02-24,42.0,42.63,39.94,42.13,2390900.0,46.7325,28.4145317260069,9562800.0
2000-02-25,41.88,41.94,36.0,38.31,5279000.0,46.229,21.612291164665947,4283800.0
2000-02-28,38.0,39.31,37.0,39.19,1546800.0,45.8385,26.006770809495592,5830600.0
2000-02-29,39.88,41.0,39.5,40.19,1960300.0,45.548,30.757233471603072,7790900.0
2000-03-01,40.19,41.5,39.69,41.5,1644400.0,45.213499999999996,36.50791717052591,9435300.0
2000-03-02,41.0,41.38,40.5,41.38,1151700.0,44.867000000000004,36.21124069662971,8283600.0
2000-03-03,40.88,42.44,40.75,42.19,838200.0,44.526500000000006,39.76921673731929,9121800.0
2000-03-06,42.19,42.19,40.88,41.31,893200.0,44.089,37.332904323955574,8228600.0
2000-03-07,41.06,41.13,40.06,40.13,1555500.0,43.6205,34.298682055505125,6673100.0
2000-03-08,40.06,40.19,38.69,39.5,938300.0,43.076499999999996,32.76744840763935,5734800.0
2000-03-09,39.25,39.25,36.63,37.63,1907600.0,42.570499999999996,28.675247502964226,3827200.0
2000-03-10,37.44,37.94,36.5,37.0,1581100.0,42.0735,27.432279781783052,2246100.0
2000-03-13,37.0,37.44,36.38,37.06,1133900.0,41.6235,27.7534720189647,3380000.0
2000-03-14,37.5,38.5,37.13,38.0,1351300.0,41.2295,32.77368512047069,4731300.0
2000-03-15,38.13,38.75,37.88,38.0,1539800.0,40.832499999999996,32.77368512047069,4731300.0
2000-03-16,38.63,40.81,38.31,40.81,1311800.0,40.588499999999996,45.82494326997551,6043100.0
2000-03-17,40.81,42.44,40.81,42.13,1454200.0,40.467,50.66977264142328,7497300.0
2000-03-20,42.38,43.5,41.0,41.56,1171200.0,40.301,48.6466703609862,6326100.0
2000-03-21,41.56,41.75,40.75,41.31,977500.0,40.116499999999995,47.74622419472046,5348600.0
2000-03-22,40.94,42.63,40.88,42.44,685900.0,40.088499999999996,52.065180841223885,6034500.0
2000-03-23,42.5,43.75,42.19,43.38,1278300.0,40.150999999999996,55.369818966764115,7312800.0
2000-03-24,43.5,44.0,43.38,43.75,1121800.0,40.423,56.63703409408455,8434600.0
2000-03-27,44.13,47.5,44.0,45.69,1602600.0,40.748000000000005,62.62866439803369,10037200.0
2000-03-28,45.88,46.56,45.69,46.06,917600.0,41.0415,63.659989885935815,10954800.0
2000-03-29,46.13,48.5,45.94,48.25,2002900.0,41.379000000000005,69.09619846845526,12957700.0
2000-03-30,48.06,48.94,47.5,48.06,1088600.0,41.713,68.14377210603533,11869100.0
2000-03-31,47.81,48.31,47.19,47.25,932000.0,41.965999999999994,64.08803047817175,10937100.0
2000-04-03,47.25,47.5,46.75,47.38,637100.0,42.26950000000001,64.45369397020285,11574200.0
2000-04-04,48.25,49.19,46.44,47.25,1979500.0,42.6255,63.754595173883104,9594700.0
2000-04-05,47.25,47.38,45.88,47.06,882500.0,43.0035,62.68444322570184,8712200.0
2000-04-06,47.0,48.75,46.94,48.25,869900.0,43.5345,66.47953303588162,9582100.0
2000-04-07,48.13,48.25,46.5,47.44,788400.0,44.05650000000001,61.867252623308225,8793700.0
2000-04-10,47.38,47.38,46.31,46.63,1445800.0,44.535000000000004,57.56615178311598,7347900.0
2000-04-11,46.63,46.75,45.63,45.88,926500.0,44.929,53.83418423465765,6421400.0
2000-04-12,46.0,46.06,44.0,44.88,1037900.0,45.273,49.24963060307914,5383500.0
2000-04-13,44.38,44.38,42.69,43.56,1147100.0,45.4105,43.93134085558683,4236400.0
2000-04-14,43.0,43.0,39.13,40.94,1364600.0,45.351000000000006,35.692624614306624,2871800.0
2000-04-17,39.13,39.38,37.19,38.0,2191600.0,45.173,29.098137790847588,680200.0
