date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,12.88,13.19,12.88,13.0,68500.0,14.049000000000001,0.0,-64900.0
1999-11-02,12.94,13.13,12.88,12.94,64900.0,14.049000000000001,0.0,-64900.0
1999-11-03,12.88,13.5,12.88,13.38,154300.0,14.049000000000001,88.76080691642646,89400.0
1999-11-04,13.5,13.63,13.13,13.63,75200.0,14.049000000000001,92.71656371211029,164600.0
1999-11-05,13.5,13.63,13.38,13.5,70900.0,14.049000000000001,77.45109804392168,93700.0
1999-11-08,13.5,14.13,13.44,14.13,104400.0,14.049000000000001,87.87223860851414,198100.0
1999-11-09,14.13,14.75,14.06,14.5,101900.0,14.049000000000001,90.61540058801918,300000.0
1999-11-10,14.53,15.0,14.5,14.69,66100.0,14.049000000000001,91.65876864453062,366100.0
1999-11-11,14.38,15.0,14.38,14.47,130100.0,14.049000000000001,80.49875503631648,236000.0
1999-11-12,14.38,14.63,14.38,14.63,52000.0,14.049000000000001,82.19652008884191,288000.0
1999-11-15,14.59,15.0,14.5,14.63,46500.0,14.049000000000001,82.19652008884191,288000.0
1999-11-16,14.81,14.88,14.56,14.75,50600.0,14.049000000000001,83.44980281682535,338600.0
1999-11-17,14.63,15.0,14.56,14.69,89900.0,14.049000000000001,80.40214314328776,248700.0
1999-11-18,14.69,14.75,14.44,14.59,87700.0,14.049000000000001,75.4559819911751,161000.0
1999-11-19,14.69,14.88,14.56,14.69,81200.0,14.049000000000001,76.98098946472216,242200.0
1999-11-22,14.75,14.88,14.69,14.88,44600.0,14.049000000000001,79.57741200867284,286800.0
1999-11-23,14.88,14.88,14.06,14.19,48900.0,14.049000000000001,55.21867081363365,237900.0
1999-11-24,14.13,14.13,12.81,13.31,142400.0,14.049000000000001,38.87489162332125,95500.0
1999-11-26,13.5,13.5,12.94,13.13,76200.0,14.049000000000001,36.49542570826667,19300.0
1999-11-29,13.13,13.5,12.94,13.25,73900.0,14.049000000000001,39.16862509932235,93200.0
1999-11-30,13.13,13.44,13.06,13.38,73400.0,14.068000000000001,42.01622907133168,166600.0
1999-12-01,13.38,13.38,12.88,12.94,59300.0,14.068000000000001,35.892093989111444,107300.0
1999-12-02,13.06,13.69,12.88,13.5,59900.0,14.074000000000002,46.56686113406082,167200.0
1999-12-03,13.5,13.69,13.38,13.38,54600.0,14.0615,44.84369897167298,112600.0
1999-12-06,13.25,13.61,13.13,13.44,22300.0,14.0585,45.921232171640064,134900.0
1999-12-07,13.13,13.44,13.0,13.0,48500.0,14.002,39.78329563779804,86400.0
1999-12-08,13.0,13.44,12.5,12.5,82400.0,13.902000000000001,34.190639740724166,4000.0
1999-12-09,13.25,13.25,12.56,13.0,72500.0,13.8175,42.843637776981026,76500.0
1999-12-10,13.0,13.31,12.88,13.25,49000.0,13.756499999999999,46.622750245970735,125500.0
1999-12-13,13.31,13.5,13.06,13.5,51900.0,13.7,50.17083152813321,177400.0
1999-12-14,13.13,13.5,13.0,13.06,61600.0,13.621500000000001,44.557100040755046,115800.0
1999-12-15,13.0,13.38,13.0,13.25,87100.0,13.5465,47.2993192564522,202900.0
1999-12-16,13.19,13.44,13.13,13.13,62400.0,13.4685,45.75991127533441,140500.0
1999-12-17,13.38,13.5,13.0,13.06,167700.0,13.392000000000001,44.843066893800376,-27200.0
1999-12-20,13.0,13.06,12.56,12.69,100300.0,13.292000000000002,40.25225937590887,-127500.0
1999-12-21,12.5,12.75,12.5,12.5,62900.0,13.173000000000002,38.0954890926965,-190400.0
1999-12-22,12.56,13.19,12.38,13.06,88500.0,13.116500000000002,47.09341597327103,-101900.0
1999-12-23,13.25,13.25,12.75,12.91,71700.0,13.0965,45.19832350888441,-173600.0
1999-12-27,13.13,13.13,12.75,13.0,80600.0,13.09,46.58716217021419,-93000.0
1999-12-28,13.0,13.19,12.81,13.16,40400.0,13.085500000000001,49.05882413771886,-52600.0
1999-12-29,13.38,13.63,12.75,13.13,91200.0,13.072999999999999,48.604665750917974,-143800.0
1999-12-30,13.0,13.5,13.0,13.38,70800.0,13.094999999999999,52.54703245410574,-73000.0
1999-12-31,13.25,14.19,13.25,13.84,90300.0,13.112,58.80809080339489,17300.0
2000-01-03,14.25,14.44,13.06,13.44,61500.0,13.115,52.34094335150454,-44200.0
2000-01-04,13.06,13.25,12.75,12.75,69900.0,13.0805,43.46203585737846,-114100.0
2000-01-05,13.0,13.06,12.63,12.88,36400.0,13.0745,45.343260466861985,-77700.0
2000-01-06,13.0,13.38,13.0,13.25,55900.0,13.112,50.40163413796411,-21800.0
2000-01-07,13.38,13.94,13.06,13.25,41400.0,13.124500000000001,50.40163413796412,-21800.0
2000-01-10,13.38,13.63,12.75,12.88,68100.0,13.106,45.5162062133969,-89900.0
2000-01-11,13.13,13.25,12.88,13.06,33600.0,13.084,48.14931011449385,-56300.0
2000-01-12,12.75,13.06,12.69,12.94,57300.0,13.078,46.53468803483582,-113600.0
