date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,105.3,106.7,105.0,105.1,2852100.0,104.425,0.0,-3691300.0
1999-11-02,105.1,106.1,102.3,102.5,3691300.0,104.425,0.0,-3691300.0
1999-11-03,104.0,105.1,103.5,104.3,2498800.0,104.425,42.71186440677967,-1192500.0
1999-11-04,105.0,106.0,104.9,105.3,3183100.0,104.425,54.37175493250263,1990600.0
1999-11-05,106.0,106.7,105.3,105.5,3442600.0,104.425,56.287975022574635,5433200.0
1999-11-08,105.6,105.9,103.9,104.4,2241800.0,104.425,45.07554009399505,3191400.0
1999-11-09,105.4,105.4,103.3,103.6,2106400.0,104.425,38.99217651126566,1085000.0
1999-11-10,102.5,103.5,102.3,103.0,2689100.0,104.425,35.15958509398111,-1604100.0
1999-11-11,103.1,104.0,102.9,103.8,1388400.0,104.425,43.17907531051061,-215700.0
1999-11-12,104.0,104.3,102.3,103.8,1496700.0,104.425,43.17907531051061,-215700.0
1999-11-15,103.8,103.9,102.6,103.5,1611500.0,104.425,40.97502820387034,-1827200.0
1999-11-16,104.3,106.1,104.1,106.1,2940000.0,104.425,60.02138916541456,1112800.0
1999-11-17,105.9,106.9,105.4,105.6,2457200.0,104.425,56.26155010179278,-1344400.0
1999-11-18,104.9,105.0,103.6,104.4,1733200.0,104.425,48.42183342998032,-3077600.0
1999-11-19,104.4,105.2,103.8,105.2,1531500.0,104.425,53.112545289250235,-1546100.0
1999-11-22,105.1,105.8,104.4,105.3,1644500.0,104.425,53.67961920745905,98400.0
1999-11-23,104.9,104.9,103.5,104.0,2105600.0,104.425,45.906654509863614,-2007200.0
1999-11-24,103.6,104.9,103.6,104.8,1801200.0,104.425,50.64313899064975,-206000.0
1999-11-26,105.0,105.1,103.2,103.2,671200.0,104.425,42.607615333276,-877200.0
1999-11-29,103.0,105.3,101.8,105.1,2038400.0,104.425,52.28886865336091,1161200.0
1999-11-30,104.3,104.7,103.6,103.8,1730500.0,104.36000000000001,46.50816207274002,-569300.0
1999-12-01,103.3,103.4,101.1,102.5,2292600.0,104.36000000000001,41.56012231103617,-2861900.0
1999-12-02,101.2,101.3,99.0,100.1,3267000.0,104.15,34.304044883002504,-6128900.0
1999-12-03,99.0,99.44,96.13,97.25,6360500.0,103.74749999999999,28.04275193987516,-12489400.0
1999-12-06,96.0,97.94,95.56,96.81,3373000.0,103.31299999999999,27.216812042560107,-15862400.0
1999-12-07,96.94,97.19,93.06,93.38,5460000.0,102.76200000000001,21.82128111633881,-21322400.0
1999-12-08,92.81,93.31,90.25,91.21,4971000.0,102.1425,19.224674156454952,-26293400.0
1999-12-09,92.0,94.63,91.75,93.25,4335900.0,101.655,27.90946454206032,-21957500.0
1999-12-10,95.0,95.13,93.25,94.38,2925000.0,101.184,32.25450666824075,-19032500.0
1999-12-13,94.63,94.81,92.06,93.18,2713700.0,100.65299999999999,30.17459596557012,-21746200.0
1999-12-14,92.25,95.69,92.0,94.19,2887200.0,100.1875,34.03046705806818,-18859000.0
1999-12-15,94.13,95.19,93.5,94.67,3021700.0,99.61600000000001,35.84369717794392,-15837300.0
1999-12-16,95.69,95.75,93.44,94.63,3238500.0,99.0675,35.75549977332341,-19075800.0
1999-12-17,95.06,95.44,92.38,94.88,7296000.0,98.5915,36.802170005524815,-11779800.0
1999-12-20,93.94,94.0,90.44,91.98,3185500.0,97.93050000000001,30.57866418628933,-14965300.0
1999-12-21,91.63,91.69,90.13,91.0,2905800.0,97.21549999999999,28.805881107225176,-17871100.0
1999-12-22,90.88,92.75,90.81,91.56,2891200.0,96.59349999999999,31.258350914447064,-14979900.0
1999-12-23,92.63,95.88,92.0,95.56,2903600.0,96.13149999999999,45.657997565074375,-12076300.0
1999-12-27,95.44,97.75,94.75,97.75,2081200.0,95.859,51.631919562700524,-9995100.0
1999-12-28,97.75,97.75,94.38,95.44,1706700.0,95.376,45.900128395450636,-11701800.0
1999-12-29,96.19,96.19,92.25,92.44,1558000.0,94.808,39.731347561365496,-13259800.0
1999-12-30,93.0,94.5,93.0,93.5,1223900.0,94.358,42.663495941385904,-12035900.0
1999-12-31,93.5,94.38,93.13,93.25,685600.0,94.0155,42.142737838750605,-12721500.0
2000-01-03,93.13,93.75,91.69,92.19,2321200.0,93.7625,39.91790262007349,-15042700.0
2000-01-04,91.13,91.56,88.75,88.81,3911100.0,93.3625,33.79182768918082,-18953800.0
2000-01-05,88.81,90.81,88.44,90.19,4114800.0,93.203,37.97700979671059,-14839000.0
2000-01-06,90.31,93.94,90.13,92.56,2678200.0,93.2705,44.469191954122905,-12160800.0
2000-01-07,94.13,96.94,93.63,96.5,4931900.0,93.433,53.23329249692975,-7228900.0
2000-01-10,96.69,96.94,94.06,94.06,2464300.0,93.417,48.16371650474842,-9693200.0
2000-01-11,93.0,94.94,92.94,94.06,3076500.0,93.461,48.16371650474842,-9693200.0
2000-01-12,93.88,95.06,93.19,93.5,2581600.0,93.4265,46.973011227796455,-12274800.0
2000-01-13,93.94,96.0,93.06,93.38,2329600.0,93.362,46.706546367791226,-14604400.0
2000-01-14,93.94,94.38,92.81,93.69,2702400.0,93.315,47.53454593524365,-11902000.0
2000-01-18,92.0,93.06,91.06,91.31,2435000.0,93.1365,42.12350640745379,-14337000.0
2000-01-19,91.0,92.06,90.63,91.63,2753700.0,93.119,43.061999909800164,-11583300.0
2000-01-20,92.25,92.31,90.06,91.94,2411700.0,93.166,44.00920085625257,-9171600.0
2000-01-21,91.75,91.75,89.63,89.88,4269000.0,93.082,39.32728032111842,-13440600.0
2000-01-24,90.13,90.19,83.56,83.69,5652100.0,92.4885,29.255673412706315,-19092700.0
2000-01-25,83.88,86.94,83.56,85.25,6478400.0,91.8635,33.853279934675385,-12614300.0
2000-01-26,86.25,86.88,83.06,83.5,4745700.0,91.2665,31.388864488729055,-17360000.0
2000-01-27,83.75,83.94,80.5,80.5,6203300.0,90.6695,27.670151987733618,-23563300.0
2000-01-28,80.88,85.19,80.88,84.5,6170000.0,90.2195,38.18564751287492,-17393300.0
2000-01-31,85.19,86.75,82.81,86.06,4527600.0,89.85999999999999,41.742866428311316,-12865700.0
2000-02-01,85.44,85.5,84.38,84.81,3039600.0,89.49100000000001,39.768054628980885,-15905300.0
2000-02-02,85.5,86.31,84.94,85.25,2895800.0,89.313,40.82920803930516,-13009500.0
2000-02-03,85.0,85.0,81.88,83.31,5118600.0,88.96900000000001,37.67735856077248,-18128100.0
2000-02-04,82.13,83.63,81.81,82.13,3453000.0,88.44749999999999,35.86386282645664,-21581100.0
2000-02-07,81.56,82.0,81.0,81.44,2911000.0,87.69449999999999,34.808803331599464,-24492100.0
2000-02-08,82.44,83.0,81.25,82.06,3062700.0,87.0945,36.61325647118873,-21429400.0
2000-02-09,82.06,82.13,79.69,80.0,6211300.0,86.3915,33.31380939969878,-27640700.0
2000-02-10,79.81,80.38,77.5,78.0,5672400.0,85.6165,30.445213998272436,-33313100.0
2000-02-11,77.75,78.44,75.94,77.44,5116600.0,84.81949999999999,29.67471120581925,-38429700.0
2000-02-14,76.94,78.25,76.69,77.63,3686500.0,84.01650000000001,30.31905768298165,-34743200.0
2000-02-15,77.69,80.25,77.5,79.69,4931700.0,83.43549999999999,37.053166431593176,-29811500.0
2000-02-16,80.25,80.63,78.94,79.81,4623600.0,82.84450000000001,37.432493354301144,-25187900.0
2000-02-17,80.94,81.13,78.75,79.19,2887200.0,82.207,36.21809678668091,-28075100.0
2000-02-18,78.5,78.94,76.88,77.44,4123100.0,81.58500000000001,32.96705214867863,-32198200.0
2000-02-22,78.0,79.06,76.75,78.63,3653700.0,81.33200000000001,37.1016221458359,-28544500.0
2000-02-23,78.13,78.31,76.13,76.13,4146600.0,80.876,32.55822701692907,-32691100.0
2000-02-24,75.0,75.25,72.0,73.75,9256400.0,80.3885,28.92655992884177,-41947500.0
2000-02-25,72.56,72.63,70.31,72.0,6610700.0,79.9635,26.57893539351015,-48558200.0
2000-02-28,72.0,72.94,70.06,72.75,6768900.0,79.376,29.229815447642437,-41789300.0
2000-02-29,73.25,73.44,71.25,72.0,5091600.0,78.673,28.13582449693861,-46880900.0
2000-03-01,72.25,73.38,71.06,73.38,4698600.0,78.1015,33.09754415701087,-42182300.0
2000-03-02,73.0,74.94,72.63,73.69,3396500.0,77.52349999999998,34.19663893158473,-38785800.0
2000-03-03,74.25,74.25,72.25,73.5,2897300.0,77.03299999999999,33.829805277795714,-41683100.0
2000-03-06,72.94,72.94,70.25,70.5,3815700.0,76.4515,28.61099969236828,-45498800.0
2000-03-07,70.5,70.5,66.13,68.5,8263200.0,75.80449999999999,25.758145138194777,-53762000.0
2000-03-08,67.69,71.75,67.25,71.0,6418400.0,75.2515,34.544120073086034,-47343600.0
2000-03-09,71.0,73.0,69.94,72.69,4832700.0,74.886,39.736064278057505,-42510900.0
2000-03-10,72.69,73.75,69.88,70.88,4361100.0,74.53,36.40545021798736,-46872000.0
2000-03-13,69.63,71.56,69.31,70.0,2881300.0,74.158,34.87492150649287,-49753300.0
2000-03-14,71.81,74.63,71.75,72.75,5171100.0,73.914,42.94704704460246,-44582200.0
2000-03-15,72.25,78.19,71.81,76.94,6010100.0,73.7765,52.58936470661619,-38572100.0
2000-03-16,79.88,80.5,78.94,79.81,7679500.0,73.7765,57.84478198148708,-30892600.0
2000-03-17,79.31,79.94,78.19,79.56,5502100.0,73.795,57.24946854594723,-36394700.0
2000-03-20,79.69,79.94,78.56,79.31,3377600.0,73.8885,56.62191507914389,-39772300.0
2000-03-21,78.13,81.0,78.13,80.25,4013800.0,73.9695,58.46549041338723,-35758500.0
2000-03-22,80.88,82.25,79.69,82.25,4991500.0,74.2755,62.151264515424536,-30767000.0
2000-03-23,81.25,81.94,79.94,80.0,5195000.0,74.588,56.117916568405406,-35962000.0
