date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,78.75,82.38,78.25,78.94,2546800.0,89.0765,100.0,2042400.0
1999-11-02,79.69,83.5,79.0,83.13,2042400.0,89.0765,100.0,2042400.0
1999-11-03,84.25,86.0,82.88,85.69,2541200.0,89.0765,100.0,4583600.0
1999-11-04,85.5,85.56,81.5,83.56,2145300.0,89.0765,73.76830808477487,2438300.0
1999-11-05,84.63,87.81,84.5,87.75,1516300.0,89.0765,83.13840467841202,3954600.0
1999-11-08,86.94,89.69,86.63,87.0,1067700.0,89.0765,77.78251445350043,2886900.0
1999-11-09,87.75,88.88,85.25,87.44,869600.0,89.0765,78.65142480741147,3756500.0
1999-11-10,87.19,90.38,87.0,88.5,2203100.0,89.0765,80.6180245470874,5959600.0
1999-11-11,89.88,93.94,88.88,93.13,2586000.0,89.0765,86.47754840163654,8545600.0
1999-11-12,93.81,96.88,89.25,96.75,2710600.0,89.0765,89.2212906548045,11256200.0
1999-11-15,97.75,97.78,91.75,92.94,2011100.0,89.0765,72.53884869279608,9245100.0
1999-11-16,92.63,93.94,90.75,92.56,2730200.0,89.0765,71.11071304733866,6514900.0
1999-11-17,93.63,96.75,90.44,91.19,2303700.0,89.0765,66.06101189981923,4211200.0
1999-11-18,90.75,91.38,88.0,90.88,2055700.0,89.0765,64.93731093584987,2155500.0
1999-11-19,91.88,93.5,89.13,92.19,1949400.0,89.0765,67.45651783824407,4104900.0
1999-11-22,92.25,92.38,88.88,90.44,1545000.0,89.0765,61.1371287995133,2559900.0
1999-11-23,90.63,91.88,87.75,89.0,1199800.0,89.0765,56.45082345967276,1360100.0
1999-11-24,89.0,92.25,86.63,92.19,1718600.0,89.0765,63.18341044471542,3078700.0
1999-11-26,92.88,93.25,89.5,89.94,359200.0,89.0765,56.5435135486982,2719500.0
1999-11-29,89.38,89.88,86.81,88.31,1478500.0,89.0765,52.25893055891181,1241000.0
1999-11-30,87.75,90.19,83.38,84.56,3026900.0,89.35749999999999,43.998671338923444,-1785900.0
1999-12-01,87.0,90.88,85.5,90.56,2883700.0,89.729,55.98613560382772,1097800.0
1999-12-02,90.63,98.25,90.5,98.13,2187100.0,90.351,65.90300180270066,3284900.0
1999-12-03,99.88,99.88,95.25,97.56,2404300.0,91.051,64.72053031051418,880600.0
1999-12-06,96.88,105.3,95.31,103.9,2102200.0,91.8585,70.9615789390867,2982800.0
1999-12-07,103.5,103.6,98.75,101.3,2429000.0,92.5735,65.81927891471202,553800.0
1999-12-08,99.94,100.8,95.75,96.13,2149500.0,93.00800000000001,56.97750425808524,-1595700.0
1999-12-09,97.13,97.5,90.25,94.44,2065600.0,93.30499999999999,54.40471786900557,-3661300.0
1999-12-10,94.81,94.81,89.63,90.94,1886400.0,93.1955,49.426996832527124,-5547700.0
1999-12-13,89.56,92.13,87.94,88.56,2292000.0,92.78599999999999,46.32324785799416,-7839700.0
1999-12-14,89.25,89.88,82.31,82.56,2984100.0,92.26700000000001,39.5761781861796,-10823800.0
1999-12-15,82.94,91.75,82.94,90.38,3275700.0,92.158,49.83224901620214,-7548100.0
1999-12-16,91.13,93.81,90.75,92.88,1371400.0,92.2425,52.60206056163218,-6176700.0
1999-12-17,100.3,101.1,96.0,96.56,2539400.0,92.5265,56.416576418722435,-3637300.0
1999-12-20,97.0,103.5,96.25,100.7,2259600.0,92.95200000000001,60.288554290908685,-1377700.0
1999-12-21,100.3,109.6,99.25,107.9,1791300.0,93.825,65.95355685601871,413600.0
1999-12-22,106.9,106.9,100.3,100.8,2618300.0,94.41499999999999,57.27651775018442,-2204700.0
1999-12-23,100.6,105.5,98.75,102.9,1191100.0,94.9505,58.99488883378205,-1013600.0
1999-12-27,103.1,108.6,100.3,108.3,1365700.0,95.8685,63.10434783732606,352100.0
1999-12-28,106.6,110.1,104.1,108.5,1438300.0,96.878,63.251243922173906,1790400.0
1999-12-29,106.9,111.6,106.1,111.3,890800.0,98.215,65.33225025365749,2681200.0
1999-12-30,111.5,112.1,108.5,108.7,613200.0,99.12199999999999,61.83089412907469,2068000.0
1999-12-31,109.4,113.1,108.9,111.4,377900.0,99.7855,63.98921662329913,2445900.0
2000-01-03,112.3,112.3,107.5,108.5,1884700.0,100.33250000000001,60.06082682789051,561200.0
2000-01-04,106.6,110.4,103.6,103.9,1564900.0,100.33250000000001,54.36007250475502,-1003700.0
2000-01-05,101.9,102.0,96.63,99.98,2739300.0,100.2665,50.004335978398835,-3743000.0
2000-01-06,97.19,101.5,97.0,99.44,4175500.0,100.43199999999999,49.41691482861414,-7918500.0
2000-01-07,99.81,105.5,97.5,105.3,3019100.0,100.975,55.523038106191,-4899400.0
2000-01-10,108.12,118.25,107.94,116.56,2588500.0,102.256,64.41262642277061,-2310900.0
2000-01-11,113.5,120.0,113.3,115.6,2494100.0,103.60799999999999,63.251879618937316,-4805000.0
2000-01-12,115.9,121.4,111.6,119.2,3056500.0,105.43999999999998,65.74480288413471,-1748500.0
2000-01-13,117.5,122.0,113.8,119.8,3515000.0,106.91100000000002,66.15687916557485,1766500.0
2000-01-14,125.1,139.8,124.9,138.0,5072800.0,109.167,75.70428924046425,6839300.0
2000-01-18,136.3,137.2,129.1,130.6,3377700.0,110.869,67.38095475897664,3461600.0
2000-01-19,64.56,67.13,62.5,64.31,1398300.0,109.04950000000001,32.698660991052805,2063300.0
2000-01-20,65.06,66.13,59.5,63.25,4974600.0,106.81700000000001,32.41137749924309,-2911300.0
2000-01-21,63.63,65.13,61.88,64.25,3352900.0,104.98949999999999,33.00933976428789,441600.0
2000-01-24,65.0,66.0,59.0,59.81,3038100.0,102.835,31.66962969437887,-2596500.0
2000-01-25,60.69,62.13,56.75,61.94,2354200.0,100.51700000000001,33.07295055024515,-242300.0
2000-01-26,62.25,62.5,58.38,58.38,2487700.0,98.011,31.893969413399375,-2730000.0
2000-01-27,59.31,62.0,54.38,56.94,3446300.0,95.293,31.40627528636938,-6176300.0
2000-01-28,55.0,57.88,54.5,56.31,3466400.0,92.6735,31.181628358365657,-9642700.0
2000-01-31,55.38,60.31,54.88,58.63,4471300.0,90.035,33.079961168895025,-5171400.0
2000-02-01,58.44,62.25,57.25,60.63,3138800.0,87.6415,34.75093237466707,-2032600.0
2000-02-02,59.25,65.13,59.25,64.75,5396500.0,85.684,38.17564608318165,3363900.0
2000-02-03,64.94,66.5,63.5,66.19,3979900.0,83.9945,39.373387924227,7343800.0
2000-02-04,67.25,67.88,65.81,65.94,5089400.0,82.3195,39.23128651503292,2254400.0
2000-02-07,65.63,69.0,65.0,68.19,2810400.0,80.46400000000001,41.285146224785464,5064800.0
2000-02-08,68.88,70.0,67.5,69.75,3813800.0,78.12349999999999,42.73039199653526,8878600.0
2000-02-09,68.25,71.13,66.19,67.81,4037400.0,75.73400000000001,41.36673002124685,4841200.0
2000-02-10,67.69,71.0,66.69,70.44,1995400.0,73.296,43.976939635424074,6836600.0
2000-02-11,70.63,70.75,67.75,68.5,1689800.0,70.731,42.47485688589383,5146800.0
2000-02-14,68.0,69.13,65.88,67.63,2027100.0,67.2125,41.78557409688953,3119700.0
2000-02-15,67.0,70.5,65.0,69.69,2724100.0,64.167,44.098806369706566,5843800.0
2000-02-16,71.0,73.38,70.38,71.75,3866200.0,64.539,46.392821392738334,9710000.0
2000-02-17,72.38,74.13,70.38,74.0,2928900.0,65.0765,48.861275455772265,12638900.0
2000-02-18,72.88,73.44,67.88,68.0,2433800.0,65.264,43.15460654909755,10205100.0
2000-02-22,67.94,73.0,65.13,71.63,2742100.0,65.85499999999999,47.174388258285624,12947200.0
