date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,67.0,67.5,64.5,64.88,411644.0,65.836,0.0,-558667.0
1999-11-02,65.06,65.5,63.44,63.75,558667.0,65.836,0.0,-558667.0
1999-11-03,64.06,68.25,64.0,68.0,802044.0,65.836,80.19948780159058,243377.0
1999-11-04,68.31,70.0,67.38,68.81,590430.0,65.836,82.99813929471263,833807.0
1999-11-05,69.44,69.69,67.75,69.0,725452.0,65.836,83.58425877864367,1559259.0
1999-11-08,69.19,69.19,67.69,68.5,397600.0,65.836,76.14496073078577,1161659.0
1999-11-09,68.75,68.88,65.63,66.25,638667.0,65.836,53.198930490565296,522992.0
1999-11-10,66.44,67.5,64.56,65.13,610578.0,65.836,45.80024767941961,-87586.0
1999-11-11,66.25,68.25,64.75,65.13,468444.0,65.836,45.80024767941961,-87586.0
1999-11-12,65.25,65.75,61.38,65.38,522578.0,65.836,47.68380570803643,434992.0
1999-11-15,65.75,66.06,62.56,64.13,366252.0,65.836,40.167401491081584,68740.0
1999-11-16,64.19,66.25,63.69,66.0,544800.0,65.836,52.284863466093874,613540.0
1999-11-17,66.03,68.03,63.5,63.75,599467.0,65.836,41.4163287825519,14073.0
1999-11-18,64.69,67.88,64.0,67.44,447230.0,65.836,57.14852419983285,461303.0
1999-11-19,67.81,69.25,66.5,67.0,677244.0,65.836,55.24348121054955,-215941.0
1999-11-22,66.94,67.5,64.63,66.06,354252.0,65.836,51.308447180923,-570193.0
1999-11-23,67.31,67.38,62.88,63.25,807585.0,65.836,41.73746205743275,-1377778.0
1999-11-24,63.25,65.0,62.25,65.0,396178.0,65.836,48.21603672035215,-981600.0
1999-11-26,65.06,67.0,64.75,65.63,68652.0,65.836,50.35617809187901,-912948.0
1999-11-29,65.28,65.38,63.25,63.63,379763.0,65.836,44.12203406336278,-1292711.0
1999-11-30,64.44,64.5,62.25,63.38,370667.0,65.761,43.3987711446301,-1663378.0
1999-12-01,63.0,68.5,63.0,67.13,1451644.0,65.92999999999999,55.24884085967475,-211734.0
1999-12-02,69.0,71.44,68.19,71.16,995052.0,66.088,63.97717356968713,783318.0
1999-12-03,72.31,75.25,70.44,72.0,1385985.0,66.24749999999999,65.48813825802996,2169303.0
1999-12-06,73.13,77.0,71.75,73.06,1116978.0,66.4505,67.34928447952122,3286281.0
1999-12-07,72.94,73.25,69.5,70.88,658785.0,66.56949999999999,60.163406518529264,2627496.0
1999-12-08,71.38,71.38,66.75,69.0,1069778.0,66.707,54.73925545591934,1557718.0
