date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,93.25,94.19,92.12,92.37,26630600.0,89.38300000000001,100.0,23174500.0
1999-11-02,92.75,94.5,91.94,92.56,23174500.0,89.38300000000001,100.0,23174500.0
1999-11-03,92.94,93.5,91.5,92.0,22258500.0,89.38300000000001,23.957322987390597,916000.0
1999-11-04,92.31,92.75,90.31,91.75,27119700.0,89.38300000000001,17.543572092006556,-26203700.0
1999-11-05,91.81,92.87,90.5,91.56,35083700.0,89.38300000000001,14.390416271653734,-61287400.0
1999-11-08,84.81,90.75,84.37,89.94,121909600.0,89.38300000000001,5.4296485210118135,-183197000.0
1999-11-09,89.75,89.87,86.44,88.87,54884900.0,89.38300000000001,3.762958754496495,-238081900.0
1999-11-10,88.12,89.12,86.44,87.12,34692700.0,89.38300000000001,2.4424373627841476,-272774600.0
1999-11-11,88.25,90.44,88.25,89.62,34637300.0,89.38300000000001,36.646272193332166,-238137300.0
1999-11-12,89.75,90.0,87.06,89.19,24707100.0,89.38300000000001,34.41151287968951,-262844400.0
1999-11-15,88.25,88.5,86.94,87.0,23540200.0,89.38300000000001,25.786590146105752,-286384600.0
1999-11-16,86.94,87.75,85.87,87.31,29582600.0,89.38300000000001,28.517779093567484,-256802000.0
1999-11-17,86.44,87.06,85.0,85.0,33409500.0,89.38300000000001,22.015878225521533,-290211500.0
1999-11-18,84.94,85.81,84.5,84.94,32246600.0,89.38300000000001,21.87636232560594,-322458100.0
1999-11-19,84.44,86.56,84.37,86.0,29113000.0,89.38300000000001,30.282021466946702,-293345100.0
1999-11-22,89.62,90.37,88.44,89.81,45298300.0,89.38300000000001,50.78078929104756,-248046800.0
1999-11-23,89.25,91.37,88.37,89.62,35393700.0,89.38300000000001,49.991399377797656,-283440500.0
1999-11-24,89.56,92.25,89.5,91.69,26885500.0,89.38300000000001,57.70538206567504,-256555000.0
1999-11-26,91.62,93.37,91.0,91.12,14257100.0,89.38300000000001,55.181235484855456,-270812100.0
1999-11-29,90.12,92.06,89.5,90.19,25730100.0,89.38300000000001,51.24279879174335,-296542200.0
1999-11-30,89.75,92.87,89.56,91.05,32072800.0,89.317,54.478366365070144,-264469400.0
1999-12-01,91.06,93.94,90.87,93.19,24432100.0,89.3485,61.35135981534906,-240037300.0
1999-12-02,93.06,95.25,92.87,94.81,27736900.0,89.489,65.58715188647093,-212300400.0
1999-12-03,95.81,97.12,95.73,96.12,32050300.0,89.7075,68.58543368190351,-180250100.0
1999-12-06,95.25,97.19,94.75,95.44,24549100.0,89.9015,65.40011672133063,-204799200.0
1999-12-07,94.75,94.87,92.87,93.0,28429600.0,90.05449999999999,55.448839535878385,-233228800.0
1999-12-08,93.12,94.31,91.69,91.75,20477900.0,90.1985,51.15456718764583,-253706700.0
