date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,21.19,21.44,20.5,20.63,1742300.0,,,
1999-11-02,20.75,21.56,20.63,21.56,1551700.0,22.26,100.0,1551700.0
1999-11-03,21.81,21.81,21.19,21.5,914100.0,22.26,93.5034802784224,637600.0
1999-11-04,21.5,21.5,20.94,21.38,1502200.0,22.26,82.02599029278223,-864600.0
1999-11-05,21.13,21.25,20.56,20.56,1063800.0,22.26,43.09651319022739,-1928400.0
1999-11-08,20.5,21.31,20.38,21.31,2036100.0,22.26,61.22356173295345,107700.0
1999-11-09,21.25,22.25,21.0,21.63,2618100.0,22.26,66.17468229259624,2725800.0
1999-11-10,21.81,23.25,21.75,23.0,2713400.0,22.26,78.70874966328851,5439200.0
1999-11-11,22.88,22.88,21.94,22.25,1462200.0,22.26,64.59681318426641,3977000.0
1999-11-12,22.0,22.56,21.06,21.94,1138200.0,22.26,59.82247589852606,2838800.0
1999-11-15,22.0,23.25,21.94,23.0,1346600.0,22.26,68.4179708336494,4185400.0
1999-11-16,23.38,23.5,22.5,22.75,1226400.0,22.26,64.89185377199686,2959000.0
1999-11-17,22.75,23.19,21.75,21.94,1344800.0,22.26,55.001134454392094,1614200.0
1999-11-18,21.81,22.38,21.81,22.0,463200.0,22.26,55.541691517586486,2077400.0
1999-11-19,21.94,22.38,21.5,21.81,951900.0,22.26,53.35589647531899,1125500.0
1999-11-22,21.75,22.19,21.25,21.25,1090200.0,22.26,47.431109649011006,35300.0
1999-11-23,21.81,23.25,21.69,23.25,1776000.0,22.26,63.16351537073504,1811300.0
1999-11-24,23.69,25.0,23.38,24.94,2410100.0,22.26,71.04818520586362,4221400.0
1999-11-26,24.81,25.13,24.31,24.94,968800.0,22.26,71.04818520586362,4221400.0
1999-11-29,23.0,23.63,22.25,23.56,2629200.0,22.26,59.07359903297832,1592200.0
1999-11-30,23.5,23.69,23.25,23.69,974600.0,22.413,59.76161266089179,2566800.0
1999-12-01,23.44,23.56,22.94,22.94,940400.0,22.482,54.10998556813191,1626400.0
1999-12-02,22.88,22.88,22.0,22.63,1101800.0,22.5385,51.924206936679326,524600.0
1999-12-03,22.31,22.75,22.0,22.13,954600.0,22.576,48.51980522299311,-430000.0
1999-12-06,21.25,21.81,21.25,21.69,909600.0,22.6325,45.68137974384571,-1339600.0
1999-12-07,21.88,23.56,21.88,23.5,2179700.0,22.742,56.86124637679621,840100.0
1999-12-08,23.13,23.63,22.88,23.06,982700.0,22.8135,53.95407312552299,-142600.0
1999-12-09,22.88,22.88,22.13,22.19,668600.0,22.773,48.656833259623696,-811200.0
1999-12-10,22.63,22.75,22.38,22.44,445600.0,22.7825,50.17079466209464,-365600.0
1999-12-13,22.31,23.5,22.31,23.5,976400.0,22.8605,56.083790098457264,610800.0
1999-12-14,23.31,23.38,22.25,22.44,778100.0,22.832500000000003,49.72878226103317,-167300.0
1999-12-15,22.38,23.69,22.19,23.13,1280400.0,22.8515,53.42817074790145,1113100.0
1999-12-16,23.19,24.75,23.06,24.44,1638000.0,22.9765,59.51890529253277,2751100.0
1999-12-17,25.0,25.19,24.31,24.44,1478800.0,23.0985,59.51890529253278,2751100.0
1999-12-20,24.5,24.63,23.69,23.81,576900.0,23.198500000000003,55.47255770613833,2174200.0
1999-12-21,23.25,24.5,23.13,24.25,1180400.0,23.3485,57.638640020484246,3354600.0
1999-12-22,24.19,24.19,23.13,23.25,1001700.0,23.3485,51.50613167846344,2352900.0
1999-12-23,23.63,24.0,23.5,23.63,576800.0,23.283,53.529478130586405,2929700.0
1999-12-27,24.0,24.94,23.75,24.75,1135800.0,23.2735,58.964068655984335,4065500.0
1999-12-28,25.0,25.44,24.69,24.81,949200.0,23.336,59.23908035093392,5014700.0
1999-12-29,25.0,25.38,24.38,24.81,875400.0,23.392000000000003,59.23908035093391,5014700.0
1999-12-30,24.75,25.0,24.25,24.25,842300.0,23.457500000000003,55.23238081596938,4172400.0
1999-12-31,24.75,24.75,24.25,24.5,298600.0,23.551,56.64225959487108,4471000.0
2000-01-03,24.0,24.19,23.75,24.06,906900.0,23.6475,53.451632144413146,3564100.0
2000-01-04,23.25,23.63,22.19,22.25,1783800.0,23.675500000000003,42.77693085998007,1780300.0
2000-01-05,22.5,23.19,22.5,23.06,1180300.0,23.6535,47.80092046431288,2960600.0
2000-01-06,22.06,22.38,21.94,22.25,1688400.0,23.613,43.6717495561134,1272200.0
2000-01-07,22.5,22.69,21.25,21.44,1528800.0,23.5755,39.95485029601936,-256600.0
2000-01-10,21.5,21.69,21.31,21.38,1222900.0,23.5225,39.68541034563411,-1479500.0
2000-01-11,21.63,22.56,21.5,22.5,1595500.0,23.472500000000004,46.885779312444384,116000.0
2000-01-12,22.19,22.31,21.81,22.13,2195200.0,23.457,44.97558486474476,-2079200.0
2000-01-13,22.13,22.13,21.25,21.38,3962600.0,23.3695,41.302297750980685,-6041800.0
2000-01-14,21.38,21.44,20.5,20.81,3470900.0,23.188,38.71439021965215,-9512700.0
2000-01-18,21.06,22.13,20.94,22.13,3087200.0,23.0725,46.99686064180919,-6425500.0
2000-01-19,22.13,22.19,21.56,21.88,1759200.0,22.976,45.73616037445672,-8184700.0
2000-01-20,21.19,21.25,20.69,21.06,1913300.0,22.8165,41.777535572148125,-10098000.0
2000-01-21,20.94,21.38,20.81,21.19,1359300.0,22.7135,42.62538476041887,-8738700.0
2000-01-24,20.25,20.69,20.13,20.5,1240000.0,22.557,39.34999401958214,-9978700.0
2000-01-25,20.5,20.5,19.13,19.38,1482500.0,22.2885,34.69030873824417,-11461200.0
2000-01-26,19.94,19.94,19.44,19.63,1015800.0,22.0295,36.49792605490001,-10445400.0
2000-01-27,20.13,21.44,19.75,21.44,1753900.0,21.861,47.769323479318295,-8691500.0
2000-01-28,21.44,21.69,19.75,20.06,1453500.0,21.6515,41.69303286837508,-10145000.0
2000-01-31,20.25,20.5,20.06,20.38,914500.0,21.4455,43.48811696735909,-9230500.0
2000-02-01,20.13,20.13,19.63,19.88,925900.0,21.2365,41.34619049397452,-10156400.0
2000-02-02,20.38,21.06,20.31,20.88,1665000.0,21.168,46.97163531122953,-8491400.0
2000-02-03,20.81,21.38,20.31,21.25,1779500.0,21.0775,48.92357997526285,-6711900.0
2000-02-04,24.0,24.63,22.31,24.0,5190800.0,21.165,60.54743458056236,-1521100.0
2000-02-07,25.44,25.44,22.63,22.75,4931900.0,21.2305,54.47844458714253,-6453000.0
