date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,51.88,51.88,50.38,50.5,338800.0,,,
1999-11-02,50.5,52.38,50.0,52.06,542200.0,50.6575,100.0,542200.0
1999-11-03,52.31,52.44,50.75,51.25,481600.0,50.6575,64.1366223908918,60600.0
1999-11-04,51.38,51.44,50.25,50.81,329200.0,50.6575,53.01427709632017,-268600.0
1999-11-05,51.0,52.19,51.0,51.94,385600.0,50.6575,68.24481842264274,117000.0
1999-11-08,52.0,52.25,49.81,50.38,448800.0,50.6575,46.05143789936752,-331800.0
1999-11-09,50.0,50.38,49.81,50.38,352200.0,50.6575,46.05143789936752,-331800.0
1999-11-10,50.63,50.63,49.75,50.5,370800.0,50.6575,47.57247275384137,39000.0
1999-11-11,50.75,52.0,50.75,51.63,527000.0,50.6575,59.22948745481108,566000.0
1999-11-12,50.88,50.94,49.56,49.88,588600.0,50.6575,43.20709605716335,-22600.0
1999-11-15,49.94,51.19,49.63,51.0,438200.0,50.6575,52.13192640750149,415600.0
1999-11-16,51.25,51.44,50.38,51.06,409200.0,50.6575,52.56200726128457,824800.0
1999-11-17,50.81,51.0,49.69,49.69,1451600.0,50.6575,43.05073291539948,-626800.0
1999-11-18,49.88,52.0,49.88,51.44,653400.0,50.6575,54.40138021667744,26600.0
1999-11-19,51.5,51.63,50.84,51.38,362000.0,50.6575,54.003954525899815,-335400.0
1999-11-22,51.13,51.25,49.97,50.43,329000.0,50.6575,48.02199762526198,-664400.0
1999-11-23,50.25,50.25,49.31,49.44,460000.0,50.6575,42.71233090515154,-1124400.0
1999-11-24,49.5,51.0,48.63,50.63,474400.0,50.6575,49.885150683159736,-650000.0
1999-11-26,50.75,50.75,50.0,50.06,235600.0,50.6575,46.858713229389735,-885600.0
1999-11-29,49.63,49.75,48.5,48.69,721600.0,50.6575,40.499030676534666,-1607200.0
1999-11-30,48.88,50.44,48.75,50.44,475400.0,50.6545,49.860195298176805,-1131800.0
1999-12-01,50.19,50.44,49.25,50.13,563200.0,50.558,48.407330167100135,-1695000.0
1999-12-02,50.44,53.0,50.44,52.13,932800.0,50.602,57.0938174287792,-762200.0
1999-12-03,52.0,54.0,52.0,53.94,788200.0,50.7585,63.14195598199374,26000.0
1999-12-06,53.38,53.94,52.75,53.5,481200.0,50.8365,60.89476192786472,-455200.0
1999-12-07,54.0,54.06,53.31,54.0,860000.0,51.0175,62.52685420567304,404800.0
1999-12-08,54.5,55.5,54.13,55.25,1035600.0,51.261,66.31221221615496,1440400.0
1999-12-09,55.25,55.25,54.31,54.31,518400.0,51.4515,61.29764858467385,922000.0
1999-12-10,54.38,56.63,54.38,56.31,863600.0,51.685500000000005,67.01329542357786,1785600.0
1999-12-13,56.5,57.44,55.63,55.94,1077400.0,51.9885,65.09793007663833,708200.0
1999-12-14,55.75,56.13,54.81,55.56,794200.0,52.2165,63.10309112214013,-86000.0
1999-12-15,55.56,57.25,55.31,56.63,1194200.0,52.495000000000005,66.24017223220726,1108200.0
1999-12-16,56.5,56.63,55.81,56.44,1169800.0,52.8325,65.18041259208672,-61600.0
1999-12-17,56.44,56.75,54.5,54.5,560400.0,52.9855,55.4292244237806,-622000.0
1999-12-20,54.75,55.0,52.75,53.25,863800.0,53.07899999999999,50.21633610413344,-1485800.0
1999-12-21,53.5,56.19,53.38,55.25,1151800.0,53.32000000000001,57.15869383011148,-334000.0
1999-12-22,55.0,55.13,53.63,53.63,677200.0,53.529500000000006,50.95975735311056,-1011200.0
1999-12-23,53.69,54.81,53.31,54.44,499000.0,53.720000000000006,53.66554457134023,-512200.0
1999-12-27,54.75,55.0,54.38,54.38,574600.0,53.936,53.43037551748312,-1086800.0
1999-12-28,54.44,56.25,54.25,56.0,498800.0,54.3015,58.69358421406848,-588000.0
1999-12-29,55.81,55.81,54.69,55.0,499600.0,54.5295,54.59204483435004,-1087600.0
1999-12-30,55.06,55.31,54.38,54.38,262600.0,54.742,52.15840165820889,-1350200.0
1999-12-31,54.13,55.31,54.13,54.81,277400.0,54.876,53.6999956918204,-1072800.0
2000-01-03,54.81,54.81,53.56,54.31,1141600.0,54.8945,51.617207633798174,-2214400.0
2000-01-04,54.25,54.94,53.38,53.75,778200.0,54.907,49.31039655122503,-2992600.0
2000-01-05,53.63,55.5,53.63,55.0,1420000.0,54.957,54.22769916312688,-1572600.0
2000-01-06,55.13,56.25,55.0,55.75,934800.0,54.98199999999999,56.92757211667375,-637800.0
2000-01-07,55.63,56.44,54.81,55.94,515600.0,55.0635,57.609728277794495,-122200.0
2000-01-10,55.94,55.94,53.19,53.94,699600.0,54.94500000000001,48.8411118391633,-821800.0
2000-01-11,54.38,55.19,54.13,55.06,814400.0,54.901,53.142304378752414,-7400.0
2000-01-12,55.06,55.06,53.13,53.19,544200.0,54.782500000000006,46.16358714092798,-551600.0
2000-01-13,53.5,55.75,53.5,55.0,530800.0,54.701,52.64569611621942,-20800.0
2000-01-14,55.0,55.5,54.25,54.81,722600.0,54.6195,51.93874180499609,-743400.0
2000-01-18,55.0,55.0,53.0,53.75,978600.0,54.582,48.061170722168654,-1722000.0
2000-01-19,53.88,55.44,53.81,55.25,1231400.0,54.682,53.36676421201496,-490600.0
2000-01-20,55.13,55.19,52.19,52.38,896000.0,54.5385,44.08716341529186,-1386600.0
