date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,41.0,43.63,40.81,43.38,42000.0,47.9055,100.0,44200.0
1999-11-02,43.13,45.75,43.13,45.63,44200.0,47.9055,100.0,44200.0
1999-11-03,46.0,46.88,45.75,46.13,58100.0,47.9055,100.0,102300.0
1999-11-04,46.38,46.75,46.38,46.44,21500.0,47.9055,100.0,123800.0
1999-11-05,46.69,47.75,46.69,47.13,39400.0,47.9055,100.0,163200.0
1999-11-08,47.19,48.13,47.13,47.13,22800.0,47.9055,100.0,163200.0
1999-11-09,47.13,47.63,47.06,47.19,6200.0,47.9055,100.0,169400.0
1999-11-10,47.0,48.38,47.0,47.88,59200.0,47.9055,100.0,228600.0
1999-11-11,47.88,48.5,47.75,48.25,38700.0,47.9055,100.0,267300.0
1999-11-12,49.0,49.0,48.25,48.25,15400.0,47.9055,100.0,267300.0
1999-11-15,48.5,48.63,48.25,48.38,17200.0,47.9055,100.0,284500.0
1999-11-16,48.25,49.0,48.25,49.0,33000.0,47.9055,100.0,317500.0
1999-11-17,49.5,49.88,49.44,49.81,19300.0,47.9055,100.0,336800.0
1999-11-18,49.69,50.0,49.5,49.94,7800.0,47.9055,100.0,344600.0
1999-11-19,50.0,50.25,50.0,50.13,24000.0,47.9055,100.0,368600.0
1999-11-22,50.0,50.0,49.31,49.31,21800.0,47.9055,81.19692635747441,346800.0
1999-11-23,49.38,49.38,48.19,48.19,45800.0,47.9055,63.605140908066,301000.0
1999-11-24,48.19,48.56,47.63,48.44,26700.0,47.9055,65.40678075553394,327700.0
1999-11-26,48.63,48.88,48.63,48.69,1400.0,47.9055,67.1576237085467,329100.0
1999-11-29,48.75,49.0,48.63,48.81,31500.0,47.9055,67.99496111536308,360600.0
1999-11-30,48.75,48.88,48.63,48.63,26500.0,48.168,65.30534325912362,334100.0
1999-12-01,48.88,49.63,48.75,49.63,31500.0,48.368,71.94488469832865,365600.0
1999-12-02,49.38,49.81,47.0,47.0,95300.0,48.411500000000004,46.656236064386704,270300.0
1999-12-03,47.0,47.38,46.0,46.63,49200.0,48.421,44.297210027764244,221100.0
1999-12-06,46.63,46.81,46.31,46.31,8000.0,48.38,42.30494501963695,213100.0
1999-12-07,46.25,46.25,45.06,45.19,15400.0,48.283,36.17288244509145,197700.0
1999-12-08,45.06,45.44,45.0,45.06,29300.0,48.176500000000004,35.529142902941956,168400.0
1999-12-09,45.13,45.25,44.5,44.88,19500.0,48.026500000000006,34.610701799864074,148900.0
1999-12-10,45.0,45.13,44.31,44.5,50900.0,47.839000000000006,32.68950982421018,98000.0
1999-12-13,44.25,44.31,44.13,44.19,11800.0,47.636,31.16947804158302,86200.0
1999-12-14,43.75,44.0,43.5,43.5,14500.0,47.392,28.043741979504276,71700.0
1999-12-15,43.5,43.5,43.0,43.25,17400.0,47.1045,26.987739625377657,54300.0
1999-12-16,43.38,43.56,43.0,43.06,11000.0,46.767,26.180855749108474,43300.0
1999-12-17,43.06,43.06,43.06,43.06,10200.0,46.423,26.180855749108474,43300.0
1999-12-20,43.25,44.0,43.25,44.0,15400.0,46.116499999999995,36.990134097104445,58700.0
1999-12-21,44.25,44.25,43.75,44.0,8500.0,45.851,36.99013409710443,58700.0
1999-12-22,43.63,43.88,42.5,43.13,40200.0,45.598,31.96584471584056,18500.0
1999-12-23,43.31,44.0,43.25,44.0,15200.0,45.376,40.64767268520888,33700.0
1999-12-27,44.38,45.5,44.38,45.38,29800.0,45.210499999999996,51.270109003514165,63500.0
1999-12-28,45.13,46.13,45.13,46.06,21900.0,45.073,55.49672564236493,85400.0
1999-12-29,45.75,46.38,45.75,46.25,14000.0,44.954,56.628681306726456,99400.0
1999-12-30,46.25,47.31,46.25,47.25,18200.0,44.835,62.0935710754348,117600.0
1999-12-31,47.5,47.75,47.38,47.75,18500.0,44.8725,64.5020182689274,136100.0
2000-01-03,47.75,47.75,47.75,47.75,36700.0,44.9285,64.5020182689274,136100.0
2000-01-04,46.38,46.38,46.0,46.0,34100.0,44.913,51.277290613843135,102000.0
2000-01-05,46.0,46.13,45.75,46.06,16500.0,44.9565,51.64336336645964,118500.0
2000-01-06,45.63,45.88,45.5,45.88,12700.0,44.997499999999995,50.41947933382192,105800.0
2000-01-07,45.5,46.75,45.5,46.75,73400.0,45.090999999999994,55.86389399709538,179200.0
2000-01-10,47.13,47.5,47.0,47.38,20900.0,45.235,59.34531608854326,200100.0
2000-01-11,47.25,47.5,47.0,47.5,11900.0,45.4005,59.99264922797459,212000.0
2000-01-12,47.38,48.0,47.0,47.81,21500.0,45.616,61.689711601077654,233500.0
