date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,105.1,108.6,104.9,108.0,2810500.0,108.585,0.0,-2550100.0
1999-11-02,107.8,108.4,106.0,106.0,2550100.0,108.585,0.0,-2550100.0
1999-11-03,106.6,107.6,105.3,106.8,2503300.0,108.585,30.10752688172036,-46800.0
1999-11-04,107.3,107.4,104.0,105.3,2124000.0,108.585,18.724279835390874,-2170800.0
1999-11-05,106.0,106.8,105.5,105.9,1653100.0,108.585,30.10752688172053,-517700.0
1999-11-08,105.9,108.8,105.6,108.6,1654300.0,108.585,58.36607666304927,1136600.0
1999-11-09,108.6,108.6,105.8,107.5,1507000.0,108.585,49.572356679385265,-370400.0
1999-11-10,107.5,107.8,105.6,107.4,1351800.0,108.585,48.85177293748297,-1722200.0
1999-11-11,107.1,107.8,105.1,106.4,1723000.0,108.585,42.2395319425367,-3445200.0
1999-11-12,106.5,107.0,105.4,107.0,1714700.0,108.585,46.884921166366354,-1730500.0
1999-11-15,104.9,107.5,104.9,106.6,2000500.0,108.585,44.32551830478725,-3731000.0
1999-11-16,107.2,107.4,106.0,107.4,1784400.0,108.585,50.18284034504533,-1946600.0
1999-11-17,107.1,109.8,107.0,109.0,1759300.0,108.585,59.38593793109244,-187300.0
1999-11-18,108.6,109.7,108.3,109.6,2735600.0,108.585,62.20560851209934,2548300.0
1999-11-19,109.3,110.7,108.3,110.5,3128400.0,108.585,66.01681095998615,5676700.0
1999-11-22,109.9,111.9,109.5,110.8,2030400.0,108.585,67.2039975972208,7707100.0
1999-11-23,110.8,113.1,110.3,112.0,2770400.0,108.585,71.49381358792846,10477500.0
1999-11-24,112.3,112.6,109.9,112.4,1993200.0,108.585,72.77228881761864,12470700.0
1999-11-26,112.4,113.3,111.7,113.0,731700.0,108.585,74.61163657086067,13202400.0
1999-11-29,111.9,112.5,110.1,111.5,1933700.0,108.585,63.12978981011397,11268700.0
1999-11-30,110.7,112.8,108.0,108.5,2007700.0,108.60999999999999,47.41426518071815,9261000.0
1999-12-01,108.8,112.3,108.6,112.3,1910400.0,108.925,60.74459804744018,11171400.0
1999-12-02,112.3,112.9,111.8,112.5,1785000.0,109.21,61.30064044514945,12956400.0
1999-12-03,113.0,115.6,112.8,113.8,3093900.0,109.63500000000002,64.79165844026065,16050300.0
1999-12-06,113.1,114.4,112.8,113.4,1852300.0,110.00999999999999,62.911141721256016,14198000.0
1999-12-07,113.4,113.6,109.9,109.9,2253000.0,110.075,49.40034839630002,11945000.0
1999-12-08,110.0,111.3,109.9,110.7,1354400.0,110.23500000000001,51.94094179646001,13299400.0
1999-12-09,110.9,110.9,108.4,109.9,2234300.0,110.35999999999999,49.27646543875993,11065100.0
1999-12-10,109.3,111.3,108.8,110.4,1732700.0,110.55999999999999,50.969376594641865,12797800.0
1999-12-13,110.4,111.3,108.6,110.3,1228700.0,110.725,50.605597370020305,11569100.0
1999-12-14,109.0,112.0,108.8,111.6,1492100.0,110.975,55.09277090448708,13061200.0
1999-12-15,111.6,114.8,111.4,112.6,2355800.0,111.23499999999999,58.235747667279064,15417000.0
1999-12-16,111.3,111.4,108.4,109.9,1981600.0,111.28,48.38848761077266,13435400.0
