date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,60.69,60.69,59.38,59.75,167700.0,59.258,0.0,-479400.0
1999-11-02,59.25,60.88,58.94,59.06,479400.0,59.258,0.0,-479400.0
1999-11-03,59.0,59.88,58.69,59.69,255400.0,59.258,49.578414839797546,-224000.0
1999-11-04,59.88,60.88,59.69,60.38,218100.0,59.258,68.18367848080553,-5900.0
1999-11-05,60.5,60.5,60.06,60.25,277600.0,59.258,63.43444599568473,-283500.0
1999-11-08,59.88,59.88,58.5,58.69,232700.0,59.258,33.38413177313957,-516200.0
1999-11-09,59.5,59.63,58.25,58.69,305900.0,59.258,33.38413177313957,-516200.0
1999-11-10,58.44,59.06,58.25,58.94,279300.0,59.258,38.77475724481608,-236900.0
1999-11-11,58.56,59.25,58.56,59.06,260200.0,59.258,41.23297903024987,23300.0
1999-11-12,59.38,59.88,59.0,59.25,474700.0,59.258,44.998476052743094,498000.0
1999-11-15,59.31,60.56,59.13,60.13,422500.0,59.258,58.31944649839943,920500.0
1999-11-16,60.13,60.75,59.5,59.94,277000.0,59.258,55.210329310249826,643500.0
1999-11-17,59.94,60.69,59.5,60.5,411900.0,59.258,61.692578573935954,1055400.0
1999-11-18,60.75,60.75,59.63,59.94,259700.0,59.258,53.37378176387821,795700.0
1999-11-19,60.0,60.13,59.25,60.13,244200.0,59.258,55.563161067493624,1039900.0
1999-11-22,59.5,59.81,58.94,59.38,270900.0,59.258,46.317672077840705,769000.0
1999-11-23,59.5,59.5,57.56,57.88,484100.0,59.258,34.097441254829306,284900.0
1999-11-24,58.25,59.13,57.88,58.44,158600.0,59.258,40.41765450874126,443500.0
1999-11-26,58.25,58.38,57.63,57.81,67200.0,59.258,36.210389593793266,376300.0
1999-11-29,57.25,57.5,56.94,57.25,383700.0,59.258,32.92912602528821,-7400.0
1999-11-30,57.0,59.0,57.0,58.56,317600.0,59.1985,45.39466233736257,310200.0
1999-12-01,58.0,58.56,57.44,57.81,198500.0,59.136,40.72763017091868,111700.0
1999-12-02,57.25,59.69,57.25,59.0,395300.0,59.1015,49.584330049170056,507000.0
1999-12-03,59.0,60.88,59.0,60.31,352400.0,59.09799999999999,57.171228506629795,859400.0
1999-12-06,59.75,60.0,58.38,58.44,241500.0,59.00749999999999,46.43003111344755,617900.0
1999-12-07,58.19,58.31,56.88,56.88,352800.0,58.91700000000001,39.72492131324799,265100.0
1999-12-08,57.25,57.38,56.19,57.13,293800.0,58.839,41.190649356538785,558900.0
