date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,52.88,53.19,52.5,52.94,374500.0,52.294500000000006,100.0,870500.0
1999-11-02,53.62,55.88,53.38,54.0,870500.0,52.294500000000006,100.0,870500.0
1999-11-03,53.19,53.88,51.31,51.94,1178700.0,52.294500000000006,32.332238385734414,-308200.0
1999-11-04,51.94,51.94,48.25,51.0,791000.0,52.294500000000006,24.26384938371939,-1099200.0
1999-11-05,51.25,51.94,49.0,49.56,491500.0,52.294500000000006,17.187802138271792,-1590700.0
1999-11-08,49.38,49.62,48.56,49.31,612600.0,52.294500000000006,16.299098793729357,-2203300.0
1999-11-09,49.44,50.81,49.44,50.69,428800.0,52.294500000000006,35.977605644489955,-1774500.0
1999-11-10,50.62,53.0,50.62,52.0,295400.0,52.294500000000006,48.383485606178446,-1479100.0
1999-11-11,52.25,53.75,52.12,52.75,470300.0,52.294500000000006,53.89213720451054,-1008800.0
1999-11-12,52.62,52.62,50.88,51.69,134900.0,52.294500000000006,46.3613259100269,-1143700.0
1999-11-15,51.44,53.06,51.44,53.06,197900.0,52.294500000000006,55.09522665933245,-945800.0
1999-11-16,54.5,56.44,54.12,56.44,546300.0,52.294500000000006,68.65558581862676,-399500.0
1999-11-17,56.5,58.88,55.5,55.81,479500.0,52.294500000000006,64.73180334992497,-879000.0
1999-11-18,55.88,55.94,54.38,54.75,251400.0,52.294500000000006,58.65742247241938,-1130400.0
1999-11-19,54.88,54.94,54.25,54.25,143400.0,52.294500000000006,55.98852340486481,-1273800.0
1999-11-22,54.5,54.81,52.81,53.0,307000.0,52.294500000000006,49.87844513672853,-1580800.0
1999-11-23,52.75,52.75,51.0,51.38,292800.0,52.294500000000006,43.28549445137326,-1873600.0
1999-11-24,50.12,50.94,49.5,50.5,248200.0,52.294500000000006,40.17868259253989,-2121800.0
1999-11-26,50.81,51.0,50.62,50.94,74500.0,52.294500000000006,42.404629667553536,-2047300.0
1999-11-29,50.94,51.0,49.62,49.88,202200.0,52.294500000000006,38.671384950491685,-2249500.0
1999-11-30,49.62,50.31,49.38,49.38,282100.0,52.1165,37.01595442674056,-2531600.0
1999-12-01,49.25,50.56,48.5,48.5,290200.0,51.8415,34.23798902564302,-2821800.0
1999-12-02,49.0,52.44,49.0,51.81,483500.0,51.835,49.568855736979366,-2338300.0
1999-12-03,51.38,53.19,51.38,52.5,226400.0,51.91,52.0769390159287,-2111900.0
1999-12-06,52.38,52.75,51.88,52.0,99800.0,52.032,50.13131971815606,-2211700.0
1999-12-07,53.0,54.0,52.5,52.62,233400.0,52.197500000000005,52.50107014187078,-1978300.0
1999-12-08,52.75,53.12,45.5,47.62,2345100.0,52.044,37.16355551987781,-4323400.0
1999-12-09,48.0,48.88,46.81,48.38,1404000.0,51.863,40.03129550725531,-2919400.0
1999-12-10,48.12,49.75,47.31,49.75,420400.0,51.713,44.911941352102446,-2499000.0
1999-12-13,49.12,49.12,47.75,48.25,450200.0,51.541,40.97939751526417,-2949200.0
1999-12-14,49.0,49.88,48.56,49.31,402500.0,51.35350000000001,44.6666111649593,-2546700.0
1999-12-15,50.25,50.25,47.25,48.62,1047000.0,50.9625,42.79252114831976,-3593700.0
1999-12-16,48.25,48.38,46.0,46.44,1603800.0,50.49400000000001,37.44671447622847,-5197500.0
1999-12-17,46.19,46.94,45.56,46.75,1267800.0,50.09400000000001,38.62095054608822,-3929700.0
1999-12-20,46.5,46.75,46.25,46.38,475900.0,49.700500000000005,37.711040376400994,-4405600.0
1999-12-21,46.38,46.5,46.0,46.12,412600.0,49.3565,37.05046029297986,-4818200.0
1999-12-22,46.31,47.0,46.25,47.0,428300.0,49.1375,40.82847571315352,-4389900.0
1999-12-23,47.12,48.0,47.12,47.5,168500.0,48.9875,42.92448415837342,-4221400.0
1999-12-27,47.25,47.5,46.38,46.44,214600.0,48.7625,39.71281030064812,-4436000.0
1999-12-28,46.31,46.44,45.88,46.19,325800.0,48.578,38.972182673479566,-4761800.0
1999-12-29,45.94,45.94,45.31,45.44,261800.0,48.381,36.757453427191685,-5023600.0
