date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,34.0,35.5,33.88,34.88,126800.0,,,
1999-11-02,34.94,35.38,34.75,35.06,72200.0,36.0285,100.0,72200.0
1999-11-03,35.12,36.38,34.62,35.94,146800.0,36.0285,100.0,219000.0
1999-11-04,35.94,36.0,35.12,35.88,49900.0,36.0285,94.18800039537454,169100.0
1999-11-05,35.88,36.25,34.25,34.25,97000.0,36.0285,34.8795039940082,72100.0
1999-11-08,33.62,33.88,32.5,32.56,72000.0,36.0285,20.480242568127167,100.0
1999-11-09,32.06,32.38,32.0,32.25,104900.0,36.0285,18.93599239297316,-104800.0
1999-11-10,32.38,32.62,32.12,32.5,33000.0,36.0285,23.91824866417531,-71800.0
1999-11-11,32.5,33.5,32.5,33.38,36100.0,36.0285,38.294595520568336,-35700.0
1999-11-12,33.38,34.88,33.38,34.56,43300.0,36.0285,51.522529305341656,7600.0
1999-11-15,34.56,34.94,34.38,34.62,27600.0,36.0285,52.08499273876785,35200.0
1999-11-16,34.75,35.75,34.25,35.75,72400.0,36.0285,61.21259900121672,107600.0
1999-11-17,35.88,36.25,35.75,36.25,39600.0,36.0285,64.44047971544512,147200.0
1999-11-18,36.62,37.12,36.62,37.06,26000.0,36.0285,68.9487104538907,173200.0
1999-11-19,37.31,39.69,37.31,39.19,108600.0,36.0285,77.15185628243312,281800.0
1999-11-22,39.19,39.19,37.75,37.81,226100.0,36.0285,65.14414245653995,55700.0
1999-11-23,37.81,38.75,37.81,38.75,45100.0,36.0285,68.71581950330417,100800.0
1999-11-24,42.0,42.0,38.75,39.0,522000.0,36.0285,69.60780005832613,622800.0
1999-11-26,41.25,41.25,40.44,40.5,70900.0,36.0285,74.335954503173,693700.0
1999-11-29,40.75,40.75,39.62,40.38,89700.0,36.0285,73.35280198703335,604000.0
1999-11-30,40.12,40.25,39.69,40.06,81800.0,36.2875,70.66867929695152,522200.0
1999-12-01,40.25,41.12,40.0,41.0,143300.0,36.5845,73.71173648118696,665500.0
1999-12-02,40.88,40.94,40.31,40.56,122500.0,36.8155,70.04832456629266,543000.0
1999-12-03,40.5,41.12,40.38,40.75,87300.0,37.059000000000005,70.7249257059986,630300.0
1999-12-06,41.0,41.88,41.0,41.88,202900.0,37.4405,74.42519596172778,833200.0
1999-12-07,41.88,43.75,41.88,43.5,95400.0,37.9875,78.6010809516051,928600.0
1999-12-08,43.5,44.25,43.38,43.69,87600.0,38.5595,79.03348108022634,1016200.0
1999-12-09,43.75,47.0,43.62,46.25,152700.0,39.247,83.78711157367245,1168900.0
