date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,48.81,48.88,46.94,47.56,482000.0,,,
1999-11-02,46.25,48.56,46.0,46.13,512500.0,47.605,0.0,-512500.0
1999-11-03,45.5,46.25,43.75,45.0,976500.0,47.605,0.0,-1489000.0
1999-11-04,45.25,47.63,45.13,46.63,317100.0,47.605,41.66351508196295,-1171900.0
1999-11-05,47.38,48.0,46.13,46.13,450800.0,47.605,36.62297970200689,-1622700.0
1999-11-08,46.13,47.44,46.13,47.13,391100.0,47.605,49.72378550505753,-1231600.0
1999-11-09,47.63,47.63,46.0,46.5,467800.0,47.605,43.60793394133901,-1699400.0
1999-11-10,46.75,46.94,46.0,46.18,518900.0,47.605,40.85893895027632,-2218300.0
1999-11-11,46.25,46.69,46.25,46.63,519900.0,47.605,46.01294900317747,-1698400.0
1999-11-12,46.38,46.5,45.25,46.0,819700.0,47.605,40.66932564407106,-2518100.0
1999-11-15,46.06,46.13,45.38,45.5,528500.0,47.605,36.99703666358624,-3046600.0
1999-11-16,45.75,46.38,45.75,46.25,420700.0,47.605,45.01703013724767,-2625900.0
1999-11-17,46.31,48.0,46.0,47.19,462500.0,47.605,53.0788479324237,-2163400.0
1999-11-18,49.5,50.94,48.5,50.63,1059000.0,47.605,70.26272671860713,-1104400.0
1999-11-19,50.13,50.25,49.56,50.0,796000.0,47.605,65.52951147857559,-1900400.0
1999-11-22,49.75,50.25,49.75,49.94,772300.0,47.605,65.07986285543927,-2672700.0
1999-11-23,49.69,50.13,49.06,49.25,701400.0,47.605,59.9825229976457,-3374100.0
1999-11-24,49.25,49.75,49.25,49.38,292100.0,47.605,60.60852844382123,-3082000.0
1999-11-26,49.25,50.56,49.25,50.13,177500.0,47.605,64.09792663805112,-2904500.0
1999-11-29,50.0,50.5,49.75,49.94,669400.0,47.605,62.58541581918551,-3573900.0
1999-11-30,50.0,50.69,49.0,49.63,713500.0,47.7085,60.09382273959216,-4287400.0
1999-12-01,49.75,50.94,49.75,50.0,428700.0,47.902,62.03647564090659,-3858700.0
1999-12-02,50.0,51.0,49.75,50.52,496700.0,48.178,64.64163090382917,-3362000.0
1999-12-03,50.88,52.06,50.88,51.38,342200.0,48.4155,68.49251634183359,-3019800.0
1999-12-06,51.38,51.75,50.81,51.31,375100.0,48.6745,67.84482310771273,-3394900.0
1999-12-07,51.38,51.63,50.06,50.06,484100.0,48.821,57.40541744322133,-3879000.0
1999-12-08,50.19,50.25,49.38,49.38,597700.0,48.965,52.65850553502104,-4476700.0
1999-12-09,49.88,50.13,47.13,47.38,536900.0,49.025,41.72896964330686,-5013600.0
1999-12-10,47.88,48.0,46.56,47.13,459000.0,49.05,40.59474849045124,-5472600.0
1999-12-13,47.0,47.88,45.88,45.88,324300.0,49.044,35.4119470067957,-5796900.0
1999-12-14,46.0,47.19,44.0,45.44,601700.0,49.041,33.777217374542914,-6398600.0
1999-12-15,45.94,48.63,45.94,47.0,440500.0,49.078500000000005,43.70053713737265,-5958100.0
1999-12-16,46.25,48.75,45.81,47.63,329100.0,49.1005,47.14510994457903,-5629000.0
1999-12-17,47.12,50.12,47.12,49.31,658200.0,49.0345,55.04409477836154,-4970800.0
1999-12-20,48.0,48.5,47.38,48.13,497000.0,48.941,49.45370199558658,-5467800.0
1999-12-21,47.88,48.94,47.13,48.06,256700.0,48.847,49.13489901541094,-5724500.0
1999-12-22,48.19,48.81,47.75,47.81,199300.0,48.775000000000006,47.946113175828536,-5923800.0
1999-12-23,48.06,49.19,47.94,48.63,179500.0,48.7375,52.04447878123728,-5744300.0
1999-12-27,49.5,49.5,48.13,48.5,218700.0,48.656000000000006,51.3541636723349,-5963000.0
1999-12-28,48.5,49.88,48.5,49.31,159000.0,48.6245,55.32988668382966,-5804000.0
1999-12-29,49.25,49.25,48.19,48.56,213400.0,48.571000000000005,51.1605534533482,-6017400.0
1999-12-30,48.81,49.94,47.88,48.19,165000.0,48.4805,49.19121866702382,-6182400.0
1999-12-31,48.13,48.63,47.75,47.88,91400.0,48.3485,47.540060409812845,-6273800.0
2000-01-03,48.38,49.75,47.69,49.38,416200.0,48.2485,55.34983402464314,-5857600.0
2000-01-04,49.44,50.5,47.44,47.56,422900.0,48.061,46.33627010405129,-6280500.0
2000-01-05,48.94,49.38,48.0,48.06,247500.0,47.961,48.80292649899197,-6033000.0
2000-01-06,47.0,47.31,46.31,46.88,397300.0,47.836,43.69803626146498,-6430300.0
2000-01-07,48.0,49.0,47.0,48.31,286100.0,47.88250000000001,50.46085521949182,-6144200.0
2000-01-10,48.88,49.69,48.31,48.31,306700.0,47.941500000000005,50.46085521949183,-6144200.0
2000-01-11,47.56,48.13,46.75,47.38,302700.0,48.0165,46.26896162947795,-6446900.0
2000-01-12,47.19,48.0,46.75,47.75,281800.0,48.132,48.11565766965482,-6165100.0
2000-01-13,47.13,49.19,46.63,48.94,497400.0,48.229,53.63503449923915,-5667700.0
2000-01-14,48.69,48.69,47.31,48.19,325700.0,48.257,50.023228360690425,-5993400.0
2000-01-18,50.0,50.81,49.38,50.75,795200.0,48.32899999999999,59.93963183826599,-5198200.0
2000-01-19,52.0,54.5,51.5,51.94,1444400.0,48.5195,63.55926681611312,-3753800.0
2000-01-20,52.5,52.63,48.63,49.0,588000.0,48.566500000000005,51.2409340887772,-4341800.0
2000-01-21,50.94,51.0,49.38,49.63,597800.0,48.6575,53.32832754671477,-3744000.0
2000-01-24,49.13,49.5,46.75,46.88,660700.0,48.57,44.39420249088241,-4404700.0
2000-01-25,48.0,49.44,47.75,48.0,1033200.0,48.545,48.20039315066848,-3371500.0
2000-01-26,48.38,48.88,47.88,48.25,645300.0,48.492,49.0389176917882,-2726200.0
2000-01-27,48.25,49.75,48.25,48.75,567900.0,48.5015,50.75587087997743,-2158300.0
2000-01-28,49.0,49.94,48.5,48.5,703900.0,48.517,49.851487401342126,-2862200.0
2000-01-31,48.5,49.69,47.56,49.44,571300.0,48.595000000000006,53.226234251886055,-2290900.0
2000-02-01,49.44,49.75,48.13,49.44,338500.0,48.598,53.226234251886055,-2290900.0
2000-02-02,49.31,49.88,48.38,48.5,387800.0,48.645,49.37286325041006,-2678700.0
2000-02-03,49.0,49.0,48.06,48.5,540900.0,48.667,49.37286325041006,-2678700.0
2000-02-04,48.69,49.0,47.5,47.69,739800.0,48.7075,46.0417211017394,-3418500.0
2000-02-07,47.69,47.88,46.13,46.31,408400.0,48.6075,40.97006023607131,-3826900.0
2000-02-08,47.0,47.38,45.63,46.0,501300.0,48.492,39.90662523841402,-4328200.0
2000-02-09,45.94,45.94,43.69,44.06,594500.0,48.32600000000001,33.96505322409678,-4922700.0
2000-02-10,44.38,45.25,44.38,45.19,581100.0,48.198,39.60551953116488,-4341600.0
2000-02-11,45.19,45.25,43.75,44.38,388700.0,47.97,37.15557409556519,-4730300.0
2000-02-14,44.0,44.44,43.25,43.75,270100.0,47.748000000000005,35.325257379202256,-5000400.0
2000-02-15,43.63,46.0,43.38,45.81,439500.0,47.501000000000005,44.8856985172386,-4560900.0
2000-02-16,45.56,46.69,45.44,46.56,346600.0,47.232,47.90507564595446,-4214300.0
2000-02-17,46.06,47.25,45.81,47.06,370300.0,47.135000000000005,49.87653384714813,-3844000.0
2000-02-18,48.38,48.94,48.0,48.56,604700.0,47.0815,55.33718230161819,-3239300.0
2000-02-22,48.19,51.25,48.19,51.13,682700.0,47.294,62.81245698477957,-2556600.0
2000-02-23,50.88,50.88,49.0,49.25,988900.0,47.3565,55.49523632846195,-3545500.0
2000-02-24,49.0,49.19,46.69,47.63,577800.0,47.3255,50.08124747985279,-4123300.0
2000-02-25,48.13,48.38,46.0,46.38,614900.0,47.207,46.325779453371176,-4738200.0
2000-02-28,46.38,46.44,44.13,45.0,403500.0,47.032,42.533712645632455,-5141700.0
2000-02-29,44.75,46.75,44.44,45.25,468200.0,46.8225,43.437010964206046,-4673500.0
2000-03-01,45.25,45.5,44.38,45.0,667000.0,46.6005,42.71395398819642,-5340500.0
2000-03-02,44.88,46.5,44.38,45.63,1529400.0,46.457,45.18999401856584,-3811100.0
2000-03-03,45.75,47.19,45.19,46.81,282200.0,46.3725,49.58532819267657,-3528900.0
2000-03-06,45.88,46.88,44.81,45.56,540400.0,46.266,45.42927983968258,-4069300.0
2000-03-07,45.06,45.06,36.81,40.0,1434500.0,45.9505,32.414941273350266,-5503800.0
2000-03-08,40.0,40.5,38.88,39.06,961800.0,45.6035,30.80804397956149,-6465600.0
2000-03-09,39.0,39.5,38.63,39.44,562400.0,45.3725,32.269769601443926,-5903200.0
2000-03-10,39.38,40.19,39.0,39.25,503600.0,45.0755,31.90681823358329,-6406800.0
2000-03-13,38.5,39.13,37.81,38.5,516700.0,44.7815,30.45087419136935,-6923500.0
2000-03-14,38.5,38.94,37.63,38.38,1218600.0,44.513,30.2133191292465,-8142100.0
2000-03-15,38.0,41.38,38.0,40.38,508400.0,44.2415,38.78482371543021,-7633700.0
2000-03-16,40.13,43.0,40.0,42.75,499400.0,44.051,47.07969895490489,-7134300.0
2000-03-17,41.5,41.94,40.56,40.56,564100.0,43.726,41.48561773787981,-7698400.0
2000-03-20,40.94,42.44,40.75,41.56,235300.0,43.376,44.715867884633845,-7463100.0
2000-03-21,41.06,42.88,40.19,42.06,487100.0,42.9225,46.31177376133163,-6976000.0
2000-03-22,41.56,41.56,39.69,39.94,320900.0,42.45700000000001,40.918230547125205,-7296900.0
2000-03-23,39.88,41.63,39.13,41.25,415000.0,42.138,45.16774193071224,-6881900.0
2000-03-24,40.5,42.12,40.5,41.44,238200.0,41.891000000000005,45.77690947864612,-6643700.0
2000-03-27,41.56,42.63,41.38,41.44,322500.0,41.713,45.77690947864612,-6643700.0
2000-03-28,40.44,41.63,40.38,40.81,325700.0,41.491,43.90133352674963,-6969400.0
2000-03-29,40.56,40.88,39.06,39.25,522200.0,41.203500000000005,39.57717407414133,-7491600.0
2000-03-30,39.25,40.0,38.63,39.81,406800.0,40.9125,41.79354895817459,-7084800.0
2000-03-31,39.69,43.56,39.63,41.81,630200.0,40.6625,48.9900840442166,-6454600.0
2000-04-03,42.44,42.94,40.81,41.44,417400.0,40.456500000000005,47.81234576707077,-6872000.0
2000-04-04,40.44,42.5,40.25,41.88,679200.0,40.55050000000001,49.37108985785323,-6192800.0
2000-04-05,42.19,43.13,41.19,42.5,384700.0,40.7225,51.56631105889587,-5808100.0
2000-04-06,42.75,44.69,42.5,43.31,512300.0,40.916,54.35107433710338,-5295800.0
2000-04-07,43.06,44.19,42.69,43.75,448100.0,41.141000000000005,55.836518655602525,-4847700.0
2000-04-10,43.5,44.13,42.88,43.5,419700.0,41.391000000000005,54.74645014129351,-5267400.0
2000-04-11,44.5,44.94,43.94,44.63,335600.0,41.703500000000005,58.673671694754624,-4931800.0
2000-04-12,44.56,45.94,43.69,43.75,942400.0,41.872,54.69302522893309,-5874200.0
2000-04-13,43.94,46.75,43.5,43.56,1164300.0,41.91250000000001,53.84364835316393,-7038500.0
2000-04-14,43.44,43.44,41.0,41.06,417900.0,41.9375,44.131995621179016,-7456400.0
2000-04-17,40.5,40.81,38.0,39.19,813700.0,41.819,38.533364238485,-8270100.0
2000-04-18,38.13,38.94,38.06,38.56,643100.0,41.644,36.837832204290265,-8913200.0
2000-04-19,38.31,38.94,37.94,38.25,1259600.0,41.5595,35.99845199527459,-10172800.0
2000-04-20,38.88,40.0,38.31,39.5,847500.0,41.472,41.76096396294321,-9325300.0
2000-04-24,39.75,40.63,39.13,39.13,648400.0,41.3565,40.59582134227319,-9973700.0
2000-04-25,39.25,40.19,39.25,39.56,650800.0,41.2625,42.600158073419706,-9322900.0
2000-04-26,39.81,40.06,38.94,38.94,749100.0,41.169,40.47937891178943,-10072000.0
2000-04-27,38.25,40.0,38.0,39.56,984800.0,41.1845,43.50807233549793,-9087200.0
2000-04-28,39.31,40.06,39.25,39.38,584000.0,41.163,42.826725521898105,-9671200.0
2000-05-01,39.38,39.94,37.88,38.75,1672900.0,41.010000000000005,40.43968973573075,-11344100.0
2000-05-02,38.94,39.81,38.44,39.19,2193500.0,40.8975,42.83610820887066,-9150600.0
2000-05-03,39.19,39.81,38.25,38.81,519900.0,40.744,41.29093891457268,-9670500.0
2000-05-04,38.94,41.0,38.56,39.06,927700.0,40.572,42.75396664198801,-8742800.0
2000-05-05,38.88,40.88,38.81,40.25,658400.0,40.419,49.23843084131594,-8084400.0
2000-05-08,39.75,40.75,39.5,40.19,872400.0,40.241,48.93743611780667,-8956800.0
2000-05-09,39.94,40.25,38.31,39.13,417400.0,40.0225,43.838814554303326,-9374200.0
2000-05-10,39.13,39.13,37.69,37.88,439000.0,39.685,38.716184972251625,-9813200.0
2000-05-11,37.94,38.5,37.75,38.25,828800.0,39.41,40.91694890602311,-8984400.0
2000-05-12,38.13,38.25,37.88,38.0,449100.0,39.132,39.87498852429484,-9433500.0
2000-05-15,37.75,37.88,36.81,37.88,464100.0,38.973,39.356910837416734,-9897600.0
2000-05-16,37.63,38.38,37.56,38.06,708800.0,38.9165,40.6035218358454,-9188800.0
2000-05-17,38.69,41.44,38.69,40.63,1566800.0,39.02,54.86858976055165,-7622000.0
2000-05-18,41.0,41.69,40.0,40.44,571100.0,39.1295,53.83911379294901,-8193100.0
2000-05-19,40.56,40.75,39.63,39.94,608600.0,39.1515,51.12085019360995,-8801700.0
