date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,30.19,30.63,29.44,29.69,144100.0,30.130000000000003,100.0,142400.0
1999-11-02,29.13,30.38,29.13,29.94,142400.0,30.130000000000003,100.0,142400.0
1999-11-03,29.88,31.13,29.88,29.88,284900.0,30.130000000000003,79.46210268948593,-142500.0
1999-11-04,29.88,29.94,28.88,28.88,131100.0,30.130000000000003,16.956294899064872,-273600.0
1999-11-05,29.5,29.94,29.5,29.88,141900.0,30.130000000000003,55.041524532817625,-131700.0
1999-11-08,29.63,30.0,29.38,29.81,72700.0,30.130000000000003,53.20218439347908,-204400.0
1999-11-09,29.81,29.81,29.19,29.63,134800.0,30.130000000000003,48.69585685771638,-339200.0
1999-11-10,29.56,30.38,29.56,30.19,142800.0,30.130000000000003,60.036893145306195,-196400.0
1999-11-11,30.06,30.25,29.56,29.81,96800.0,30.130000000000003,51.68731511328195,-293200.0
1999-11-12,30.06,30.5,30.0,30.25,236500.0,30.130000000000003,58.82747004445558,-56700.0
1999-11-15,30.19,30.63,29.88,30.56,161000.0,30.130000000000003,62.97882923530362,104300.0
1999-11-16,30.31,30.94,30.31,30.88,174600.0,30.130000000000003,66.71018846455985,278900.0
1999-11-17,30.44,31.13,30.44,30.75,388600.0,30.130000000000003,63.89279901136438,-109700.0
1999-11-18,30.81,31.06,30.38,30.5,123200.0,30.130000000000003,58.7538709116558,-232900.0
1999-11-19,30.38,30.44,29.81,29.88,233700.0,30.130000000000003,48.36460943935352,-466600.0
1999-11-22,29.88,30.75,29.88,30.38,239700.0,30.130000000000003,55.23868122858666,-226900.0
1999-11-23,30.44,30.75,30.38,30.5,202200.0,30.130000000000003,56.727608285328415,-24700.0
1999-11-24,30.5,30.56,30.06,30.19,318800.0,30.130000000000003,51.92262055388331,-343500.0
1999-11-26,30.25,30.63,30.25,30.5,148300.0,30.130000000000003,55.94156123923701,-195200.0
1999-11-29,30.5,30.56,30.5,30.5,172900.0,30.130000000000003,55.94156123923701,-195200.0
1999-11-30,30.5,30.81,30.25,30.25,244600.0,30.157999999999998,51.88498029049953,-439800.0
1999-12-01,30.25,30.56,30.19,30.38,211100.0,30.18,53.762597343802256,-228700.0
1999-12-02,30.19,30.63,29.75,30.06,233100.0,30.189,48.72241268214275,-461800.0
1999-12-03,30.0,31.13,30.0,30.81,124200.0,30.285500000000003,58.534274864164985,-337600.0
1999-12-06,30.5,30.5,29.44,29.94,237600.0,30.2885,47.241719554499454,-575200.0
1999-12-07,29.88,29.94,29.0,29.19,127300.0,30.2575,40.0657308397661,-702500.0
1999-12-08,29.19,29.31,28.75,29.0,114900.0,30.226,38.47142603265658,-817400.0
1999-12-09,29.19,29.69,29.0,29.13,180400.0,30.173000000000002,40.224091016729915,-637000.0
1999-12-10,29.19,29.25,28.75,28.75,99100.0,30.119999999999997,36.914012867231875,-736100.0
1999-12-13,28.75,28.75,28.38,28.5,224900.0,30.0325,34.88037221475622,-961000.0
1999-12-14,28.38,28.81,28.25,28.69,202900.0,29.939,37.68993929483072,-758100.0
1999-12-15,28.69,28.69,27.75,27.81,179900.0,29.785500000000003,31.01543360337054,-938000.0
1999-12-16,27.38,27.38,26.75,26.88,444900.0,29.592000000000002,25.812894671462658,-1382900.0
1999-12-17,27.06,28.94,27.0,28.94,666100.0,29.514,47.014316184965494,-716800.0
1999-12-20,28.69,28.81,27.94,28.06,321600.0,29.423000000000002,41.55142430747675,-1038400.0
1999-12-21,27.81,28.88,27.69,28.38,374800.0,29.323,44.09528266856916,-663600.0
1999-12-22,28.25,28.75,27.63,27.69,320700.0,29.182499999999997,40.04783000067991,-984300.0
1999-12-23,27.75,28.25,27.63,27.63,274500.0,29.054499999999997,39.70652833503158,-1258800.0
1999-12-27,27.69,27.75,27.13,27.19,512500.0,28.889,37.20261660290083,-1771300.0
1999-12-28,27.13,27.25,27.0,27.0,304900.0,28.714,36.14271990766164,-2076200.0
1999-12-29,27.06,27.38,26.88,27.13,342100.0,28.558,37.45568247386928,-1734100.0
1999-12-30,27.19,27.5,26.88,27.44,184900.0,28.411,40.59247923624585,-1549200.0
1999-12-31,27.31,27.5,26.44,26.56,186800.0,28.236,35.1961402379099,-1736000.0
2000-01-03,26.75,27.25,26.75,26.88,536000.0,28.039499999999997,38.402896330043916,-1200000.0
2000-01-04,27.13,27.25,26.0,26.56,258900.0,27.870500000000003,36.459928750679786,-1458900.0
2000-01-05,26.5,26.63,25.56,25.56,189400.0,27.689,31.155161998914124,-1648300.0
2000-01-06,25.56,25.88,25.25,25.63,213300.0,27.5205,31.902069999356726,-1435000.0
2000-01-07,25.75,26.31,25.06,26.25,796400.0,27.3765,38.28826024309171,-638600.0
2000-01-10,26.5,26.5,25.69,25.75,297300.0,27.226499999999998,35.40468263001537,-935900.0
2000-01-11,26.06,26.5,25.81,26.13,230500.0,27.107999999999997,39.15517213461399,-705400.0
2000-01-12,26.25,27.06,26.25,26.94,604700.0,27.020500000000006,46.31097751841691,-100700.0
2000-01-13,26.94,27.31,26.56,27.25,220200.0,26.9925,48.79310811627294,119500.0
2000-01-14,27.38,27.5,27.06,27.13,502200.0,27.005000000000003,47.87051238044835,-382700.0
2000-01-18,27.25,27.63,27.13,27.5,336000.0,26.933,50.95012456782544,-46700.0
2000-01-19,27.69,27.69,27.38,27.38,371400.0,26.899,49.9200892132165,-418100.0
2000-01-20,27.5,27.56,27.13,27.19,212000.0,26.839499999999997,48.25659759208004,-630100.0
2000-01-21,27.25,27.31,26.44,26.69,361200.0,26.789499999999997,44.092586066264765,-991300.0
2000-01-24,26.81,26.94,26.31,26.31,201000.0,26.7235,41.18399933368445,-1192300.0
2000-01-25,26.25,26.31,25.5,25.75,286300.0,26.6515,37.28104362817094,-1478600.0
2000-01-26,25.75,25.88,25.06,25.63,241800.0,26.583,36.48316736995893,-1720400.0
2000-01-27,25.81,26.56,25.81,26.5,265100.0,26.551499999999997,45.57710212557408,-1455300.0
2000-01-28,26.5,26.75,26.38,26.38,405700.0,26.4985,44.627991106498904,-1861000.0
2000-01-31,26.56,27.0,26.44,26.88,316100.0,26.514499999999998,49.35991922197333,-1544900.0
2000-02-01,27.13,27.31,26.19,26.44,362200.0,26.4925,45.6618997765575,-1907100.0
2000-02-02,26.44,26.75,26.44,26.63,214100.0,26.496,47.491311790266636,-1693000.0
