date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,23.31,23.31,22.5,22.69,438905.0,23.169,100.0,844597.0
1999-11-02,22.75,23.13,22.75,22.94,844597.0,23.169,100.0,844597.0
1999-11-03,22.44,22.94,22.44,22.56,195959.0,23.169,37.922987164527264,648638.0
1999-11-04,22.63,22.94,22.5,22.5,160792.0,23.169,34.30218397337009,487846.0
1999-11-05,22.38,22.56,22.38,22.44,134221.0,23.169,31.104000906079236,353625.0
1999-11-08,22.44,23.0,22.44,22.81,468211.0,23.169,57.450059819795285,821836.0
1999-11-09,22.81,23.06,22.69,22.88,627636.0,23.169,60.52557889705252,1449472.0
1999-11-10,23.0,23.19,22.75,23.06,517250.0,23.169,67.10905131061809,1966722.0
1999-11-11,23.19,23.19,23.0,23.06,328715.0,23.169,67.10905131061809,1966722.0
1999-11-12,23.13,23.44,23.13,23.38,280946.0,23.169,75.5250823642295,2247668.0
1999-11-15,23.25,23.31,23.13,23.25,205044.0,23.169,67.92153148825936,2042624.0
1999-11-16,23.44,23.5,23.25,23.44,232787.0,23.169,72.30939077175277,2275411.0
1999-11-17,23.56,23.56,23.25,23.44,212957.0,23.169,72.30939077175277,2275411.0
1999-11-18,23.5,23.69,23.44,23.56,149558.0,23.169,74.83112799708849,2424969.0
1999-11-19,23.56,23.81,23.5,23.81,172124.0,23.169,79.10117482308995,2597093.0
1999-11-22,24.5,24.5,23.69,23.81,376288.0,23.169,79.10117482308996,2597093.0
1999-11-23,23.81,24.06,23.44,23.88,194396.0,23.169,80.19243277665316,2791489.0
1999-11-24,23.75,24.0,23.44,23.56,111949.0,23.169,63.793409426174094,2679540.0
1999-11-26,23.69,23.88,23.19,23.25,81177.0,23.169,52.576511639016104,2598363.0
1999-11-29,23.31,23.75,23.06,23.06,195764.0,23.169,47.10913864865847,2402599.0
1999-11-30,23.06,23.44,23.0,23.31,430309.0,23.2,53.90182767927112,2832908.0
1999-12-01,23.25,23.88,23.25,23.88,388206.0,23.247,64.95344731121958,3221114.0
1999-12-02,23.69,24.0,23.69,23.75,228000.0,23.3065,61.34143412189051,2993114.0
1999-12-03,23.81,24.31,23.81,24.25,239527.0,23.394,68.5788094250445,3232641.0
1999-12-06,24.38,24.38,24.06,24.19,411065.0,23.4815,66.95883130264517,2821576.0
1999-12-07,24.06,24.38,23.38,23.81,180622.0,23.5315,57.66769501036883,2640954.0
1999-12-08,23.69,23.75,23.19,23.25,271764.0,23.55,47.26021132144851,2369190.0
1999-12-09,23.38,23.44,23.0,23.31,194201.0,23.5625,48.336053654895295,2563391.0
1999-12-10,22.94,23.25,22.63,22.63,193517.0,23.541,38.700633375547945,2369874.0
1999-12-13,22.44,22.88,22.0,22.25,405497.0,23.4845,34.555180303102546,1964377.0
1999-12-14,22.13,22.25,20.81,21.06,679703.0,23.375,25.384980276656833,1284674.0
1999-12-15,21.19,21.25,20.44,21.0,627538.0,23.253,25.024386639300104,657136.0
1999-12-16,21.0,21.31,20.75,20.94,388890.0,23.128,24.64733923528952,268246.0
1999-12-17,20.75,22.19,20.62,22.06,645903.0,23.053,42.164956572342206,914149.0
1999-12-20,22.31,23.38,22.31,23.06,527995.0,23.0155,52.731141716865956,1442144.0
1999-12-21,22.5,22.75,22.06,22.5,472900.0,22.95,47.49786228483688,969244.0
1999-12-22,22.38,22.56,21.81,22.5,335162.0,22.881,47.49786228483688,969244.0
1999-12-23,22.63,22.63,21.75,22.5,397486.0,22.828,47.497862284836884,969244.0
1999-12-27,22.31,22.63,22.25,22.38,190879.0,22.7845,46.26888721326616,778365.0
1999-12-28,22.5,22.75,22.25,22.25,320216.0,22.744,44.91310818846291,458149.0
1999-12-29,22.31,23.13,22.31,22.94,294329.0,22.7255,52.81598435778343,752478.0
1999-12-30,23.0,23.56,22.69,23.06,185018.0,22.6845,54.05060502952511,937496.0
1999-12-31,22.81,23.0,22.75,22.94,137836.0,22.644,52.56926342530695,799660.0
2000-01-03,22.81,23.06,22.31,22.62,336335.0,22.5625,48.73363210080325,463325.0
2000-01-04,22.56,22.69,21.88,22.38,347666.0,22.472,46.02149503307232,115659.0
2000-01-05,22.0,22.63,22.0,22.38,237671.0,22.4005,46.02149503307233,115659.0
2000-01-06,22.63,23.13,22.5,23.13,210612.0,22.3945,55.08148353819189,326271.0
2000-01-07,23.06,24.19,23.0,24.13,298237.0,22.435499999999998,63.80479300107395,624508.0
2000-01-10,24.25,24.38,23.69,24.38,313183.0,22.523,65.60324181025469,937691.0
2000-01-11,24.63,24.75,24.19,24.31,369353.0,22.625999999999998,64.63483820704721,568338.0
2000-01-12,24.06,24.31,23.94,24.31,405008.0,22.7885,64.63483820704721,568338.0
2000-01-13,24.13,24.31,23.94,24.31,316309.0,22.954,64.63483820704721,568338.0
2000-01-14,24.31,24.69,24.25,24.69,396412.0,23.1415,67.85234856344174,964750.0
2000-01-18,24.69,24.94,24.5,24.81,386350.0,23.279,68.8171596994245,1351100.0
2000-01-19,24.75,25.0,24.69,24.94,241774.0,23.372999999999998,69.87205499665474,1592874.0
2000-01-20,25.0,25.06,24.81,25.06,169877.0,23.500999999999998,70.85226924694412,1762751.0
2000-01-21,24.94,25.38,24.94,25.38,343466.0,23.645,73.34294443810786,2106217.0
2000-01-24,25.25,25.5,24.94,25.13,223214.0,23.7765,68.42375060533341,1883003.0
2000-01-25,25.13,25.25,24.81,24.88,288468.0,23.9015,63.814407677137254,1594535.0
2000-01-26,24.81,24.94,24.75,24.94,185507.0,24.035999999999998,64.43365944039434,1780042.0
2000-01-27,25.06,25.13,24.88,25.06,244314.0,24.142,65.69800454107619,2024356.0
2000-01-28,25.06,25.06,24.81,24.94,115270.0,24.235999999999997,63.27559607450858,1909086.0
