date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,61.63,62.44,61.31,62.44,227900.0,,,
1999-11-02,62.0,64.66,62.0,64.0,279000.0,63.422,100.0,279000.0
1999-11-03,64.63,65.63,64.38,65.56,395700.0,63.422,100.0,674700.0
1999-11-04,67.44,67.44,66.38,67.13,283200.0,63.422,100.0,957900.0
1999-11-05,67.13,67.75,66.13,66.13,329900.0,63.422,80.20579052763398,628000.0
1999-11-08,66.13,66.56,65.63,65.63,321000.0,63.422,72.48051271291999,307000.0
1999-11-09,65.63,65.63,64.5,64.75,149300.0,63.422,61.29119026623508,157700.0
1999-11-10,63.5,63.56,61.38,62.0,438000.0,63.422,40.335413894921466,-280300.0
1999-11-11,62.0,62.56,61.63,61.81,129300.0,63.422,39.33475122593455,-409600.0
1999-11-12,62.0,62.25,61.25,61.81,228200.0,63.422,39.33475122593455,-409600.0
1999-11-15,61.88,62.75,60.44,62.75,246500.0,63.422,46.89414860400077,-163100.0
1999-11-16,62.5,62.75,61.38,62.5,191500.0,63.422,45.27817973375541,-354600.0
1999-11-17,62.5,65.13,62.25,64.31,324300.0,63.422,56.8671687414641,-30300.0
1999-11-18,64.38,65.44,64.25,65.44,158600.0,63.422,62.24323209403524,128300.0
1999-11-19,65.25,66.0,64.0,65.75,188700.0,63.422,63.584187541860906,317000.0
1999-11-22,65.5,65.5,62.63,63.0,307600.0,63.422,47.47592616878112,9400.0
1999-11-23,63.0,63.0,59.5,60.75,390200.0,63.422,38.81223926229307,-380800.0
1999-11-24,60.63,63.88,60.5,62.31,96400.0,63.422,46.14967626374606,-284400.0
1999-11-26,62.06,62.13,61.0,61.06,54600.0,63.422,41.822000398202526,-339000.0
1999-11-29,60.88,60.88,59.0,59.31,216700.0,63.422,36.64149667178046,-555700.0
1999-11-30,59.19,59.19,56.88,56.94,436500.0,63.147000000000006,31.034755613092003,-992200.0
1999-12-01,57.0,58.19,56.56,58.19,924600.0,62.8565,36.54942179871993,-67600.0
1999-12-02,58.13,59.5,57.75,59.19,353900.0,62.538,40.63887940530751,286300.0
1999-12-03,59.56,61.13,59.56,60.31,186400.0,62.197,44.9206339325228,472700.0
1999-12-06,62.19,63.38,60.88,60.88,197300.0,61.9345,47.01528549379414,670000.0
1999-12-07,60.88,60.88,58.75,59.25,164500.0,61.6155,42.086264488665634,505500.0
1999-12-08,59.56,60.31,58.44,60.25,285200.0,61.3905,45.83784770484292,790700.0
1999-12-09,60.13,60.5,59.13,59.5,171700.0,61.2655,43.558792801043225,619000.0
1999-12-10,59.38,60.25,59.31,59.88,227500.0,61.169,45.049556433290405,846500.0
1999-12-13,59.69,60.81,59.56,59.94,181600.0,61.0755,45.29524779514119,1028100.0
1999-12-14,59.88,60.38,58.88,58.88,103500.0,60.882000000000005,41.74421802360866,924600.0
1999-12-15,58.88,61.38,58.88,61.0,189700.0,60.807,50.15999851312398,1114300.0
1999-12-16,60.63,62.38,60.63,62.19,164000.0,60.701,54.16284386553789,1278300.0
1999-12-17,62.5,66.25,62.5,66.0,385100.0,60.729,64.10333002624031,1663400.0
1999-12-20,66.25,67.63,66.13,66.44,199700.0,60.7635,65.04608360010104,1863100.0
1999-12-21,66.44,67.5,65.94,66.75,206300.0,60.951,65.72899531412509,2069400.0
1999-12-22,66.94,70.0,66.94,69.5,264100.0,61.3885,71.119496677135,2333500.0
1999-12-23,69.5,73.25,69.5,71.69,471100.0,61.8575,74.55228636702614,2804600.0
1999-12-27,71.69,71.69,70.0,70.94,224500.0,62.35150000000001,71.42136322498271,2580100.0
1999-12-28,70.94,71.19,70.25,70.94,224800.0,62.93299999999999,71.42136322498271,2580100.0
1999-12-29,70.5,70.5,68.88,69.69,198500.0,63.5705,66.05893920773673,2381600.0
1999-12-30,69.69,70.19,69.5,70.06,173400.0,64.164,66.85228586364696,2555000.0
1999-12-31,70.06,70.06,69.56,69.63,57800.0,64.686,64.95215903280464,2497200.0
2000-01-03,69.5,69.5,68.13,68.38,269500.0,65.0895,59.64494938038739,2227700.0
